sample,datetime,id,branch,SUBWS,ec,ph,turb,tn,nh4n,no3n,tp,po4,doc
1,4/1/2014 8:20,N408 @ 0820 BES,NF,KJE,11,6.37,0.37,0.42,0.02,0,0.002,0,1.09
2,4/1/2014 8:45,Mnich JDSF  KJE 0845 ETK,NF,MUN,75,8.04,3.01,0.26,0,0,0.015,0.003,2.32
3,4/1/2014 9:10,Mnich JDSF  K 140424 @0910,NF,MUN,107,8.09,2.57,0.29,0,0,0.026,0.007,1.23
4,4/1/2014 9:00,Mnich JDSF  M 140424 @0900,NF,MUN,133,7.71,0.95,0.26,0,0,0.005,0.001,1.09
5,4/3/2014 8:30,Mnich JDSF  N 408@830 FFE  Nitrogen ,NF,MUN,10,7.26,0.39,0.03,0,0.01,0.003,0,1.21
6,3/4/2014 4:50,MUN 0450,NF,MUN,73,7.3,0.58,0.38,0,0,0.005,0.003,2.71
7,4/1/2014 8:35,Mnich JDSF  MUN 8:35 etk,NF,MUN,80,7.87,1.84,0.31,0,0,0.008,0.003,2.22
8,3/4/2014 9:50,Mnich JDSF  K @ 0950,NF,MUN,63,7.69,0.74,0.33,0,0,0.008,0.003,3.19
9,5/26/2016 8:30,ZIE ,SF,ZIE,155,7.37,2.67,0.33,0,0,0.008,0.005,1.55
10,5/26/2016 9:00,YOC,SF,YOC,170,6.91,3,0.36,0,0,0.005,0.001,1.89
11,5/26/2016 9:13,UQL,SF,UQL,186,6.89,5.22,0.23,0.02,0,0.012,0.003,1.32
12,5/22/2016 9:40,WIL,SF,WIL,294,7.69,0.87,0.23,0,0,0.015,0.013,1.23
13,5/26/2016 9:50,TRE,SF,TRE,152,7.21,1.83,0.18,0,0,0.008,0.005,1.63
14,5/26/2016 10:49,SEQ,SF,SEQ,183,7.38,2.46,0.26,0,0,0.005,0,2.75
15,5/26/2016 11:00,OGI,SF,OGI,85,7.27,3.71,0.18,0,0,0.012,0,2.05
16,5/26/2016 11:35,SFC,SF,SFC,156,7.28,1.76,0.11,0.02,0,0.015,0.005,2.54
17,5/26/2016 11:48,KJE (ETK),NF,KJE,126,7.33,4.23,0.15,0,0,0.012,0.003,1.18
18,5/26/2016 11:55,MUN (ETK),NF,MUN,125,7.26,7.96,0.06,0,0,0.037,0.001,0.96
19,5/26/2016 12:14,RJC,SF,RJC,142,7.49,1.56,0.2,0.02,0.01,0.021,0.016,2.2
20,5/26/2016 12:30,MI (ETK),,,202,7.36,1.24,0.22,0,0,0.014,0.008,0.69
21,5/26/2016 12:40,QUE,,QUE,182,7.52,1.26,0.21,0,0,0.015,0.007,2.47
22,5/26/2016 13:07,POR,SF,POR,116,7.33,2.84,0.32,0,0,0.008,0.005,2.72
23,5/26/2016 14:19,NFC,NF,NFC,157,7.34,0.7,0.22,0,0,0.012,0.007,1.58
24,5/26/2016 15:20,XYZ,NF,XYZ,156,7.29,1.19,0.25,0,0,0.012,0.003,1.46
25,5/26/2016 15:26,IVE,NF,IVE,166,7.38,2.73,0.12,0,0,0.015,0.005,1.11
26,6/10/2016 11:45,SEC  TCK,,SEC,211,8.34,3.06,0.1,0.01,0.05,0.016,0.009,2.32
27,6/10/2016 13:35,RIC   TCK,SF,RIC,163,8.36,1.7,0.13,0.02,0.02,0.016,0.01,1.87
28,6/30/2016 8:55,ZIE  BES  FLUME  OUTFLOWW,SF,ZIE,173,8.29,2.6,0.07,0.01,0,0.01,0.007,1.07
29,6/30/2016 10:08,UQL  TLK,SF,UQL,207,7.28,6.03,0.24,0.04,0,0.033,0.01,2.06
30,6/30/2016 10:10,YOC BES FLUME APPROUCH YOC,SF,YOC,197,7.43,11.5,0.09,0.01,0,0.055,0.009,1.28
31,6/30/2016 13:05,WIF FLUME APPROUCH BES ,,,167,8.04,2.76,0.06,0.01,0,0.026,0.018,1.2
32,6/30/2016 14:28,OGI   Approuch BES,SF,OGI,283,8.11,8.85,0.07,0.01,0,0.042,0.013,0.74
33,6/30/2016 14:45,POR  TCK,SF,POR,79,7.45,2.26,0.08,0.01,0,0.01,0.006,1.25
34,6/30/2016 15:30,SFC V-notch poud BES ,SF,SFC,119,7.6,1.94,0.13,0.02,0,0.013,0.01,2.37
35,6/30/2016 15:30,QUE  TCK,,QUE,155,8.55,1.56,0.05,0.01,0,0.016,0.01,1.7
36,7/1/2016 8:18,XRA  FLUME APPROUCH BES,,XRA,193,8.41,1.56,0.09,0.01,0,0.022,0.02,1.89
37,7/1/2016 9:38,NFC  V-notch pond  BES,NF,NFC,167,7.84,1.34,0.05,0.01,0,0.01,0.003,0.8
38,7/1/2016 9:50,IVE  TCK,NF,IVE,176,7.82,1.5,0.12,0.01,0,0.01,0,1.26
39,7/1/2016 10:32,XYZ  Approuch  BES,NF,XYZ,174,8.31,1.55,0.05,0.01,0,0.02,0.013,0.43
40,7/1/2016 10:40,DOL TLK,NF,DOL,173,7.83,0.72,0.04,0.01,0,0.007,0,0.74
41,7/1/2016 10:55,TRE  TCK,SF,TRE,168,8.42,0.8,0.09,0.01,0,0.019,0.016,1.2
42,7/1/2016 11:24,CAR  TCK,NF,CAR,188,8.36,1.76,0.06,0.01,0,0.02,0.012,0.88
43,7/1/2016 11:32,ARF  BEC ,NF,,170,8.04,1.53,0.08,0.01,0,0.02,0.004,0.77
44,8/3/2016 0:00,XRA TCK,,XRA,175,7.18,2.6,0.09,0.05,0.01,0.007,0.007,1.68
45,12/11/2016 7:00,IVE TCK,NF,IVE,186,7.58,3.4,0.07,0.03,0.02,0.01,0.01,1.21
46,12/12/2016 7:00,ZIE ETK,SF,ZIE,167,7.76,2.5,0.11,0.05,0.03,0.008,0.008,1.95
