sample,datetime,SUBWS,ec,ph,turb,tn,nh4n,no3n,tp,po4,doc,don,time_round,date_group,ec_ravg,ph_ravg,turb_ravg,tn_ravg,nh4n_ravg,no3n_ravg,tp_ravg,po4_ravg,doc_ravg,don_ravg,Q_cfs,sum_vol_ft3,time_secs,time_days,sum_rain_mm,mean_Q_cfs,sd_Q_cfs,mean_Q_cfs_per_day,Q_Ls,Q_cms,sum_vol_L,sum_vol_m3,sum_rain_ft,sum_rain_m,runoff_ft,runoff_m,runoff_mm,runoff_ratio,vol_shift,rain_L,ec_grams,ph_grams,turb_grams,tn_grams,nh4n_grams,no3n_grams,tp_grams,po4_grams,doc_grams,don_grams,ec_kg,ph_kg,turb_kg,tn_kg,nh4n_kg,no3n_kg,tp_kg,po4_kg,doc_kg,don_kg,ec_ha,ph_ha,turb_ha,tn_ha,nh4n_ha,no3n_ha,tp_ha,po4_ha,doc_ha,don_ha,ec_ravg_grams,ph_ravg_grams,turb_ravg_grams,tn_ravg_grams,nh4n_ravg_grams,no3n_ravg_grams,tp_ravg_grams,po4_ravg_grams,doc_ravg_grams,don_ravg_grams,ec_ravg_kg,ph_ravg_kg,turb_ravg_kg,tn_ravg_kg,nh4n_ravg_kg,no3n_ravg_kg,tp_ravg_kg,po4_ravg_kg,doc_ravg_kg,don_ravg_kg,ec_ravg_ha,ph_ravg_ha,turb_ravg_ha,tn_ravg_ha,nh4n_ravg_ha,no3n_ravg_ha,tp_ravg_ha,po4_ravg_ha,doc_ravg_ha,don_ravg_ha
54,2016-09-28T17:25:00Z,TRE,217,8.41,1,0.08,0.01,0.02,0.02,0.01,1,0.05,2016-09-28T17:30:00Z,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0172,64726.74,2504400,28.98611111111111,162.16376,0.025845208433157643,0.012514688606014247,8.916411150873744e-4,0.48704976839999997,4.8704976839999997e-4,1832857.1933887799,1832.85719338878,0.5320333503584,0.16216376,0.04264763641589213,0.13992007145871554,139.92007145871554,0.08015970500188171,NA,22865090.16,397730.0109653652,15414.32899639964,1832.85719338878,146.6285754711024,18.3285719338878,36.6571438677756,36.6571438677756,18.3285719338878,1832.85719338878,91.642859669439,397.73001096536524,15.41432899639964,1.8328571933887798,0.14662857547110242,0.018328571933887802,0.036657143867775605,0.036657143867775605,0.018328571933887802,1.8328571933887798,0.091642859669439,28.207802196125193,1.0932148224396907,0.12998987187154468,0.010399189749723576,0.001299898718715447,0.002599797437430894,0.002599797437430894,0.001299898718715447,0.12998987187154468,0.006499493593577234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,2016-10-27T17:10:00Z,TRE,161,7.74,15.6,0.29,0.01,0.09,0.03,0.02,9.09,0.19,2016-10-27T17:10:00Z,3,189,8.075,8.3,0.185,0.01,0.055,0.025,0.015,5.045,0.12,0.122,161668.44,1173000,13.57638888888889,93.6498,0.1378247570332481,0.12700762137078178,0.01015179796050523,3.454655334,0.003454655334,4577940.48020868,4577.94048020868,0.307250009832,0.0936498,0.10652130555384795,0.3494793601132865,349.47936011328653,0.34669260258801066,1832857.1933887799,13204621.799999999,737048.4173135974,35433.25931681518,71415.8714912554,1327.602739260517,45.7794048020868,412.01464321878115,137.33821440626042,91.5588096041736,41613.478965096896,869.8086912396492,737.0484173135975,35.43325931681518,71.4158714912554,1.327602739260517,0.0457794048020868,0.4120146432187812,0.1373382144062604,0.0915588096041736,41.613478965096895,0.8698086912396492,52.27293739812748,2.5129971146677432,5.064955424911731,0.09415622264258985,0.0032467662980203405,0.029220896682183063,0.009740298894061021,0.006493532596040681,2.951310564900489,0.06168855966238647,865230.7507594406,36966.869377685085,37996.905985732046,846.9189888386059,45.7794048020868,251.7867264114774,114.44851200521701,68.66910720313021,23095.709722652788,549.3528576250417,865.2307507594405,36.966869377685086,37.99690598573205,0.8469189888386058,0.0457794048020868,0.2517867264114774,0.11444851200521701,0.0686691072031302,23.09570972265279,0.5493528576250416,61.36388303258443,2.6217637856514244,2.694816027356883,0.060065176513376305,0.0032467662980203405,0.017857214639111874,0.008116915745050851,0.0048701494470305105,1.6379935973512616,0.038961195576244084
88,2016-11-10T07:00:00Z,TRE,140,8.06,19.9,0.26,0,0,0.08,0.02,8.25,0.26,2016-11-10T07:00:00Z,7,150.5,7.9,17.75,0.275,0.005,0.045,0.055,0.02,8.67,0.225,0.0504,504988.56,2633400,30.479166666666668,240.19764,0.19176295283663705,0.29587215265932715,0.006291607475159657,1.4271690888,0.0014271690888,14299683.79027032,14299.68379027032,0.7880500252176,0.24019764000000002,0.3327306226308467,1.091635935952187,1091.635935952187,0.4222201789016777,4577940.48020868,33867867.24,2001955.730637845,115255.45134957878,284563.7074263793,3717.917785470283,0,0,1143.9747032216258,285.99367580540644,117972.39126973014,3717.917785470283,2001.955730637845,115.25545134957878,284.5637074263793,3.717917785470283,0,0,1.1439747032216256,0.2859936758054064,117.97239126973014,3.717917785470283,141.98267593176206,8.17414548578573,20.18182322172903,0.2636821124447009,0,0,0.0811329576752926,0.02028323941882315,8.366836260264549,0.2636821124447009,2152102.410435683,112967.50194313553,253819.38727729814,3932.413042324338,71.49841895135161,643.4857705621644,786.4826084648676,285.99367580540644,123978.25846164367,3217.428852810822,2152.1024104356834,112.96750194313553,253.81938727729815,3.932413042324338,0.0714984189513516,0.6434857705621644,0.7864826084648676,0.2859936758054064,123.97825846164366,3.217428852810822,152.63137662664423,8.011879570435145,18.001374984205544,0.2788945420088183,0.005070809854705788,0.045637288692352083,0.05577890840176366,0.02028323941882315,8.792784288059835,0.22818644346176042
89,2016-11-10T07:00:00Z,TRE,136,8.01,15.7,0.27,0,0,0.07,0.01,5.46,0.27,2016-11-10T07:00:00Z,7,138,8.035,17.799999999999997,0.265,0,0,0.07500000000000001,0.015,6.855,0.265,0.0504,504988.56,2633400,30.479166666666668,240.19764,0.19176295283663705,0.29587215265932715,0.006291607475159657,1.4271690888,0.0014271690888,14299683.79027032,14299.68379027032,0.7880500252176,0.24019764000000002,0.3327306226308467,1.091635935952187,1091.635935952187,0.4222201789016777,14299683.79027032,33867867.24,1944756.9954767635,114540.46716006525,224505.035507244,3860.9146233729866,0,0,1000.9778653189225,142.99683790270322,78076.27349487593,3860.9146233729866,1944.7569954767634,114.54046716006525,224.505035507244,3.8609146233729863,0,0,1.0009778653189225,0.1429968379027032,78.07627349487593,3.8609146233729863,137.92602804799742,8.12343738723867,15.92234294377617,0.2738237321541125,0,0,0.07099133796588103,0.010141619709411576,5.537324361338719,0.2738237321541125,1973356.3630573042,114897.95925482201,254534.37146681163,3789.4162044216346,0,0,1072.476284270274,214.4952568540548,98024.33238230305,3789.4162044216346,1973.3563630573042,114.89795925482201,254.53437146681162,3.789416204421635,0,0,1.072476284270274,0.21449525685405477,98.02433238230304,3.789416204421635,139.95435198987974,8.1487914365122,18.0520830827526,0.2687529222994067,0,0,0.0760621478205868,0.01521242956411736,6.952080310801635,0.2687529222994067
90,2016-11-10T07:00:00Z,TRE,136,7.88,12.2,0.44,0,0,0.08,0.03,4.76,0.44,2016-11-10T07:00:00Z,7,136,7.945,13.95,0.355,0,0,0.07500000000000001,0.02,5.109999999999999,0.355,0.0504,504988.56,2633400,30.479166666666668,240.19764,0.19176295283663705,0.29587215265932715,0.006291607475159657,1.4271690888,0.0014271690888,14299683.79027032,14299.68379027032,0.7880500252176,0.24019764000000002,0.3327306226308467,1.091635935952187,1091.635935952187,0.4222201789016777,14299683.79027032,33867867.24,1944756.9954767635,112681.50826733011,174456.14224129787,6291.86086771894,0,0,1143.9747032216258,428.9905137081096,68066.49484168671,6291.86086771894,1944.7569954767634,112.68150826733012,174.45614224129787,6.291860867718941,0,0,1.1439747032216256,0.42899051370810953,68.0664948416867,6.291860867718941,137.92602804799742,7.9915963310163205,12.37277604548212,0.4462312672141093,0,0,0.0811329576752926,0.03042485912823472,4.8274109816799085,0.4462312672141093,1944756.9954767635,113610.98771369769,199480.58887427094,5076.387745545962,0,0,1072.476284270274,285.99367580540644,73071.38416828132,5076.387745545962,1944.7569954767634,113.61098771369768,199.48058887427095,5.076387745545963,0,0,1.072476284270274,0.2859936758054064,73.07138416828131,5.076387745545963,137.92602804799742,8.057516859127496,14.147559494629146,0.36002749968411085,0,0,0.0760621478205868,0.02028323941882315,5.182367671509313,0.36002749968411085
91,2016-11-10T07:00:00Z,TRE,134,7.93,7.93,0.23,0,0,0.03,0.01,3.44,0.23,2016-11-10T07:00:00Z,7,135,7.904999999999999,10.065,0.335,0,0,0.055,0.02,4.1,0.335,0.0504,504988.56,2633400,30.479166666666668,240.19764,0.19176295283663705,0.29587215265932715,0.006291607475159657,1.4271690888,0.0014271690888,14299683.79027032,14299.68379027032,0.7880500252176,0.24019764000000002,0.3327306226308467,1.091635935952187,1091.635935952187,0.4222201789016777,14299683.79027032,33867867.24,1916157.6278962228,113396.49245684363,113396.49245684363,3288.9272717621734,0,0,428.9905137081096,142.99683790270322,49190.9122385299,3288.9272717621734,1916.1576278962227,113.39649245684363,113.39649245684363,3.288927271762174,0,0,0.42899051370810953,0.1429968379027032,49.1909122385299,3.288927271762174,135.8977041061151,8.042304429563378,8.042304429563378,0.23325725331646624,0,0,0.03042485912823472,0.010141619709411576,3.4887171800375816,0.23325725331646624,1930457.3116864932,113039.00036208687,143926.31734907077,4790.394069740557,0,0,786.4826084648676,285.99367580540644,58628.7035401083,4790.394069740557,1930.457311686493,113.03900036208687,143.92631734907076,4.790394069740557,0,0,0.7864826084648676,0.2859936758054064,58.6287035401083,4.790394069740557,136.91186607705626,8.016950380289849,10.20754023752275,0.33974426026528776,0,0,0.05577890840176366,0.02028323941882315,4.158064080858745,0.33974426026528776
98,2016-12-10T18:30:00Z,TRE,99,7.6,30.7,0.3,0.04,0.04,0.07,0.01,2.95,0.22,2016-12-10T18:30:00Z,8,116.5,7.765,19.314999999999998,0.265,0.02,0.02,0.05,0.01,3.1950000000000003,0.225,1.64,94138.8,89400,1.0347222222222223,0.254,1.053006711409396,0.30975121875824835,1.0176709157245167,46.439629079999996,0.046439629079999996,2665713.9963636,2665.7139963636,8.333333600000001e-4,2.54e-4,0.06202687351515596,0.20350024770346428,203.50024770346428,74.43224583635528,14299683.79027032,35814,263905.6856399964,20259.42637236336,81837.41968836251,799.7141989090799,106.628559854544,106.628559854544,186.599979745452,26.657139963636,7863.8562892726195,586.457079199992,263.90568563999636,20.259426372363357,81.83741968836252,0.7997141989090799,0.106628559854544,0.106628559854544,0.186599979745452,0.026657139963636,7.863856289272619,0.586457079199992,18.716715293616765,1.4368387498130042,5.804072318323583,0.05671731907156595,0.007562309209542128,0.007562309209542128,0.013234041116698724,0.001890577302385532,0.5577203042037319,0.041592700652481704,310555.6805763594,20699.26918176335,51488.26583976293,706.414209036354,53.314279927272,53.314279927272,133.28569981818,26.657139963636,8516.956218381703,599.78564918181,310.5556805763594,20.699269181763352,51.488265839762924,0.706414209036354,0.053314279927272,0.053314279927272,0.13328569981818,0.026657139963636,8.516956218381702,0.59978564918181,22.02522557279145,1.4680332753023655,3.6516500595576544,0.050100298513216596,0.003781154604771064,0.003781154604771064,0.00945288651192766,0.001890577302385532,0.6040394481121775,0.042537989303674466
104,2016-12-11T19:20:00Z,TRE,110,7.44,18.5,0.16,0.02,0.02,0.04,0.01,1.64,0.12,2016-12-11T19:20:00Z,9,104.5,7.52,24.6,0.22999999999999998,0.03,0.03,0.05500000000000001,0.01,2.295,0.16999999999999998,0.605,70582.2,240000,2.777777777777778,14.224,0.2940925,0.11528367081091362,0.10587329999999998,17.131692434999998,0.017131692435,1998665.3583234,1998.6653583234,0.04666666816,0.014224,0.0465057255012964,0.15257784445367328,152.5778444536733,0.9965512288524263,2665713.9963636,2005584.0000000002,219853.189415574,14870.070265926097,36975.3091289829,319.786457331744,39.973307166468,39.973307166468,79.946614332936,19.986653583234,3277.8111876503754,239.839842998808,219.85318941557398,14.870070265926097,36.9753091289829,0.319786457331744,0.039973307166468,0.039973307166468,0.079946614332936,0.019986653583234,3.2778111876503755,0.23983984299880798,15.592424781246383,1.054614912477028,2.6223623495732555,0.02267989059090383,0.002834986323862979,0.002834986323862979,0.005669972647725958,0.0014174931619314894,0.23246887855676424,0.017009917943177872,208860.52994479527,15029.963494591966,49167.16781475564,459.6930324143819,59.959960749702,59.959960749702,109.926594707787,19.986653583234,4586.9369973522025,339.77311091497796,208.86052994479527,15.029963494591966,49.16716781475564,0.4596930324143819,0.059959960749701995,0.059959960749701995,0.10992659470778701,0.019986653583234,4.586936997352202,0.33977311091497797,14.812803542184062,1.0659548577724798,3.487033178351464,0.03260234272442425,0.004252479485794468,0.004252479485794468,0.007796212390623193,0.0014174931619314894,0.3253146806632768,0.02409738375283532
48,2016-12-14T14:00:00Z,TRE,180,7.78,2.5,0.12,0.06,0.02,0.02,0.02,2.17,0.04,2016-12-14T14:00:00Z,10,145,7.61,10.5,0.14,0.04,0.02,0.03,0.015,1.9049999999999998,0.08,0.217,72015.6,104400,1.2083333333333335,66.294,0.6898045977011494,0.7571490157937653,0.570872770511296,6.1447557989999995,0.006144755799,2039254.7268132002,2039.2547268132003,0.21750000696,0.06629399999999999,0.04745017476660066,0.15567643138125412,155.6764313812541,0.21816171608365573,1998665.3583234,9347454,367065.850826376,15865.401774606697,5098.136817033001,244.710567217584,122.355283608792,40.785094536264005,40.785094536264005,40.785094536264005,4425.182757184644,81.57018907252801,367.065850826376,15.865401774606697,5.098136817033001,0.244710567217584,0.122355283608792,0.040785094536264006,0.040785094536264006,0.040785094536264006,4.425182757184644,0.08157018907252801,26.033039065700425,1.1252057996174962,0.3615699870236171,0.017355359377133617,0.008677679688566808,0.0028925598961889367,0.0028925598961889367,0.0028925598961889367,0.3138427487364996,0.005785119792377873,295691.935387914,15518.728471048455,21412.174631538604,285.4956617538481,81.57018907252801,40.785094536264005,61.177641804396,30.588820902198,3884.780254579146,163.14037814505602,295.691935387914,15.518728471048453,21.412174631538605,0.28549566175384805,0.08157018907252801,0.040785094536264006,0.061177641804396,0.030588820902198,3.884780254579146,0.16314037814505603,20.971059247369787,1.1006190404998903,1.518593945499192,0.02024791927332256,0.005785119792377873,0.0028925598961889367,0.004338839844283404,0.002169419922141702,0.27551633011199617,0.011570239584755747
112,2016-12-15T19:00:00Z,TRE,93,7.42,51.9,0.3,0,0.02,0.11,0.01,3.29,0.28,2016-12-15T19:00:00Z,11,136.5,7.6,27.2,0.21,0.03,0.02,0.065,0.015,2.73,0.16,2.61,159948,87600,1.013888888888889,0.508,1.825890410958904,0.6902216947527918,1.8008782135485077,73.90697066999999,0.07390697066999999,4529223.043955999,4529.223043956,0.0016666667200000002,5.08e-4,0.10538772923600222,0.3457602775866455,345.76027758664554,63.23263551815699,2039254.7268132002,71628,421217.74308790796,33606.83498615351,235066.67598131637,1358.7669131867997,0,90.58446087911999,498.21453483515995,45.292230439559994,14901.143814615238,1268.18245230768,421.217743087908,33.606834986153515,235.06667598131637,1.3587669131867997,0,0.09058446087911999,0.49821453483515993,0.045292230439559995,14.901143814615239,1.26818245230768,29.873598800560853,2.3834634741952847,16.671395459667828,0.09636644774374466,0,0.006424429849582978,0.03533436417270638,0.003212214924791489,1.0568187102564,0.0899420178941617,618238.945499994,34422.09513406559,123194.86679560319,951.1368392307598,135.87669131867997,90.58446087911999,294.39949785714,67.93834565933999,12364.778909999879,724.6756870329599,618.238945499994,34.42209513406559,123.19486679560319,0.9511368392307599,0.13587669131868,0.09058446087911999,0.29439949785714,0.06793834565934,12.36477890999988,0.7246756870329599,43.84673372340383,2.4412833428415315,8.737224595432851,0.06745651342062127,0.009636644774374467,0.006424429849582978,0.02087939701114468,0.0048183223871872335,0.8769346744680766,0.05139543879666383
