sample,datetime,SUBWS,ec,ph,turb,tn,nh4n,no3n,tp,po4,doc,don,time_round,date_group,sample_cfs,vol_ft3,time_secs,time_days,rain_mm,mean_Q_cfs,sd_Q_cfs,vol_L,vol_m3,rain_ft,rain_m,mean_Q_Ls,mean_Q_cms,runoff_ft,runoff_m,runoff_ratio,avg_L_per_day,rain_L,ec_grams,ph_grams,turb_grams,tn_grams,nh4n_grams,no3n_grams,tp_grams,po4_grams,doc_grams,don_grams,ec_kg,ph_kg,turb_kg,tn_kg,nh4n_kg,no3n_kg,tp_kg,po4_kg,doc_kg,don_kg,ec_ha,ph_ha,turb_ha,tn_ha,nh4n_ha,no3n_ha,tp_ha,po4_ha,doc_ha,don_ha
349,2017-08-01T21:20:00Z,TRE,294,7.75,5.34,0.05,0.01,0.01,0.03,0.01,1.09,0.03,2017-08-01T21:20:00Z,49,0.0172,63162.942,4397400,50.895833333333336,5.334,0.014363701732842134,0.002685433065023824,1788575.364683874,1788.5753646838739,0.01750000056,0.005333999999999999,0.40673474432252554,4.0673474432252556e-4,0.04161726954538546,0.13653960261528242,2.378129612207593,35141.88190946621,752094,525841.1572170589,13861.459076300023,9550.992447411887,89.4287682341937,17.88575364683874,17.88575364683874,53.65726094051622,17.88575364683874,1949.5471475054228,53.65726094051622,525.8411572170589,13.861459076300022,9.550992447411888,0.0894287682341937,0.01788575364683874,0.01788575364683874,0.05365726094051621,0.01788575364683874,1.949547147505423,0.05365726094051621,37.293699093408435,0.9830822039929094,0.6773753508802758,0.006342465832212319,0.0012684931664424639,0.0012684931664424639,0.003805479499327391,0.0012684931664424639,0.13826575514222858,0.003805479499327391
362,2017-09-21T18:45:00Z,TRE,309,7.79,0.97,0.13,0.03,0.01,0.04,0.02,1.28,0.09,2017-09-21T18:50:00Z,50,0.0155,36658.02,2409600,27.88888888888889,1.016,0.01521332171314741,0.001167607348868791,1038039.5436629399,1038.0395436629399,0.0033333334400000004,0.001016,0.43079330331297305,4.3079330331297305e-4,0.024153509178532734,0.07924379905329733,7.2460525216861384,37220.541406240874,143256,320754.2189918484,8086.328045134303,1006.8983573530517,134.9451406761822,31.141186309888194,10.3803954366294,41.5215817465176,20.7607908732588,1328.6906158885631,93.4235589296646,320.7542189918484,8.086328045134302,1.0068983573530517,0.1349451406761822,0.031141186309888196,0.0103803954366294,0.0415215817465176,0.0207607908732588,1.3286906158885632,0.0934235589296646,22.74852616963464,0.5734984429173263,0.07141123101794693,0.009570577352920724,0.002208594773750936,7.361982579169788e-4,0.002944793031667915,0.0014723965158339575,0.09423337701337328,0.006625784321252808
373,2017-10-19T16:10:00Z,TRE,325,7.89,8.76,0.15,0.02,0.02,0.07,0.01,1.12,0.11,2017-10-19T16:10:00Z,51,0.0181,26571.36,1225800,14.187500000000002,24.66594,0.021676749877630935,0.0030042449252034873,752417.13570192,752.4171357019201,0.0809250025896,0.02466594,0.6138172097421439,6.138172097421439e-4,0.0175075355309997,0.05743942287152506,0.21634272438379462,53033.806921721225,3477897.5399999996,244535.569103124,5936.571200688149,6591.17410874882,112.862570355288,15.048342714038402,15.048342714038402,52.6691994991344,7.524171357019201,842.7071919861504,82.7658849272112,244.535569103124,5.936571200688149,6.591174108748819,0.112862570355288,0.0150483427140384,0.0150483427140384,0.0526691994991344,0.0075241713570192,0.8427071919861504,0.0827658849272112,17.34294816334213,0.42103341848852116,0.46745915664885246,0.008004437613850213,0.0010672583485133618,0.0010672583485133618,0.003735404219796766,5.336291742566809e-4,0.05976646751674826,0.005869920916823489
385,2017-11-02T20:40:00Z,TRE,281,8.14,7.04,0.11,0.01,0,0.03,0.01,3.64,0.1,2017-11-02T20:40:00Z,52,0.019,61961.46,1637400,18.95138888888889,125.87732,0.037841370465371935,0.027989487836557636,1754553.18271662,1754.5531827166199,0.41298334654880003,0.12587732,1.0715482977382558,0.0010715482977382558,0.04082562813881625,0.1339423538229539,0.09885538601007997,92581.7729245853,17748702.12,493029.4443433702,14282.062907313288,12352.054406325005,193.0008500988282,17.5455318271662,0,52.636595481498595,17.5455318271662,6386.573585088497,175.45531827166198,493.0294443433702,14.282062907313287,12.352054406325005,0.1930008500988282,0.0175455318271662,0,0.0526365954814986,0.0175455318271662,6.386573585088497,0.175455318271662,34.96662725839505,1.0129122629300205,0.8760322273989365,0.013688003553108383,0.0012443639593734894,0,0.0037330918781204683,0.0012443639593734894,0.45294848121195014,0.012443639593734894
396,2017-11-21T19:32:00Z,TRE,335,8.43,3.49,0.21,0.01,0.01,0.06,0.02,1.24,0.19,2017-11-21T19:30:00Z,53,0.0819,84622.38,1206600,13.965277777777779,66.01459999999999,0.07013291894579811,0.07071755360899223,2396238.98723586,2396.23898723586,0.21658334026399997,0.06601459999999999,1.9859431354515662,0.001985943135451566,0.05575662384491266,0.18292856177534325,0.2574372699993879,171585.48690301532,9308058.599999998,802740.0607240131,20200.294662398297,8362.874065453152,503.2101873195306,23.9623898723586,23.9623898723586,143.7743392341516,47.9247797447172,2971.3363441724664,455.2854075748134,802.7400607240131,20.200294662398296,8.362874065453152,0.5032101873195306,0.0239623898723586,0.0239623898723586,0.1437743392341516,0.0479247797447172,2.9713363441724665,0.4552854075748134,56.93191920028462,1.4326450115176097,0.5931116358477413,0.035688665767342594,0.0016994602746353616,0.0016994602746353616,0.010196761647812169,0.0033989205492707232,0.21073307405478486,0.032289745218071875
412,2017-12-05T18:40:00Z,TRE,284,6.82,2.46,0.09,0.03,0.01,0.02,0.01,1.45,0.05,2017-12-05T18:40:00Z,54,0.0249,27110.76,1219800,14.118055555555557,13.716,0.02222557796360059,0.003076465621684065,767691.24297372,767.69124297372,0.04500000144,0.013715999999999999,0.6293582906818495,6.293582906818495e-4,0.01786293941945032,0.05860544616490938,0.39695419661858394,54376.55631491179,1933956,218024.31300453647,5235.654277080771,1888.520457715351,69.09221186763479,23.030737289211597,7.6769124297372,15.3538248594744,7.6769124297372,1113.1523023118941,38.384562148685994,218.02431300453648,5.235654277080771,1.8885204577153512,0.06909221186763478,0.023030737289211595,0.0076769124297372,0.0153538248594744,0.0076769124297372,1.113152302311894,0.038384562148686,15.46271723436429,0.37132299837452276,0.13393762111456392,0.0049001568700450205,0.0016333856233483402,5.444618744494469e-4,0.0010889237488988937,5.444618744494469e-4,0.0789469717951698,0.002722309372247234
426,2017-12-19T21:28:00Z,TRE,301,6.92,10.4,0.3,0.01,0.01,0.1,0,1.28,0.28,2017-12-19T21:30:00Z,55,0.029,48520.8,1459800,16.895833333333336,25.908,0.033237977805178794,0.006834593906705283,1373956.0699176001,1373.9560699176002,0.08500000272000001,0.025908,0.9411947320986437,9.411947320986437e-4,0.03196974599691285,0.10488762145651156,0.37611464675154127,81319.22485332281,3653028.0000000005,413560.77704519767,9507.776003829793,14289.143127143043,412.18682097528,13.739560699176002,13.739560699176002,137.39560699176002,0,1758.6637694945282,384.70769957692806,413.56077704519765,9.507776003829791,14.289143127143042,0.41218682097528003,0.013739560699176001,0.013739560699176001,0.13739560699176004,0,1.7586637694945282,0.3847076995769281,29.330551563489195,0.6743103548815456,1.0134144061803576,0.029233107870587235,9.744369290195746e-4,9.744369290195746e-4,0.009744369290195747,0,0.12472792691450554,0.027284234012548092
440,2018-01-05T19:00:00Z,TRE,196,6.89,8.87,0.03,0.02,0,0.03,0.01,3.52,0.01,2018-01-05T19:00:00Z,56,0.0641,14138.7,266400,3.0833333333333335,51.053999999999995,0.053073198198198196,0.01516731300789183,400363.4046789,400.36340467890005,0.16750000535999998,0.051053999999999995,1.502865633179054,0.001502865633179054,0.009315811934810467,0.030563688428203572,0.05561678589077311,129847.59070667028,7198613.999999999,78471.2273170644,2758.503858237621,3551.223399501843,12.010902140367001,8.007268093578,0,12.010902140367001,4.003634046789,1409.279184469728,4.003634046789,78.4712273170644,2.758503858237621,3.551223399501843,0.012010902140367001,0.008007268093578001,0,0.012010902140367001,0.0040036340467890005,1.409279184469728,0.0040036340467890005,5.5653352707137875,0.19563857150621428,0.2518598155675066,8.518370312317023e-4,5.678913541544682e-4,0,8.518370312317023e-4,2.839456770772341e-4,0.09994887833118639,2.839456770772341e-4
447,2018-01-08T21:00:00Z,TRE,146,6.59,25.8,0.31,0.02,0,0.09,0,9.72,0.29,2018-01-08T21:00:00Z,57,0.177,4945.8,14400,0.16666666666666669,2.032,0.3434583333333333,0.1342071660001697,140049.4618926,140.0494618926,0.006666666880000001,0.002032,9.725657075874999,0.009725657075875,0.0032587255311439956,0.010691357071598467,0.48880881402971726,840296.7713555999,286512,20447.2214363196,922.925953872234,3613.27611682908,43.415333186706,2.800989237852,0,12.604451570333998,0,1361.280769596072,40.61434394885399,20.4472214363196,0.922925953872234,3.61327611682908,0.043415333186706,0.002800989237852,0,0.012604451570333998,0,1.3612807695960722,0.04061434394885399,1.450157548675149,0.06545574140937829,0.2562607175056085,0.003079101644447234,1.9865171899659576e-4,0,8.939327354846807e-4,0,0.09654473543234555,0.0028804499254506378
448,2018-01-09T01:00:00Z,TRE,142,6.93,65.1,0.34,0.01,0,0.19,0,7.53,0.33,2018-01-09T01:00:00Z,58,0.592,9993,14400,0.16666666666666669,5.588,0.6939583333333333,0.034941540204805756,282970.252071,282.970252071,0.01833333392,0.005588,19.650711949375,0.019650711949375,0.006584262249327095,0.021601910958082306,0.35914156574349326,1697821.5124259999,787908,40181.775794082,1960.98384685203,18421.363409822097,96.20988570414,2.82970252071,0,53.76434789349,0,2130.76599809463,93.38018318343,40.181775794082,1.96098384685203,18.4213634098221,0.09620988570414,0.00282970252071,0,0.053764347893489994,0,2.13076599809463,0.09338018318343001,2.849771332913617,0.13907686857106596,1.306479674455468,0.006823396149229788,2.0068812203617023e-4,0,0.003813074318687234,0,0.15111815589323616,0.006622708027193618
