sample,datetime,SUBWS,ec,ph,turb,tn,nh4n,no3n,tp,po4,doc,don,time_round,date_group,sample_cfs,vol_ft3,time_secs,time_days,rain_mm,mean_Q_cfs,sd_Q_cfs,vol_L,vol_m3,rain_ft,rain_m,mean_Q_Ls,mean_Q_cms,runoff_ft,runoff_m,runoff_ratio,avg_L_per_day,rain_L,ec_grams,ph_grams,turb_grams,tn_grams,nh4n_grams,no3n_grams,tp_grams,po4_grams,doc_grams,don_grams,ec_kg,ph_kg,turb_kg,tn_kg,nh4n_kg,no3n_kg,tp_kg,po4_kg,doc_kg,don_kg,ec_ha,ph_ha,turb_ha,tn_ha,nh4n_ha,no3n_ha,tp_ha,po4_ha,doc_ha,don_ha
811,2018-05-10T18:05:00Z,WIL,262,8.39,0.79,0.3,0.01,0,0.02,0.02,0.78,0.29,2018-05-10T18:10:00Z,119,0.0331,3109.92,91800,1.0625,0,0.033877124183006535,0.0010464537063229924,88063.12882224,88.06312882224,0,0,0.959293342290196,9.59293342290196e-4,0.0010902690632402124,0.0035769983534410183,Inf,82882.94477387295,0,23072.53975142688,738.8496508185937,69.56987176956962,26.418938646672,0.8806312882224,0,1.7612625764448,1.7612625764448,68.68924048134721,25.538307358449597,23.07253975142688,0.7388496508185937,0.06956987176956961,0.026418938646672,8.806312882224e-4,0,0.0017612625764448,0.0017612625764448,0.06868924048134721,0.0255383073584496,0.8706618774123351,0.027881118898814856,0.002625278179983759,9.969410810064905e-4,3.323136936688302e-5,0,6.646273873376604e-5,6.646273873376604e-5,0.002592046810616876,9.637097116396076e-4
810,2018-05-11T19:35:00Z,BWIL,193,7.48,2.55,0.19,0.03,0,0.01,0.01,1.4,0.16,2018-05-11T19:40:00Z,120,0.0349,39343.62,1043400,12.07638888888889,0.762,0.03770713053479011,0.0017059416206938423,1114087.26796614,1114.0872679661402,0.00250000008,7.62e-4,1.0677470461626797,0.0010677470461626798,0.013793001659810825,0.04525263156557375,5.517200487373914,92253.34478845554,201930,215018.84271746504,8333.372764386728,2840.9225333136574,211.6765809135666,33.4226180389842,0,11.1408726796614,11.1408726796614,1559.722175152596,178.2539628745824,215.01884271746505,8.333372764386729,2.840922533313657,0.21167658091356661,0.0334226180389842,0,0.011140872679661401,0.011140872679661401,1.559722175152596,0.17825396287458242,8.113918593111888,0.3144668967693105,0.10720462389862857,0.007987795506172325,0.00126123086939563,0,4.204102897985435e-4,4.204102897985435e-4,0.05885744057179608,0.006726564636776696
825,2018-05-23T21:30:00Z,WIL,281,7.79,0.47,0.01,0.01,0,0.03,0.03,0.73,0,2018-05-23T21:30:00Z,121,0.0404,66860.16,1816800,21.02777777777778,14.986,0.03680105680317041,0.011535820838199764,1893268.92111552,1893.26892111552,0.04916666824,0.014986000000000001,1.0420898949336856,0.0010420898949336857,0.02343969105677661,0.07690187600671497,0.4767394638652173,90036.56692227043,3971290.0000000005,532008.566833461,14748.5648954899,889.8363929242944,18.9326892111552,18.9326892111552,0,56.79806763346559,56.79806763346559,1382.0863124143295,0,532.0085668334611,14.748564895489901,0.8898363929242944,0.0189326892111552,0.0189326892111552,0,0.05679806763346559,0.05679806763346559,1.3820863124143294,0,20.07579497484759,0.5565496186977321,0.03357873180846394,7.144411023077433e-4,7.144411023077433e-4,0,0.00214332330692323,0.00214332330692323,0.052154200468465264,0
837,2018-06-13T22:05:00Z,WIL,302,7.65,0.58,0.06,0.01,0,0.04,0,1.6,0.05,2018-06-13T22:10:00Z,122,0.0155,18.72,1200,0.01388888888888889,0,0.0156,1.4142135623730864e-4,530.09137584,0.53009137584,0,0,0.4417428132,4.417428132e-4,6.562817327730865e-6,2.153155360151253e-5,Inf,38166.57906047999,0,160.08759550368,4.055199025176,0.3074529979872,0.0318054825504,0.005300913758399999,0,0.021203655033599996,0,0.848146201344,0.026504568792,0.16008759550368,0.004055199025176,3.074529979872e-4,3.18054825504e-5,5.300913758399999e-6,0,2.1203655033599996e-5,0,8.48146201344e-4,2.6504568792e-5,0.00604104133976151,1.530263783085283e-4,1.1601999924045282e-5,1.2002068886943395e-6,2.0003448144905658e-7,0,8.001379257962263e-7,0,3.200551703184906e-5,1.000172407245283e-6
838,2018-06-13T22:30:00Z,BWIL,241,7.49,0.89,0.05,0.01,0,0.03,0,2.34,0.04,2018-06-13T22:30:00Z,123,0.0157,26864.100000000002,1885800,21.82638888888889,0,0.014245466115176584,0.0015151781298457024,760706.6094927001,760.7066094927001,0,0,0.4033866844271397,4.0338668442713974e-4,0.009417958385357627,0.030898814589016714,Inf,34852.609534504874,0,183330.29288774074,5697.692505100324,677.028882448503,38.035330474635,7.607066094927001,0,22.821198284781005,0,1780.053466212918,30.428264379708004,183.33029288774074,5.697692505100324,0.677028882448503,0.038035330474635004,0.007607066094927001,0,0.022821198284781002,0,1.7800534662129182,0.030428264379708005,6.9181242599147446,0.21500726434340847,0.02554825971503785,0.001435295489608868,2.8705909792177365e-4,0,8.611772937653209e-4,0,0.06717182891369503,0.0011482363916870946
856,2018-07-05T18:15:00Z,WIL,328,7.73,0.57,0.11,0.01,0.08,0.04,0,0.93,0.02,2018-07-05T18:20:00Z,124,0.0113,20.279999999999998,1800,0.020833333333333336,0,0.011266666666666666,5.7735026918962226e-5,574.2656571599999,0.57426565716,0,0,0.3190364762,3.190364762e-4,7.109718771708437e-6,2.3325849734971908e-5,Inf,27564.751543679995,0,188.35913554847997,4.4390735298468,0.32733142458119996,0.0631692222876,0.0057426565716,0.0459412525728,0.0229706262864,0,0.5340670611588,0.0114853131432,0.18835913554847997,0.0044390735298468,3.2733142458119994e-4,6.316922228759999e-5,5.742656571599999e-6,4.5941252572799995e-5,2.2970626286399998e-5,0,5.340670611588e-4,1.1485313143199999e-5,0.00710789190748981,1.6751220867346415e-4,1.2352129229479243e-5,2.383744237267924e-6,2.167040215698113e-7,1.7336321725584904e-6,8.668160862792452e-7,0,2.015347400599245e-5,4.334080431396226e-7
857,2018-07-05T18:51:00Z,BWIL,276,7.56,2.76,0.14,0.01,0,0.03,0.01,1.41,0.13,2018-07-05T18:50:00Z,125,0.0112,12260.472,1287000,14.895833333333334,0,0.00952639627039627,5.52349815463715e-4,347177.909771784,347.17790977178396,0,0,0.2697575056501818,2.697575056501818e-4,0.00429824989785038,0.014101870194863439,Inf,23307.048488175707,0,95821.10309701237,2624.6649978746864,958.2110309701237,48.60490736804976,3.4717790977178398,0,10.41533729315352,3.4717790977178398,489.5208527782154,45.133128270331916,95.82110309701237,2.6246649978746865,0.9582110309701237,0.04860490736804976,0.00347177909771784,0,0.010415337293153519,0.00347177909771784,0.4895208527782154,0.04513312827033192,3.615890682906127,0.09904396218395044,0.036158906829061276,0.0018341474478509342,1.3101053198935245e-4,0,3.930315959680573e-4,1.3101053198935245e-4,0.018472485010498692,0.0017031369158615817
871,2018-07-20T16:20:00Z,BWIL,290,7.47,2.55,0.06,0.01,0,0.05,0.01,1.46,0.05,2018-07-20T16:20:00Z,126,0.00923,5.538,600,0.006944444444444445,0,0.00923,NA,156.818698686,0.156818698686,0,0,0.26136449781,2.6136449780999997e-4,1.941500126120381e-6,6.369751273780791e-6,Inf,22581.892610783998,0,45.47742261894,1.17143567918442,0.39988768164929994,0.00940912192116,0.00156818698686,0,0.007840934934300001,0.00156818698686,0.22895530008156,0.007840934934300001,0.04547742261894,0.00117143567918442,3.9988768164929997e-4,9.40912192116e-6,1.56818698686e-6,0,7.8409349343e-6,1.56818698686e-6,2.2895530008156e-4,7.8409349343e-6,0.0017161291554316982,4.42051199692234e-5,1.5090101194313206e-5,3.550612045720755e-7,5.917686742867925e-8,0,2.9588433714339626e-007,5.917686742867925e-8,8.63982264458717e-6,2.9588433714339626e-007
872,2018-07-20T16:30:00Z,WIL,350,7.85,0.19,0.02,0.01,0.01,0.05,0.01,0.87,0,2018-07-20T16:30:00Z,127,0.00912,9690.768,1129800,13.07638888888889,0,0.008577419012214552,3.460315911319339e-4,274411.994768496,274.411994768496,0,0,0.24288546182377058,2.4288546182377058e-4,0.003397368597725416,0.011146222790161454,Inf,20985.303901573778,0,96044.19816897361,2154.134158932694,52.138279006014244,5.4882398953699205,2.7441199476849603,2.7441199476849603,13.720599738424802,2.7441199476849603,238.73843544859153,0,96.04419816897361,2.1541341589326937,0.05213827900601424,0.00548823989536992,0.00274411994768496,0.00274411994768496,0.013720599738424802,0.00274411994768496,0.23873843544859155,0,3.6243093648669285,0.08128808146915825,0.0019674822266420467,2.071033922781102e-4,1.035516961390551e-4,1.035516961390551e-4,5.177584806952756e-4,1.035516961390551e-4,0.009008997564097794,0
889,2018-08-02T18:15:00Z,BWIL,300,7.33,28.6,0.27,0.01,0,0.41,0,1.89,0.26,2018-08-02T18:20:00Z,128,0.00878,5.268,600,0.006944444444444445,0,0.00878,NA,149.17314999599998,0.14917314999599998,0,0,0.24862191665999997,2.4862191666e-4,1.8468441069704166e-6,6.059200019912822e-6,Inf,21480.933599423995,0,44.75194499879999,1.0934391894706799,4.2663520898856,0.040276750498919996,0.0014917314999599997,0,0.06116099149835999,0,0.2819372534924399,0.038785018998959996,0.04475194499879999,0.00109343918947068,0.004266352089885599,4.0276750498919994e-5,1.4917314999599997e-6,0,6.116099149836e-5,0,2.8193725349243994e-4,3.878501899896e-5,0.0016887526414641504,4.126185620644075e-5,1.6099441848624902e-4,1.5198773773177357e-6,5.6291754715471684e-8,0,2.3079619433343395e-6,0,1.0639141641224148e-5,1.4635856226022641e-6
