sample,datetime,SUBWS,ec,ph,turb,tn,nh4n,no3n,tp,po4,doc,don,time_round,date_group,sample_cfs,vol_ft3,time_secs,time_days,rain_mm,mean_Q_cfs,sd_Q_cfs,vol_L,vol_m3,rain_ft,rain_m,mean_Q_Ls,mean_Q_cms,runoff_ft,runoff_m,runoff_ratio,avg_L_per_day,rain_L,ec_grams,ph_grams,turb_grams,tn_grams,nh4n_grams,no3n_grams,tp_grams,po4_grams,doc_grams,don_grams,ec_kg,ph_kg,turb_kg,tn_kg,nh4n_kg,no3n_kg,tp_kg,po4_kg,doc_kg,don_kg,ec_ha,ph_ha,turb_ha,tn_ha,nh4n_ha,no3n_ha,tp_ha,po4_ha,doc_ha,don_ha
1654,2019-08-05T18:00:00Z,ZIE,172.3,7.05,NA,0.04,0.25,0.04,0.01,0,4.19,0,2019-08-05T18:00:00Z,186,0.00867,7528.398,1461000,16.909722222222225,2.032,0.005152907597535934,0.0011899479722870146,213180.494321106,213.180494321106,0.006666666880000001,0.002032,0.14591409604456262,1.4591409604456263e-4,0.002764473270282341,0.009069794484073116,0.4146709772728798,12606.977898250208,514096,36730.999171526564,1502.9224849637972,NA,8.52721977284424,53.2951235802765,8.52721977284424,2.13180494321106,0,893.2262712054343,0,36.73099917152657,1.5029224849637972,NA,0.00852721977284424,0.0532951235802765,0.00852721977284424,0.00213180494321106,0,0.8932262712054342,0,1.4518181490721964,0.05940405078908289,NA,3.37044259796215e-4,0.0021065266237263436,3.37044259796215e-4,8.426106494905376e-5,0,0.035305386213653527,0
1630,2019-08-22T15:45:00Z,ZIE,154.8,7.18,1.28,0.04,0.04,0.02,0,0,4.7,0,2019-08-22T15:50:00Z,187,0.00509,3954.498,1212000,14.027777777777779,0,0.003262787128712871,7.94461514362741e-4,111978.914827806,111.97891482780601,0,0,0.09239184391733167,9.239184391733168e-5,0.0014521155786908421,0.004764158875192062,Inf,7982.655314457457,0,17334.336015344372,804.0086084636471,143.3330109795917,4.479156593112241,4.479156593112241,2.2395782965561204,0,0,526.3008996906882,0,17.33433601534437,0.8040086084636471,0.1433330109795917,0.0044791565931122405,0.0044791565931122405,0.0022395782965561203,0,0,0.5263008996906883,0,0.6851516211598565,0.031778996381962334,0.0056653364023554025,1.7704176257360633e-4,1.7704176257360633e-4,8.852088128680316e-5,0,0,0.020802407102398744,0
1644,2019-09-05T16:30:00Z,ZIE,167.4,6.96,1.23,0.07,0.07,0.02,0,0,6.76,0,2019-09-05T16:30:00Z,188,0.00309,5690.667,2246400,26,20.421599999999998,0.002533238514957265,0.001178819536825883,161141.746766949,161.141746766949,0.067000002144,0.020421599999999998,0.07173332744255208,7.173332744255208e-5,0.0020896473342107845,0.00685579855997211,0.031188765184210033,6197.759491036501,5166664.8,26975.128408787266,1121.546557497965,198.20434852334728,11.279922273686433,11.279922273686433,3.2228349353389802,0,0,1089.3182081445755,0,26.975128408787267,1.1215465574979653,0.19820434852334728,0.011279922273686432,0.011279922273686432,0.0032228349353389803,0,0,1.0893182081445754,0,1.066210609042975,0.0443299034584176,0.007834163973254833,4.4584673018523445e-4,4.4584673018523445e-4,1.273847800529241e-4,0,0,0.04305605565788835,0
1667,2019-10-01T16:30:00Z,ZIE,168.1,7.3,0.81,0.03,0,0.03,0.34,0.08,2.05,0,2019-10-01T16:30:00Z,189,0.00333,3448.1166,1915200,22.166666666666668,10.922,0.0018003950501253132,8.988017530585342e-4,97639.79020036019,97.6397902003602,0.035833334480000006,0.010922000000000001,0.05098151117395582,5.0981511173955824e-5,0.0012661692664915998,0.0041540987762763,0.03533495514346561,4404.802565429783,2763266,16413.24873268055,712.7704684626293,79.08823006229176,2.9291937060108055,0,2.9291937060108055,33.197528668122466,7.811183216028816,200.1615699107384,0,16.413248732680547,0.7127704684626294,0.07908823006229175,0.002929193706010806,0,0.002929193706010806,0.03319752866812247,0.007811183216028816,0.20016156991073839,0,0.6487450091968595,0.028172745789036734,0.003126016998509555,1.1577840735220576e-4,0,1.1577840735220576e-4,0.0013121552833249988,3.0874241960588203e-4,0.007911524502400727,0
1679,2019-10-23T20:30:00Z,ZIE,204.3,7.22,0.41,0.13,0.06,0.02,0.33,0,2.04,0.05,2019-10-23T20:30:00Z,190,0.00114,1415.44812,2847000,32.951388888888886,5.0673,4.971718018967334e-4,5.288038002188971e-4,40081.027850477636,40.08102785047764,0.016625000532,0.0050673,0.014078337847024109,1.407833784702411e-5,5.197611089651997e-4,0.0017052530367373858,0.0312638251027275,1216.3683899828832,1282026.9,8188.553989852581,289.38502108044855,16.43322141869583,5.210533620562092,2.4048616710286583,0.8016205570095527,13.226739190657621,0,81.76529681497438,2.004051392523882,8.188553989852581,0.2893850210804485,0.01643322141869583,0.005210533620562093,0.0024048616710286583,8.016205570095527e-4,0.013226739190657621,0,0.08176529681497438,0.002004051392523882,0.32365826046848145,0.011438143125709427,6.495344434267126e-4,2.0594994547676256e-4,9.505382098927503e-5,3.168460699642501e-5,5.227960154410127e-4,0,0.003231829913635351,7.921151749106253e-5
1695,2019-11-25T19:15:00Z,ZIE,180.6,7.74,4.8,0.43,0.01,0.18,0.34,0.02,2.8,0.23,2019-11-25T19:20:00Z,191,0.0145,45597.24,940200,10.881944444444445,100.8126,0.048497383535418,0.027164369590877542,1291170.0687022798,1291.1700687022799,0.330750010584,0.1008126,1.3732929894727506,0.0013732929894727506,0.01674358225729415,0.05493301441302094,0.050623073987904874,118652.51429044563,25505587.8,233185.31440763173,9993.656331755645,6197.616329770944,555.2031295419804,12.911700687022797,232.41061236641036,438.9978233587752,25.823401374045595,3615.2761923663834,296.96911580152437,233.18531440763172,9.993656331755645,6.197616329770943,0.5552031295419804,0.012911700687022798,0.23241061236641036,0.4389978233587752,0.025823401374045596,3.6152761923663834,0.29696911580152435,9.216810846151452,0.39500617912077646,0.24496507232296216,0.02194478772893203,5.103439006728379e-4,0.00918619021211108,0.01735169262287649,0.0010206878013456757,0.14289629218839459,0.01173790971547527
1702,2019-12-06T16:30:00Z,ZIE,190.4,7.47,31.5,0.3,0.05,0.02,0.36,0.01,5.27,0.23,2019-12-06T16:30:00Z,192,0.0216,269.34000000000003,11400,0.13194444444444445,12.8016,0.023626315789473683,0.001383571106177038,7626.859570980001,7.626859570980002,0.042000001344000004,0.012801600000000002,0.6690227693842105,6.690227693842104e-4,9.890327671542417e-5,3.244858263790322e-4,0.0023548398464409382,57803.567274795794,3238804.8,1452.1540623145922,56.97264099522061,240.24607648587002,2.288057871294,0.38134297854900007,0.1525371914196,2.7456694455528003,0.0762685957098,40.1935499390646,1.7541777013254003,1.4521540623145923,0.056972640995220605,0.24024607648587004,0.002288057871294,3.813429785490001e-4,1.525371914196e-4,0.0027456694455528004,7.62685957098e-5,0.0401935499390646,0.0017541777013254003,0.05739739376737519,0.002251883043289352,0.00949589235122016,9.043707001162055e-5,1.5072845001936762e-5,6.029138000774704e-6,1.0852448401394468e-4,3.014569000387352e-6,0.0015886778632041344,6.93350870089091e-5
1707,2019-12-06T19:35:00Z,ZIE,230.3,7.24,49.6,4.26,1.57,0.13,1.3,1.02,16.34,2.56,2019-12-06T19:40:00Z,193,0.0263,13141.92,70200,0.8125000000000001,41.071799999999996,0.1872068376068376,0.108418056396728,372137.73792623996,372.13773792624,0.134750004312,0.0410718,5.301107377866666,0.005301107377866666,0.004825792493992601,0.015832653045990686,0.03581293016376435,458015.6774476799,10391165.399999999,85703.32104441308,2694.2772225859776,18458.031801141504,1585.3067635657821,584.2562485441968,48.377905930411195,483.77905930411197,379.5804926847648,6080.7306377147615,952.6726090911743,85.70332104441307,2.6942772225859777,18.458031801141505,1.5853067635657823,0.5842562485441967,0.04837790593041119,0.48377905930411197,0.3795804926847648,6.080730637714761,0.9526726090911743,3.387483045233718,0.1064931708532007,0.7295664743534191,0.0626603463859993,0.02309313235352556,0.0019121701948779126,0.01912170194877913,0.015003181529042087,0.24034508449465458,0.037655043837595825
1714,2019-12-07T15:10:00Z,ZIE,155.6,7.1,56.5,0.77,0.04,0.36,0.37,0.01,9.23,0.37,2019-12-07T15:10:00Z,194,0.65,1890.6000000000001,2400,0.02777777777777778,0,0.78775,0.10052653049485659,53535.8309382,53.5358309382,0,0,22.306596224249997,0.02230659622425,6.942397525736278e-4,0.002277689549833661,Inf,1927289.9137751998,0,8330.175293983919,380.10439966122,3024.7744480082997,41.222589822414,2.141433237528,19.272899137752,19.808257447134,0.535358309382,494.13571955958605,19.808257447134,8.33017529398392,0.38010439966121995,3.0247744480082996,0.041222589822414,0.002141433237528,0.019272899137752,0.019808257447134003,5.35358309382e-4,0.494135719559586,0.019808257447134003,0.32925594047367274,0.015023889314672724,0.11955630229281816,0.00162935137638,8.464162994181818e-5,7.617746694763637e-4,7.829350769618182e-4,2.1160407485454546e-5,0.019531056109074546,7.829350769618182e-4
1727,2019-12-07T15:45:00Z,ZIE,118.1,6.93,34.8,0.59,0.06,0.42,0.36,0.01,9.90875142,0.11,2019-12-07T15:50:00Z,195,0.927,12371.4,11400,0.13194444444444445,0.8001,1.0852105263157894,0.07266252201281727,350319.04097579996,350.31904097579996,0.0026250000840000003,8.001000000000001e-4,30.72974043647368,0.030729740436473682,0.004542852890611118,0.01490437347763258,1.7306105696151732,2655049.573711326,202425.3,41372.67873924197,2427.7109539622934,12191.102625957838,206.68823417572196,21.019142458547996,147.13399720983597,126.11485475128798,3.5031904097579996,3471.224294721996,38.535094507338,41.37267873924197,2.4277109539622934,12.191102625957837,0.20668823417572196,0.021019142458548,0.14713399720983597,0.12611485475128797,0.0035031904097579994,3.471224294721996,0.038535094507338,1.63528374463407,0.09595695470206693,0.48186176387185126,0.008169495421965295,8.307961446066402e-4,0.005815573012246481,0.004984776867639841,1.384660241011067e-4,0.13720254129335951,0.0015231262651121738
