sample,datetime,id,branch,SUBWS,ec,ph,turb,tn,nh4n,no3n,tp,po4,doc,don,time_round,date_group,ec_ravg,ph_ravg,turb_ravg,tn_ravg,nh4n_ravg,no3n_ravg,tp_ravg,po4_ravg,doc_ravg,don_ravg,firstq,lastq,volume_cf,rain_mm,mean_Q_cfs,sd_Q_cfs,min_Q_cfs,max_Q_cfs,volume_liters,rain_ft,runoff_ft,runoff_ratio,vol_shift,rain_liters,ec_grams,ph_grams,turb_grams,tn_grams,nh4n_grams,no3n_grams,tp_grams,po4_grams,doc_grams,don_grams,ec_kg,ph_kg,turb_kg,tn_kg,nh4n_kg,no3n_kg,tp_kg,po4_kg,doc_kg,don_kg,ec_ha,ph_ha,turb_ha,tn_ha,nh4n_ha,no3n_ha,tp_ha,po4_ha,doc_ha,don_ha,ec_ravg_grams,ph_ravg_grams,turb_ravg_grams,tn_ravg_grams,nh4n_ravg_grams,no3n_ravg_grams,tp_ravg_grams,po4_ravg_grams,doc_ravg_grams,don_ravg_grams,ec_ravg_kg,ph_ravg_kg,turb_ravg_kg,tn_ravg_kg,nh4n_ravg_kg,no3n_ravg_kg,tp_ravg_kg,po4_ravg_kg,doc_ravg_kg,don_ravg_kg,ec_ravg_ha,ph_ravg_ha,turb_ravg_ha,tn_ravg_ha,nh4n_ravg_ha,no3n_ravg_ha,tp_ravg_ha,po4_ravg_ha,doc_ravg_ha,don_ravg_ha
348,2017-08-02T17:44:00Z,NA,SF,SFC,281,7.71,1.9,0.06,0.02,0,0.006,0.004,1.89,0.04,2017-08-02T17:40:00Z,11,280,7.609999999999999,2.0549999999999997,0.05,0.015,0.005,0.0055,0.004,1.83,0.03,0.237,0.102,709837.3200000001,0.508,0.17116061921296297,0.054027588546967986,0.095,0.273,20100354.785330042,0.0016666667200000002,0.01555332753594431,0.10715820882369205,19080520.142603397,2153920,5361626.160071555,147110.81029947218,36252.98827094645,1144.8312085562038,381.610402852068,0,114.4831208556204,76.32208057041359,36062.18306952042,763.220805704136,5361.626160071554,147.11081029947218,36.25298827094645,1.1448312085562038,0.38161040285206793,0,0.11448312085562039,0.07632208057041359,36.06218306952042,0.7632208057041359,12.645344717149893,0.34695945825347213,0.08550233082770389,0.002700073605085386,9.000245350284621e-4,0,2.7000736050853866e-4,1.8000490700569244e-4,0.08505231856018967,0.0018000490700569242,5342545.639928951,145202.75828521184,39210.468893049976,954.0260071301699,286.20780213905095,95.402600713017,104.94286078431868,76.32208057041359,34917.35186096422,572.4156042781019,5342.5456399289515,145.20275828521184,39.21046889304998,0.9540260071301699,0.28620780213905095,0.09540260071301698,0.10494286078431868,0.07632208057041359,34.91735186096422,0.5724156042781019,12.60034349039847,0.3424593355783298,0.09247752097417447,0.0022500613375711553,6.750184012713465e-4,2.2500613375711553e-4,2.4750674713282705e-4,1.8000490700569244e-4,0.08235224495510429,0.001350036802542693
359,2017-09-19T17:40:00Z,NA,NA,SFC,320,7.53,1.21,0.16,0.07,0.003,0.048,0.056,2.13,0.087,2017-09-19T17:40:00Z,12,300.5,7.62,1.555,0.11,0.045000000000000005,0.0015,0.027,0.03,2.01,0.0635,0.101,0.0699,207044.04,15.24,0.0797304528650647,0.017326896087096325,0.053900000000000003,0.134,5862834.40294188,0.0500000016,0.004536565883131018,11.02155306195869,20100354.785330042,64617600,6432113.531305614,151355.6715335352,24321.42929024935,3216.056765652807,1407.0248349731032,60.30106435599013,964.817029695842,1125.6198679784823,42813.75569275299,1748.7308663237134,6432.113531305614,151.3556715335352,24.321429290249352,3.216056765652807,1.4070248349731032,0.06030106435599013,0.964817029695842,1.1256198679784823,42.813755692752984,1.7487308663237136,15.170079083267957,0.35697092342814907,0.057361861533606964,0.007585039541633979,0.003318454799464866,1.422194914056371e-4,0.0022755118624901934,0.002654763839571892,0.10097583889800232,0.004124365250763476,6040156.612991678,153164.70346421492,31256.051691188215,2211.0390263863046,904.5159653398521,30.150532177995064,542.7095792039112,603.0106435599013,40401.713118513384,1276.3725288684577,6040.156612991677,153.1647034642149,31.256051691188215,2.2110390263863047,0.904515965339852,0.030150532177995064,0.5427095792039112,0.6030106435599013,40.401713118513385,1.2763725288684578,14.245652389131314,0.3612375081703182,0.07371710304525522,0.00521471468487336,0.0021332923710845565,7.110974570281855e-5,0.001279975422650734,0.001422194914056371,0.09528705924177686,0.003010312568085985
370,2017-10-19T19:00:00Z,NA,NA,SFC,305,7.41,1.84,0.16,0.04,0.002,0.051,0.024,2.21,0.118,2017-10-19T19:00:00Z,13,312.5,7.470000000000001,1.525,0.16,0.05500000000000001,0.0025,0.0495,0.04,2.17,0.1025,0.0709,0.104,142232.22,15.26794,0.11654557522123894,0.0667823400830163,0.0604,0.618,4027568.01221034,0.0500916682696,0.003116466606495822,16.073224774875236,5862834.40294188,64736065.6,1788164.4928972733,43443.602925799336,10787.61530141306,938.0535044707008,234.5133761176752,11.725668805883759,299.00455455003583,140.70802567060514,12956.864030501554,691.8144595471418,1788.1644928972732,43.44360292579933,10.787615301413059,0.9380535044707008,0.2345133761176752,0.011725668805883759,0.2990045545500359,0.14070802567060514,12.956864030501555,0.6918144595471418,4.217369087021871,0.1024613276551871,0.025442488918427025,0.0022123903407327847,5.530975851831962e-4,2.7654879259159808e-5,7.051994211085752e-4,3.3185855110991777e-4,0.03055864158137159,0.001631637876290429,1832135.7509193376,43795.37298997585,8940.822464486366,938.0535044707008,322.45589216180343,14.6570860073547,290.2103029456231,234.5133761176752,12722.35065438388,600.9405263015426,1832.1357509193376,43.795372989975846,8.940822464486367,0.9380535044707008,0.3224558921618034,0.0146570860073547,0.29021030294562306,0.2345133761176752,12.72235065438388,0.6009405263015426,4.321074884243721,0.1032909740329619,0.021086845435109355,0.0022123903407327847,7.605091796268949e-4,3.456859907394976e-5,6.844582616642054e-4,5.530975851831962e-4,0.030005543996188395,0.00141731256203194
382,2017-11-02T22:00:00Z,NA,NA,SFC,343,7.58,4.97,0.46,0,0.265,0.029,0.011,5.13,0.195,2017-11-02T22:00:00Z,14,324,7.495,3.405,0.31,0.02,0.1335,0.04,0.0175,3.67,0.1565,0.104,0.971,607806,125.87732,0.37025219298245615,0.42671077591740936,0.102,3.58,17211149.507682,0.41298334654880003,0.013317707494320201,31.010092895112102,4027568.01221034,533719836.79999995,1381455.8281881467,30528.965532554375,20017.013020685386,1852.6812856167564,0,1067.30552323574,116.79947235409985,44.30324813431373,20661.423902639042,785.3757623810163,1381.4558281881466,30.528965532554377,20.017013020685386,1.8526812856167565,0,1.0673055232357402,0.11679947235409985,0.04430324813431373,20.661423902639044,0.7853757623810163,3.258150538179591,0.0720022771994207,0.047209936369541,0.004369531334001784,0,0.002517230007631463,2.7547045366532985e-4,1.0448879276960786e-4,0.04872977335528076,0.0018523013263703214,1304932.0359561502,30186.6222515165,13713.869081576206,1248.5460837852054,80.55136024420679,537.6803296300803,161.10272048841358,70.48244021368095,14781.174604811946,630.3143939109182,1304.93203595615,30.1866222515165,13.713869081576206,1.2485460837852054,0.0805513602442068,0.5376803296300804,0.1611027204884136,0.07048244021368096,14.781174604811946,0.6303143939109181,3.077669896122995,0.07119486380074647,0.03234403085277407,0.0029446841598707676,1.8997962321746885e-4,0.0012681139849766046,3.799592464349377e-4,1.6623217031528528e-4,0.03486126086040554,0.0014865905516766938
393,2017-11-21T22:00:00Z,NA,NA,SFC,342,8.32,1.68,0.17,0,0.001,0.026,0.02,2.29,0.169,2017-11-21T22:00:00Z,15,342.5,7.95,3.3249999999999997,0.315,0,0.133,0.0275,0.0155,3.71,0.182,0.963,0.945,2292,0,0.955,0.007615773105863915,0.945,0.963,64902.213324,0,5.022027682678667e-5,0,17211149.507682,0,5886213.131627244,143196.76390391425,28914.73117290576,2925.89541630594,0,17.211149507682,447.4898871997319,344.22299015364,39413.53237259178,2908.6842667982582,5886.213131627244,143.19676390391425,28.914731172905757,2.92589541630594,0,0.017211149507682,0.44748988719973193,0.34422299015364,39.41353237259178,2.908684266798258,13.882578140630294,0.33772821675451475,0.06819512069081546,0.006900696736570613,0,4.0592333744533014e-5,0.0010554006773578583,8.118466748906604e-4,0.09295644427498062,0.00686010440282608,5894818.706381084,136828.6385860719,57227.07211304265,5421.51209491983,0,2289.082884521706,473.306611461255,266.772817369071,63853.36467350022,3132.429210398124,5894.818706381085,136.82863858607192,57.227072113042645,5.421512094919829,0,2.289082884521706,0.473306611461255,0.266772817369071,63.85336467350022,3.1324292103981235,13.902874307502557,0.32270905326903754,0.13496950970057228,0.012786585129527898,0,0.005398780388022892,0.0011162891779746581,6.291811730402617e-4,0.15059755819221748,0.007387804741505008
401,2017-11-21T22:36:00Z,NA,NA,SFC,331,8.12,8.24,0.68,0.02,0.364,0.041,0.021,5.26,0.296,2017-11-21T22:40:00Z,16,336.5,8.219999999999999,4.96,0.42500000000000004,0.01,0.1825,0.0335,0.0205,3.775,0.23249999999999998,0.937,0.334,1309823.4,66.01459999999999,1.090429070929071,1.44305748664395,0.243,6.83,37090068.8148198,0.21658334026399997,0.02869969185959988,7.546538873083897,64902.213324,279901903.99999994,21482.632610244,527.0059721908799,534.79423778976,44.13350506032,1.29804426648,23.624405649935998,2.6609907462840003,1.362946479804,341.38564208424,19.211055143903998,21.482632610244,0.5270059721908799,0.53479423778976,0.04413350506032,0.0012980442664800001,0.023624405649936,0.002660990746284,0.001362946479804,0.34138564208424,0.019211055143903998,0.050666586344915096,0.0012429386136577356,0.0012613071645984906,1.040884553309434e-4,3.061425156792453e-6,5.571793785362264e-5,6.275921571424529e-6,3.2144964146320753e-6,8.05154816236415e-4,4.530909232052829e-5,21839.594783526,533.4961935232799,321.91497808703997,27.583440662700003,0.64902213324,11.844653931629999,2.1742241463539997,1.3304953731420002,245.0058552981,15.08976459783,21.839594783526,0.5334961935232798,0.32191497808703995,0.027583440662700003,6.490221332400001e-4,0.011844653931629999,0.002174224146354,0.001330495373142,0.24500585529809998,0.01508976459783,0.051508478263033015,0.0012582457394416976,7.592334388845282e-4,6.505528458183963e-5,1.5307125783962265e-6,2.793550455573113e-5,5.127887137627358e-6,3.1379607857122643e-6,5.778439983445754e-4,3.5589067447712265e-5
411,2017-12-05T20:20:00Z,NA,NA,SFC,329,6.8,1.16,0.13,0.03,0.01,0.015,0.001,3.17,0.09,2017-12-05T20:20:00Z,17,330,7.459999999999999,4.7,0.405,0.025,0.187,0.028,0.011000000000000001,4.215,0.193,0.334,0.178,253751.4,0.254,0.2255568,0.04304717263574607,0.175,0.383,7185439.5698358,8.333333600000001e-4,0.005559976244844972,0.14988074108637417,37090068.8148198,1076960,12202632.640075713,252212.46794077463,43024.47982519096,4821.708945926574,1112.7020644445938,370.900688148198,556.3510322222969,37.090068814819794,117575.51814297876,3338.106193333782,12202.632640075713,252.21246794077462,43.02447982519096,4.821708945926574,1.1127020644445937,0.370900688148198,0.5563510322222969,0.03709006881481979,117.57551814297875,3.3381061933337817,28.77979396244272,0.5948407262754118,0.10147282977639377,0.01137195506114758,0.002624297321803287,8.747657739344292e-4,0.0013121486609016435,8.74765773934429e-5,0.277300750337214,0.007872891965409863,12239722.708890533,276691.9133585557,174323.32342965304,15021.477870002018,927.251720370495,6935.842868371302,1038.5219268149544,407.9907569630178,156334.64005446545,7158.383281260221,12239.722708890533,276.69191335855567,174.32332342965304,15.021477870002018,0.927251720370495,6.935842868371302,1.0385219268149544,0.4079907569630178,156.33464005446544,7.158383281260221,28.867270539836163,0.6525752673550841,0.4111399137491817,0.03542801384434438,0.002186914434836073,0.016358119972573824,0.002449344167016402,9.622423513278722e-4,0.3687137737133619,0.016882979436934484
425,2017-12-18T20:50:00Z,NA,NA,SFC,342,7.64,2.33,0.13,0.03,0.02,0.022,0.001,2.25,0.08,2017-12-18T20:50:00Z,18,335.5,7.22,1.745,0.13,0.03,0.015,0.0185,0.001,2.71,0.08499999999999999,0.178,1.03,381461.4,39.37,0.24547065637065638,0.12162431513640766,0.173,1.09,10801784.1002058,0.1291666708,0.008358244810965795,15.453803247128722,7185439.5698358,166928800,2457420.332883843,54896.75831354551,16742.074197717415,934.107144078654,215.56318709507397,143.708791396716,158.0796705363876,7.1854395698358005,16167.239032130548,574.835165586864,2457.4203328838435,54.89675831354551,16.742074197717415,0.934107144078654,0.215563187095074,0.143708791396716,0.1580796705363876,0.0071854395698358,16.16723903213055,0.574835165586864,5.795802671895857,0.12947348658855073,0.039486024051220314,0.0022030828869779575,5.084037431487594e-4,3.389358287658396e-4,3.728294116424236e-4,1.694679143829198e-5,0.03813028073615696,0.0013557433150633584,2410714.9756799107,51878.87369421447,12538.592049363471,934.107144078654,215.56318709507397,107.78159354753699,132.9306320419623,7.1854395698358005,19472.541234255015,610.762363436043,2410.714975679911,51.87887369421447,12.538592049363471,0.934107144078654,0.215563187095074,0.107781593547537,0.1329306320419623,0.0071854395698358,19.472541234255015,0.610762363436043,5.6856485275469595,0.12235583418446809,0.02957215105981951,0.0022030828869779575,5.084037431487594e-4,2.542018715743797e-4,3.135156416084016e-4,1.694679143829198e-5,0.04592580479777126,0.0014404772722548182
443,2018-01-05T20:33:00Z,NA,NA,SFC,220,6.73,4.2,0.21,0.02,0,0.018,0.001,4.56,0.19,2018-01-05T20:30:00Z,19,281,7.1850000000000005,3.265,0.16999999999999998,0.025,0.01,0.019999999999999997,0.001,3.405,0.135,1.03,4.36,1629861.6,66.80199999999999,3.8259661971830985,5.199582094141966,0.219,17.8,46152541.5583752,0.21916667367999998,0.0357120858382851,6.137044883697121,10801784.1002058,283240479.99999994,2376392.5020452756,72696.00699438504,45367.493220864366,2268.3746610432177,216.035682004116,0,194.4321138037044,10.801784100205799,49256.13549693844,2052.338979039102,2376.3925020452757,72.69600699438503,45.36749322086436,2.268374661043218,0.21603568200411602,0,0.1944321138037044,0.010801784100205799,49.25613549693845,2.052338979039102,5.604699297276594,0.17145284668487035,0.10699880476618953,0.005349940238309476,5.095181179342359e-4,0,4.585663061408123e-4,2.547590589671179e-5,0.11617013088900577,0.004840422120375241,3035301.33215783,77610.81875997868,35267.825087171936,1836.303297034986,270.044602505145,108.017841002058,216.03568200411596,10.801784100205799,36780.074861200745,1458.240853527783,3035.3013321578296,77.61081875997868,35.267825087171936,1.836303297034986,0.270044602505145,0.10801784100205801,0.21603568200411596,0.010801784100205799,36.780074861200745,1.4582408535277829,7.158729556976013,0.18304438386787425,0.083178832752764,0.004330904002441005,6.368976474177948e-4,2.5475905896711794e-4,5.095181179342358e-4,2.547590589671179e-5,0.08674545957830364,0.003439247296056092
477,2018-01-10T18:51:00Z,NA,NA,SFC,168,6.74,13.3,0.09,0.01,0,0.018,0,4.4,0.08,2018-01-10T18:50:00Z,20,194,6.735,8.75,0.15,0.015,0,0.018,5e-4,4.48,0.135,4.33,5.79,1510690.8,52.07,2.151981196581197,1.5402125356284535,0.466,9.05,42778000.2479076,0.1708333388,0.033100920670017374,5.16098450864963,46152541.5583752,220776800,7753626.9818070335,311068.1301034489,613828.8027263902,4153.728740253768,461.525415583752,0,830.7457480507536,0,203071.18285685088,3692.203324670016,7753.626981807033,311.0681301034489,613.8288027263902,4.153728740253768,0.46152541558375204,0,0.8307457480507536,0,203.0711828568509,3.6922033246700163,18.286856089167532,0.7336512502439833,1.4477094403924298,0.00979653004776832,0.0010885033386409245,0,0.0019593060095536644,0,0.47894146900200685,0.008708026709127396,8953593.062324788,310837.367395657,403834.738635783,6922.88123375628,692.2881233756281,0,830.7457480507536,23.076270779187602,206763.38618152094,6230.593110380652,8953.59306232479,310.837367395657,403.834738635783,6.92288123375628,0.6922881233756281,0,0.8307457480507536,0.023076270779187603,206.76338618152093,6.230593110380652,21.116964769633938,0.7331069985746628,0.952440421310809,0.016327550079613867,0.001632755007961387,0,0.0019593060095536644,5.442516693204623e-5,0.48764949571113425,0.014694795071652481
