sample,datetime,SUBWS,ec,ph,turb,tn,nh4n,no3n,tp,po4,doc,don,time_round,date_group,firstq,lastq,volume_cf,time_secs,time_days,time_weeks,rain_mm,mean_Q_cfs,sd_Q_cfs,min_Q_cfs,max_Q_cfs,volume_liters,rain_ft,runoff_ft,runoff_meters,runoff_ratio,rain_liters,ec_grams,ph_grams,turb_grams,tn_grams,nh4n_grams,no3n_grams,tp_grams,po4_grams,doc_grams,don_grams,ec_kg,ph_kg,turb_kg,tn_kg,nh4n_kg,no3n_kg,tp_kg,po4_kg,doc_kg,don_kg,ec_ha,ph_ha,turb_ha,tn_ha,nh4n_ha,no3n_ha,tp_ha,po4_ha,doc_ha,don_ha
716,2018-04-05T15:40:00Z,SFC,111,7.4,2.14,0.03,0.03,0,0.01,0.01,1.58,0,2018-04-05T15:40:00Z,31,0.673,4.08,14847799.8,447600,5.180555555555556,0.740079365079365,147.57399999999998,33.17202815013405,46.36692876557846,0.67,188,420442875.2232306,0.48416668216,0.3253318569915828,3.501839575471698,1.4882240142026013,625713760,46669159.1497786,3111277.2766519063,899747.7529777136,12613.286256696918,12613.286256696918,0,4204.428752232306,4204.428752232306,664299.7428527044,0,46669.15914977859,3111.2772766519065,899.7477529777136,12.613286256696917,12.613286256696917,0,4.204428752232306,4.204428752232306,664.2997428527044,0,110.06877157966649,7.3379181053111004,2.122046587211589,0.029748316643153104,0.029748316643153104,0,0.0099161055477177025,0.0099161055477177025,1.5667446765393973,0
759,2018-04-10T20:00:00Z,SFC,126,7.18,10.3,0.34,0.02,0,0.02,0.02,2.3,0.32,2018-04-10T20:00:00Z,32,4.05,4.05,2430,600,0.006944444444444445,9.92063492063492e-4,0,4.05,NA,4.05,4.05,68809.93821,0,5.324401077185498e-5,5.731132075471698e-4,0,0,8670.052214459998,494.05535634779994,708.742363563,23.3953789914,1.3761987642,0,1.3761987642,1.3761987642,158.26285788299995,22.0191802272,8.670052214459998,0.49405535634779996,0.708742363563,0.0233953789914,0.0013761987641999999,0,0.0013761987641999999,0.0013761987641999999,0.15826285788299996,0.022019180227199998,0.020448236354858488,0.001165224897046698,0.0016715621782146227,5.5177780640094346e-5,3.2457518023584904e-6,0,3.2457518023584904e-6,3.2457518023584904e-6,3.732614572712263e-4,5.1932028837735846e-5
764,2018-04-10T20:10:00Z,SFC,9,6.56,2.41,0.4,0.01,0,0.07,0.07,1.03,0.39,2018-04-10T20:10:00Z,33,4.04,4.86,642852,156000,1.8055555555555556,0.2579365079365079,19.304,4.120846153846154,0.8389987916433327,3.12,5.85,18203541.727644,0.06333333535999999,0.014085604449674287,0.15161603773584906,4.496316475894259,81848960,163831.875548796,119415.23373334463,43870.53556362204,7281.4166910576005,182.03541727644,0,1274.2479209350802,1274.2479209350802,18749.64797947332,7099.3812737811595,163.831875548796,119.41523373334464,43.87053556362204,7.2814166910576,0.18203541727644001,0,1.27424792093508,1.27424792093508,18.74964797947332,7.09938127378116,0.3863959328981038,0.28163970220128454,0.10346824425382557,0.017173152573249056,4.2932881433122645e-4,0,0.003005301700318585,0.003005301700318585,0.04422086787611632,0.01674382375891783
742,2018-04-12T15:30:00Z,SFC,35,7.01,24.9,2.29,0.45,0,0.33,0.06,1.27,1.84,2018-04-12T15:30:00Z,34,4.87,1.02,2583108,1066200,12.340277777777779,1.7628968253968254,18.034,2.4227236916150816,1.0128562706893078,1.02,5.07,73145474.020476,0.059166668559999996,0.05659877785056164,0.6092235849056604,1.0453700734708158,76464160,2560091.59071666,512749.77288353676,1821322.3031098524,167503.13550689002,32915.4633092142,0,24138.00642675708,4388.72844122856,92894.7520060045,134587.67219767586,2560.09159071666,512.7497728835367,1821.3223031098523,167.50313550689003,32.9154633092142,0,24.138006426757084,4.38872844122856,92.89475200600451,134.58767219767586,6.037951864897783,1.2093155020838129,4.295571469598708,0.39505456487474067,0.07763080969154293,0,0.05692926044046482,0.010350774625539056,0.21909139624057666,0.31742375518319776
790,2018-04-24T23:35:00Z,SFC,152,7.16,1.66,0.28,0.01,0,0.01,0.01,1.69,0.27,2018-04-24T23:40:00Z,35,1.02,0.522,1038815.4,1461600,16.916666666666668,2.4166666666666665,10.668,0.7107385057471265,0.15371428792197464,0.483,1.11,29415976.7430438,0.03500000112,0.022761604258258784,0.2450036320754717,1.5376772534519685,45232320,4471228.464942657,210618.39348019363,48830.521393452706,8236.473488052265,294.159767430438,0,294.159767430438,294.159767430438,49713.00069574401,7942.313720621826,4471.228464942657,210.61839348019362,48.830521393452706,8.236473488052265,0.29415976743043803,0,0.29415976743043803,0.29415976743043803,49.713000695744014,7.942313720621826,10.545350153166645,0.4967414940570604,0.11516632404116205,0.019425645018991192,6.937730363925426e-4,0,6.937730363925426e-4,6.937730363925426e-4,0.11724764315033966,0.018731871982598645
806,2018-05-11T21:40:00Z,SFC,168,7.77,1.32,0.26,0.01,0,0.02,0.02,1.48,0.25,2018-05-11T21:40:00Z,36,0.51,0.406,754011.6,1631400,18.881944444444446,2.697420634920635,10.16,0.4621868333946304,0.03276784736124788,0.375,0.534,21351231.1134252,0.033333334400000005,0.016521235289096135,0.17783292452830188,2.017605452420359,43078400,3587006.8270554333,165899.06575131378,28183.625069721264,5551.320089490551,213.512311134252,0,427.024622268504,427.024622268504,31599.822047869297,5337.807778356299,3587.0068270554334,165.89906575131377,28.183625069721263,5.5513200894905514,0.213512311134252,0,0.427024622268504,0.427024622268504,31.599822047869296,5.3378077783563,8.459921761923193,0.3912713814889476,0.06647081384368222,0.013092736060119224,5.035667715430472e-4,0,0.0010071335430860944,0.0010071335430860944,0.07452788218837098,0.01258916928857618
821,2018-05-30T18:50:00Z,SFC,168,7.3,1.1,1.4,1.4,0,0.57,0.57,3.93,0,2018-05-30T18:50:00Z,37,0.414,0.301,623061.6,1918200,22.20138888888889,3.1716269841269837,5.588,0.32481576477948076,0.03127938661064417,0.269,0.414,17643139.9987752,0.01833333392,0.013651974708612838,0.14694849056603773,1.3429071113378022,23693120,2964047.519794233,128794.92199105895,19407.45399865272,24700.39599828528,24700.39599828528,0,10056.589799301863,10056.589799301863,69337.54019518654,0,2964.0475197942333,128.79492199105894,19.40745399865272,24.700395998285277,24.700395998285277,0,10.056589799301863,10.056589799301863,69.33754019518653,0,6.990678112722248,0.30376160846947864,0.04577229716663377,0.05825565093935207,0.05825565093935207,0,0.023718372168164772,0.023718372168164772,0.16353193442260974,0
849,2018-06-21T23:35:00Z,SFC,161,7.28,0.77,0.28,0.01,0,0.03,0,2.05,0.27,2018-06-21T23:40:00Z,38,0.296,0.2,221928,927600,10.736111111111112,1.5337301587301586,0,0.2392496765847348,0.024400695316612802,0.194,0.303,6284301.221016,0,0.004862690050442894,0.05234150943396226,0,0,1011772.496583576,45749.71288899648,4838.91194018232,1759.6043418844802,62.84301221016,0,188.52903663048,0,12882.817503082799,1696.76132967432,1011.772496583576,45.749712888996484,4.83891194018232,1.75960434188448,0.06284301221016,0,0.18852903663047998,0,12.8828175030828,1.69676132967432,2.386255888168811,0.10790026624763321,0.011412528160807359,0.0041500102402935845,1.4821465143905662e-4,0,4.4464395431716977e-4,0,0.030384003545006602,0.004001795588854528
852,2018-07-02T17:15:00Z,SFC,160,7.17,3.01,0.27,0.01,0,0.03,0,2.2,0.26,2018-07-02T17:20:00Z,39,0.2,0.149,284904.6,1555200,18,2.571428571428571,0,0.18319483024691358,0.012554145343779471,0.149,0.215,8067599.967796199,0,0.006242577609609478,0.06719448113207546,0,0,1290815.9948473917,57844.69176909875,24283.475903066555,2178.251991304974,80.675999677962,0,242.02799903388595,0,17748.71992915164,2097.5759916270117,1290.815994847392,57.844691769098745,24.283475903066556,2.178251991304974,0.080675999677962,0,0.24202799903388594,0,17.74871992915164,2.097575991627012,3.0443773463381887,0.13642615983278006,0.05727234882798716,0.005137386771945694,1.9027358414613682e-4,0,5.708207524384103e-4,0,0.04186018851215009,0.004947113187799557
875,2018-07-20T17:20:00Z,SFC,156,7.34,1.61,0.12,0.01,0.07,0.03,0,1.9,0.04,2018-07-20T17:20:00Z,40,0.152,0.144,152139,1050600,12.159722222222223,1.7371031746031744,0,0.14481153626499144,0.010643785764941427,0.129,0.178,4308096.785732999,0,0.003333535207744545,0.035881839622641507,0,0,672063.098574348,31621.430407280215,6936.03582503013,516.9716142879599,43.080967857329995,301.56677500130996,129.24290357198998,0,8185.383892892699,172.32387142931998,672.0630985743479,31.621430407280215,6.936035825030129,0.5169716142879599,0.043080967857329996,0.30156677500130996,0.12924290357198998,0,8.185383892892698,0.17232387142931999,1.5850544777696884,0.07457884530018918,0.016358575059033324,0.0012192726752074526,1.0160605626728773e-4,7.112423938710141e-4,3.0481816880186316e-4,0,0.019305150690784666,4.0642422506915094e-4
880,2018-08-01T21:10:00Z,SFC,158,7.14,2.28,0.13,0.01,0,0.04,0,1.61,0.12,2018-08-01T21:10:00Z,41,0.144,0.103,252499.74,2244000,25.97222222222222,3.71031746031746,0.254,0.11252216577540107,0.011061491581316488,0.0983,0.149,7149996.505119779,8.333333600000001e-4,0.005532550977963202,0.059551825471698114,0.15062371107275185,1076960,1129699.447808925,51050.97504655522,16301.992031673095,929.4995456655713,71.49996505119779,0,285.99986020479116,0,11511.494373242846,857.9995806143735,1129.6994478089252,51.05097504655522,16.301992031673095,0.9294995456655714,0.0714999650511978,0,0.2859998602047912,0,11.511494373242845,0.8579995806143734,2.66438549011539,0.12040324303432835,0.038448094414323335,0.002192215909588612,1.6863199304527782e-4,0,6.745279721811113e-4,0,0.02714975088028973,0.0020235839165433337
892,2018-08-27T20:30:00Z,SFC,154,7.22,0.82,0.03,0.01,0,0.03,0,0.58,0.02,2018-08-27T20:30:00Z,42,0.103,0.0672,165605.1,1878600,21.743055555555557,3.1061507936507935,0,0.08815346534653465,0.011636866472990934,0.0655,0.109,4689414.2791197,0,0.0036285924807712435,0.03905780660377359,0,0,722169.7989844339,33857.57109524424,3845.319708878154,140.68242837359102,46.894142791197005,0,140.68242837359102,0,2719.860281889426,93.78828558239401,722.1697989844339,33.85757109524424,3.845319708878154,0.14068242837359102,0.046894142791197004,0,0.14068242837359102,0,2.719860281889426,0.09378828558239401,1.7032306579821554,0.07985276201708547,0.0090691502567881,3.317981801263939e-4,1.1059939337546462e-4,0,3.317981801263939e-4,0,0.0064147648157769485,2.2119878675092925e-4
