sample,datetime,id,branch,SUBWS,ec,ph,turb,tn,nh4n,no3n,tp,po4,doc,time_round,date_group,tn_avg,nh4n_avg,no3n_avg,tp_avg,po4_avg,doc_avg,volume_cf,rain_mm,mean_Q_cfs,sd_Q_cfs,min_Q_cfs,max_Q_cfs,volume_liters,rain_ft,runoff_ft,runoff_ratio,vol_shift,rain_liters,tn_avg_grams,nh4n_avg_grams,no3n_avg_grams,tp_avg_grams,po4_avg_grams,doc_avg_grams,tn_avg_kg,nh4n_avg_kg,no3n_avg_kg,tp_avg_kg,po4_avg_kg,doc_avg_kg,tn_avg_ha,nh4n_avg_ha,no3n_avg_ha,tp_avg_ha,po4_avg_ha,doc_avg_ha
16,2016-05-26T18:35:00Z,SFC,SF,SFC,156,7.28,1.76,0.11,0.02,0,0.015,0.005,2.54,2016-05-26T18:40:00Z,2,NA,NA,NA,NA,NA,NA,1056637.8,0.51,0.3478299427217065,0.05744347466548595,0.253,0.501,29920650.9170166,0.0016732284,0.023152112923929692,0.07227108840984336,NA,2162400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,2016-06-30T22:30:00Z,SFC V-notch poud BES,SF,SFC,119,7.6,1.94,0.13,0.02,0,0.013,0.01,2.37,2016-06-30T22:30:00Z,3,0.12,0.02,0,0.013999999999999999,0.0075,2.455,117687099.72,55.748000000000005,5.160900021049308,12.310225120898496,0.0547,167,3332527596.644983,0.18290026832000003,2.578655640000021,0.07092853558375811,29920650.9170166,236371520.00000003,3590.478110041992,598.413018340332,0,418.8891128382324,224.4048818776245,73455.19800127574,3.590478110041992,0.598413018340332,0,0.4188891128382324,0.2244048818776245,73.45519800127575,0.008468108750099037,0.0014113514583498396,0,9.879460208448876e-4,5.292567968811898e-4,0.1732433915124428
253,2017-03-21T20:45:00Z,NA,SF,SFC,115,7.71,54.4,0.77,0.02,0.08,0.076,0,4.17,2017-03-21T20:50:00Z,4,0.45,0.02,0.04,0.0445,0.005,3.27,12415536,5.0644,6.517341732283464,6.067921789785242,1.61,37.6,351568833.334992,0.016615486096000002,0.2720382438363594,0.06107775826546948,3332527596.644983,21473056,1499637.4184902422,66650.55193289966,133301.10386579932,148297.47805070173,16662.637983224915,10897365.241029095,1499.6374184902422,66.65055193289966,133.30110386579932,148.29747805070173,16.662637983224915,10897.365241029094,3.5368807039864203,0.15719469795495203,0.31438939590990406,0.3497582029497682,0.03929867448873801,25.701333115634657
266,2017-04-12T22:01:00Z,NA,SF,SFC,142,7.73,12.4,0.56,0.02,0.03,0.026,0,2.36,2017-04-12T22:00:00Z,5,0.665,0.02,0.055,0.051,0,3.2649999999999997,4378128,2.6288,3.6667738693467338,1.727595603796508,2.02,8.14,123974780.722416,0.008624672192,0.09592966847430448,0.08990620242068477,351568833.334992,11146112,233793.2741677697,7031.37666669984,19336.28583342456,17930.01050008459,0,1147872.2408387486,233.7932741677697,7.03137666669984,19.33628583342456,17.93001050008459,0,1147.8722408387487,0.5513992315277587,0.016583435534669434,0.045604447720340946,0.042287760613407055,0,2.7072458510347848
279,2017-04-26T17:39:00Z,NA,SF,SFC,149,7.92,7.77,0.52,0,0.02,0.023,0.002,2.29,2017-04-26T17:40:00Z,6,0.54,0.01,0.025,0.0245,0.001,2.325,2475330,0.15360000000000001,1.9082099907493062,0.8177840433945993,1.08,3.84,70093540.88451,5.039370240000001e-4,0.054237241639463286,0.009291346845215171,123974780.722416,651264.0000000001,66946.38159010465,1239.7478072241602,3099.3695180604,3037.382127699192,123.974780722416,288241.36517961725,66.94638159010465,1.2397478072241601,3.0993695180604,3.037382127699192,0.12397478072241601,288.2413651796172,0.15789240941062418,0.002923933507604151,0.007309833769010378,0.00716363709363017,2.9239335076041513e-4,0.6798145405179652
295,2017-05-11T18:01:00Z,NA,SF,SFC,152,7.96,5.33,0.34,0,0.01,0.016,0.005,1.68,2017-05-11T18:00:00Z,7,0.43000000000000005,0,0.015,0.0195,0.0035,1.9849999999999999,1498585.8,0.39,0.9023276734104047,0.11450390757566505,0.758,1.19,42435224.8149726,0.0012795276000000001,0.03283568661635758,0.03896759080903716,70093540.88451,1653600,30140.2225803393,0,1051.4031132676498,1366.824047247945,245.327393095785,139135.67865575233,30.1402225803393,0,1.0514031132676498,1.366824047247945,0.245327393095785,139.13567865575234,0.07108543061400778,0,0.002479724323744457,0.003223641620867795,5.7860234220704e-4,0.3281501855088499
307,2017-05-30T23:23:00Z,NA,SF,SFC,165,7.92,2.16,0.54,0.03,0.01,0.012,0.004,2.05,2017-05-30T23:20:00Z,8,0.44000000000000006,0.015,0.01,0.014,0.0045000000000000005,1.8649999999999998,900663.6,0.3,0.654647187091147,0.06766344562338338,0.528,0.82,25503953.359669197,9.84252e-4,0.0197345442058509,0.049874574742303335,42435224.8149726,1272000,18671.498918587946,636.528372224589,424.352248149726,594.0931474096163,190.95851166737674,79141.69427992389,18.671498918587947,0.636528372224589,0.424352248149726,0.5940931474096164,0.19095851166737673,79.14169427992388,0.04403655405327346,0.0015012461609070495,0.001000830773938033,0.0014011630835132462,4.5037384827211494e-4,0.18665493933944313
320,2017-06-15T21:30:00Z,NA,SF,SFC,158,7.91,2.09,0.12,0.07,0,0.013,0.006,1.77,2017-06-15T21:30:00Z,9,0.33,0.05,0.005,0.0125,0.005,1.91,784141.8,0,0.4531563800277393,0.04535952832409187,0.361,0.592,22204423.3769046,0,0.01718142158265916,0,25503953.359669197,0,8416.304608690836,1275.19766798346,127.51976679834598,318.799416995865,127.51976679834598,48712.55091696817,8.416304608690835,1.27519766798346,0.12751976679834598,0.318799416995865,0.12751976679834598,48.71255091696817,0.019849775020497253,0.0030075416697723113,3.0075416697723106e-4,7.518854174430778e-4,3.0075416697723106e-4,0.11488809178530228
333,2017-07-05T22:05:00Z,NA,SF,SFC,279,7.51,2.21,0.04,0.01,0.01,0.005,0.004,1.77,2017-07-05T22:10:00Z,10,0.08,0.04,0.005,0.009,0.005,1.77,670317,0,0.2789500624219725,0.04573601119906188,0.206,0.401,18981263.930499,0,0.014687393238089512,0,22204423.3769046,0,1776.353870152368,888.176935076184,111.022116884523,199.83981039214137,111.022116884523,39301.82937712115,1.776353870152368,0.888176935076184,0.111022116884523,0.19983981039214138,0.111022116884523,39.301829377121145,0.0041895138446989815,0.0020947569223494908,2.6184461529368634e-4,4.713203075286353e-4,2.6184461529368634e-4,0.09269299381396497
348,2017-08-02T17:44:00Z,NA,SF,SFC,281,7.71,1.9,0.06,0.02,0,0.006,0.004,1.89,2017-08-02T17:40:00Z,11,0.05,0.015,0.005,0.0055,0.004,1.83,1730089.3800000001,6.1769,0.1799926529338327,0.24223533632092234,0.053900000000000003,3.58,48990676.26978486,0.020265420596,0.037908188306581034,0.5345921686392443,18981263.930499,26190056,949.06319652495,284.718958957485,94.90631965249499,104.39695161774449,75.925055721996,34735.71299281317,0.94906319652495,0.284718958957485,0.09490631965249499,0.1043969516177445,0.075925055721996,34.73571299281317,0.002238356595577712,6.715069786733137e-4,2.2383565955777122e-4,2.462192255135483e-4,1.7906852764621698e-4,0.08192385139814427
