sample,datetime,id,branch,SUBWS,ec,ph,turb,tn,nh4n,no3n,tp,po4,doc,don,time_round,date_group,ec_ravg,ph_ravg,turb_ravg,tn_ravg,nh4n_ravg,no3n_ravg,tp_ravg,po4_ravg,doc_ravg,don_ravg,firstq,lastq,volume_cf,rain_mm,mean_Q_cfs,sd_Q_cfs,min_Q_cfs,max_Q_cfs,volume_liters,rain_ft,runoff_ft,runoff_ratio,vol_shift,rain_liters,ec_grams,ph_grams,turb_grams,tn_grams,nh4n_grams,no3n_grams,tp_grams,po4_grams,doc_grams,don_grams,ec_kg,ph_kg,turb_kg,tn_kg,nh4n_kg,no3n_kg,tp_kg,po4_kg,doc_kg,don_kg,ec_ha,ph_ha,turb_ha,tn_ha,nh4n_ha,no3n_ha,tp_ha,po4_ha,doc_ha,don_ha,ec_ravg_grams,ph_ravg_grams,turb_ravg_grams,tn_ravg_grams,nh4n_ravg_grams,no3n_ravg_grams,tp_ravg_grams,po4_ravg_grams,doc_ravg_grams,don_ravg_grams,ec_ravg_kg,ph_ravg_kg,turb_ravg_kg,tn_ravg_kg,nh4n_ravg_kg,no3n_ravg_kg,tp_ravg_kg,po4_ravg_kg,doc_ravg_kg,don_ravg_kg,ec_ravg_ha,ph_ravg_ha,turb_ravg_ha,tn_ravg_ha,nh4n_ravg_ha,no3n_ravg_ha,tp_ravg_ha,po4_ravg_ha,doc_ravg_ha,don_ravg_ha
806,2018-05-11T21:40:00Z,NA,NA,SFC,168,7.77,1.32,0.26,0.01,0,0.007,0.021,1.48,0.25,2018-05-11T21:40:00Z,40,160,7.465,1.49,0.27,0.01,0,0.0035,0.014,1.585,0.26,0.51,0.406,754011.6,10.16,0.4621868333946304,0.032767847361247736,0.375,0.534,21351231.1134252,0.033333334400000005,0.016521235289096135,2.017605452420359,29415976.7430438,43078400,4941884.092831358,228562.1392934503,38829.08930081782,7648.153953191389,294.159767430438,0,205.91183720130658,617.7355116039198,43535.64557970482,7353.99418576095,4941.8840928313575,228.5621392934503,38.82908930081782,7.648153953191389,0.29415976743043803,0,0.2059118372013066,0.6177355116039198,43.53564557970482,7.35399418576095,11.655387011394712,0.5390616492770054,0.09157804080381561,0.018038098946206105,6.937730363925426e-4,0,4.856411254747797e-4,0.0014569233764243391,0.10267840938609628,0.017344325909813562,4706556.278887007,219590.26638682195,43829.80534713526,7942.313720621826,294.159767430438,0,102.95591860065329,411.82367440261316,46624.32313772442,7648.153953191389,4706.5562788870075,219.59026638682195,43.82980534713526,7.942313720621826,0.29415976743043803,0,0.1029559186006533,0.4118236744026132,46.624323137724424,7.648153953191389,11.100368582280678,0.5179015716670329,0.10337218242248883,0.018731871982598645,6.937730363925426e-4,0,2.4282056273738984e-4,9.712822509495594e-4,0.10996302626821798,0.018038098946206105
821,2018-05-30T18:50:00Z,NA,NA,SFC,168,7.3,1.1,0.2,1.4,0,0.004,0.571,3.93,0,2018-05-30T18:50:00Z,41,168,7.535,1.21,0.23,0.705,0,0.0055,0.296,2.705,0.125,0.414,0.301,623061.6,5.588,0.32481576477948076,0.03127938661064405,0.269,0.414,17643139.9987752,0.01833333392,0.013651974708612838,1.3429071113378022,21351231.1134252,23693120,3587006.8270554333,155863.98712800397,23486.35422476772,4270.24622268504,29891.72355879528,0,85.40492445370079,12191.552965765788,83910.33827576104,0,3587.0068270554334,155.86398712800394,23.486354224767723,4.27024622268504,29.891723558795277,0,0.08540492445370079,12.191552965765787,83.91033827576103,0,8.459921761923193,0.3676037432264244,0.0553923448697352,0.010071335430860945,0.0704993480160266,0,2.0142670861721885e-4,0.028753662655107988,0.19790174121641754,0,3587006.8270554333,160881.5264396589,25834.98964724449,4910.783156087796,15052.617934964765,0,117.43177112383859,6319.964409573859,57755.08016181517,2668.9038891781497,3587.0068270554334,160.88152643965887,25.83498964724449,4.910783156087796,15.052617934964765,0,0.11743177112383858,6.319964409573859,57.755080161815165,2.66890388917815,8.459921761923193,0.379437562357686,0.060931579356708704,0.011582035745490086,0.035501457393784824,0,2.769617243486759e-4,0.014905576437674196,0.13621481170239425,0.00629458464428809
849,2018-06-21T23:35:00Z,NA,NA,SFC,161,7.28,0.77,0.28,0.01,0,0.034,0.002,2.05,0.27,2018-06-21T23:40:00Z,42,164.5,7.29,0.935,0.24000000000000002,0.705,0,0.019000000000000003,0.2865,2.99,0.135,0.296,0.2,221928,0,0.2392496765847348,0.024400695316612795,0.194,0.303,6284301.221016,0,0.004862690050442894,0,17643139.9987752,0,2840545.539802807,128442.05919108345,13585.217799056905,4940.079199657056,176.431399987752,0,599.8667599583569,35.2862799975504,36168.43699748915,4763.647799669304,2840.545539802807,128.44205919108344,13.585217799056904,4.940079199657056,0.176431399987752,0,0.5998667599583568,0.0352862799975504,36.16843699748915,4.763647799669304,6.6993998580254885,0.3029293848846308,0.03204060801664364,0.011651130187870415,4.161117924239434e-4,0,0.0014147800942414077,8.322235848478869e-5,0.08530291744690838,0.011235018395446472,2902296.5297985203,128618.4905910712,16496.335898854813,4234.353599706048,12438.413699136514,0,335.21965997672885,5054.759609649094,52752.98859633785,2381.823899834652,2902.29652979852,128.6184905910712,16.496335898854813,4.234353599706048,12.438413699136515,0,0.33521965997672887,5.054759609649094,52.75298859633785,2.381823899834652,6.8450389853738685,0.30334549667705474,0.03890645259163871,0.009986683018174642,0.029335881365888005,0,7.906124056054927e-4,0.011921602852945976,0.12441742593475909,0.005617509197723236
852,2018-07-02T17:15:00Z,NA,NA,SFC,160,7.17,3.01,0.27,0.01,0,0.034,0.002,2.2,0.26,2018-07-02T17:20:00Z,43,160.5,7.225,1.89,0.275,0.01,0,0.034,0.002,2.125,0.265,0.2,0.149,284904.6,0,0.18319483024691358,0.012554145343779445,0.149,0.215,8067599.967796199,0,0.006242577609609478,0,6284301.221016,0,1005488.19536256,45058.43975468472,18915.74667525816,1696.76132967432,62.84301221016,0,213.666241514544,12.568602442032,13825.4626862352,1633.91831746416,1005.4881953625601,45.05843975468472,18.91574667525816,1.69676132967432,0.06284301221016,0,0.213666241514544,0.012568602442032001,13.8254626862352,1.63391831746416,2.371434423024906,0.10626990508180359,0.044612610083156035,0.004001795588854528,1.4821465143905662e-4,0,5.039298148927924e-4,2.9642930287811322e-5,0.03260722331659245,0.0038535809374154717,1008630.345973068,45404.0763218406,11877.32930772024,1728.1828357794,62.84301221016,0,213.666241514544,12.568602442032,13354.140094659,1665.33982356924,1008.630345973068,45.4040763218406,11.87732930772024,1.7281828357794,0.06284301221016,0,0.213666241514544,0.012568602442032001,13.354140094659,1.66533982356924,2.3788451555968586,0.10708508566471839,0.028012569121981697,0.004075902914574056,1.4821465143905662e-4,0,5.039298148927924e-4,2.9642930287811322e-5,0.03149561343079953,0.003927688263135
875,2018-07-20T17:20:00Z,NA,NA,SFC,156,7.34,1.61,0.12,0.01,0.066485746,0.034,0.002,1.9,0.043514254,2018-07-20T17:20:00Z,44,158,7.255,2.31,0.195,0.01,0.033242873,0.034,0.002,2.05,0.151757127,0.152,0.144,152139,0,0.14481153626499144,0.010643785764941282,0.129,0.178,4308096.785732999,0,0.003333535207744545,0,8067599.967796199,0,1258545.594976207,59216.1837636241,12988.83594815188,968.1119961355438,80.675999677962,536.3804022885063,274.29839890507077,16.135199935592397,15328.439938812777,351.0555941690757,1258.545594976207,59.2161837636241,12.98883594815188,0.9681119961355438,0.080675999677962,0.5363804022885063,0.2742983989050708,0.016135199935592398,15.328439938812778,0.35105559416907567,2.9682679126797336,0.1396608107632644,0.03063404704752802,0.002283283009753641,1.9027358414613682e-4,0.0012650481186049676,6.469301860968651e-4,3.8054716829227356e-5,0.03615198098776599,8.27961307002537e-4,1274680.7949117995,58530.43776636142,18636.15592560922,1573.1819937202588,80.675999677962,268.19020114425314,274.29839890507077,16.135199935592397,16538.579933982208,1224.3157928980436,1274.6807949117995,58.53043776636142,18.63615592560922,1.573181993720259,0.080675999677962,0.2681902011442531,0.2742983989050708,0.016135199935592398,16.538579933982206,1.2243157928980435,3.006322629508961,0.1380434852980222,0.04395319793775759,0.003710334890849667,1.9027358414613682e-4,6.325240593024838e-4,6.469301860968651e-4,3.8054716829227356e-5,0.03900608474995803,0.0028875372474010457
880,2018-08-01T21:10:00Z,NA,NA,SFC,158,7.14,2.28,0.13,0.01,0,0.036,0,1.61,0.12,2018-08-01T21:10:00Z,45,157,7.24,1.9449999999999998,0.125,0.01,0.033242873,0.035,0.001,1.755,0.081757127,0.144,0.103,252499.74,0.254,0.11252216577540107,0.011061491581316408,0.0983,0.149,7149996.505119779,8.333333600000001e-4,0.005532550977963202,0.15062371107275185,4308096.785732999,1076960,680679.2921458139,30759.811050133616,9822.460671471239,560.05258214529,43.080967857329995,0,155.09148428638798,0,6936.03582503013,516.9716142879599,680.679292145814,30.759811050133617,9.822460671471239,0.56005258214529,0.043080967857329996,0,0.15509148428638797,0,6.936035825030129,0.5169716142879599,1.605375689023146,0.07254672417484344,0.0231661808289416,0.0013208787314747405,1.0160605626728773e-4,0,3.6578180256223577e-4,0,0.016358575059033324,0.0012192726752074526,676371.1953600809,31190.62072870692,8379.248248250682,538.512098216625,43.080967857329995,143.21351431983032,150.78338750065498,4.3080967857329995,7560.709858961413,352.2176160394646,676.371195360081,31.190620728706918,8.379248248250683,0.5385120982166249,0.043080967857329996,0.14321351431983032,0.15078338750065498,0.0043080967857329995,7.560709858961413,0.3522176160394646,1.5952150833964174,0.07356278473751632,0.01976237794398746,0.0012700757033410966,1.0160605626728773e-4,3.3776772245243e-4,3.5562119693550705e-4,1.0160605626728772e-5,0.017831862874908993,8.307019246213788e-4
892,2018-08-27T20:30:00Z,NA,NA,SFC,154,7.22,0.82,0.03,0.01,0,0.031,0.002,0.58,0.02,2018-08-27T20:30:00Z,46,156,7.18,1.5499999999999998,0.08,0.01,0,0.0335,0.001,1.095,0.06999999999999999,0.103,0.0672,165605.1,0,0.08815346534653465,0.011636866472991001,0.0655,0.109,4689414.2791197,0,0.0036285924807712435,0,7149996.505119779,0,1101099.461788446,51622.9747669648,5862.997134198218,214.49989515359337,71.49996505119779,0,221.64989165871313,14.29999301023956,4146.997972969471,142.99993010239558,1101.099461788446,51.6229747669648,5.862997134198219,0.21449989515359336,0.0714999650511978,0,0.22164989165871313,0.01429999301023956,4.146997972969471,0.1429999301023956,2.5969326928972785,0.12175229897869057,0.01382782342971278,5.058959791358334e-4,1.6863199304527782e-4,0,5.227591784403611e-4,3.372639860905556e-5,0.00978065559662611,3.3726398609055565e-4,1115399.4547986856,51336.97490676001,11082.494582935655,571.9997204095823,71.49996505119779,0,239.5248829215126,7.14999650511978,7829.2461731061585,500.4997553583845,1115.3994547986856,51.33697490676001,11.082494582935656,0.5719997204095824,0.0714999650511978,0,0.2395248829215126,0.00714999650511978,7.829246173106158,0.5004997553583845,2.630659091506334,0.12107777100650946,0.026137958922018055,0.0013490559443622226,1.6863199304527782e-4,0,5.649171767016807e-4,1.686319930452778e-5,0.01846520323845792,0.0011804239513169446
906,2018-09-18T14:20:00Z,NA,NA,SFC,65,9.38,1.79,0.08,0.01,0.085764411,0.039,0.002,0.85,0,2018-09-18T14:20:00Z,47,109.5,8.3,1.305,0.055,0.01,0.0428822055,0.035,0.002,0.715,0.01,0.0672,0.185,82809.66,21.082,0.06712845330739299,0.036983542900725315,0.0508,0.305,2344908.47234202,0.06916666888,0.0018144520284171393,38.1198663821046,4689414.2791197,89387680,304811.92814278055,43986.70593814279,8394.051559624264,375.15314232957604,46.894142791197005,402.18485358369065,182.8871568856683,9.3788285582394,3986.002137251745,0,304.8119281427805,43.98670593814279,8.394051559624264,0.37515314232957603,0.046894142791197004,0.40218485358369066,0.1828871568856683,0.0093788285582394,3.986002137251745,0,0.7188960569405201,0.10374223098618583,0.01979729141420817,8.84795147003717e-4,1.1059939337546462e-4,9.485491829804025e-4,4.3133763416431205e-4,2.2119878675092924e-5,0.009400948436914493,0,513490.86356360716,38922.138516693514,6119.685634251208,257.9177853515835,46.894142791197005,201.09242679184533,164.12949976918952,9.3788285582394,3352.9312095705855,46.894142791197005,513.4908635636071,38.922138516693515,6.1196856342512085,0.2579177853515835,0.046894142791197004,0.20109242679184533,0.1641294997691895,0.0093788285582394,3.352931209570585,0.046894142791197004,1.2110633574613376,0.09179749650163564,0.014433220835498133,6.082966635650554e-4,1.1059939337546462e-4,4.742745914902012e-4,3.8709787681412617e-4,2.2119878675092924e-5,0.00790785662634572,1.1059939337546462e-4
924,2018-10-02T21:00:00Z,NA,NA,SFC,166,7.15,0.96,0.16,0.01,0,0.126,0.014560154,2.59,0.15,2018-10-02T21:00:00Z,48,115.5,8.265,1.375,0.12,0.01,0.0428822055,0.0825,0.008280077,1.72,0.075,0.183,0.0672,113123.46,6.858,0.09352137896825397,0.023084895092301532,0.0637,0.183,3203299.70893062,0.02250000072,0.0024786612027940355,9.077481301049612,2344908.47234202,29077920,389254.80640877533,16766.095577245444,2251.112133448339,375.1853555747232,23.4490847234202,0,295.45846751509447,34.142228473204554,6073.3129433658305,351.73627085130295,389.2548064087753,16.76609557724544,2.251112133448339,0.3751853555747232,0.0234490847234202,0,0.29545846751509447,0.03414222847320455,6.073312943365831,0.35173627085130293,0.9180537886999418,0.03954267824822038,0.005309226729830988,8.848711216384982e-4,5.5304445102406136e-5,0,6.968360082903172e-4,8.05241237575579e-5,0.014323851281523187,8.295666765360918e-4,270836.9285555033,19380.668523906796,3224.249149470277,281.3890166810424,23.4490847234202,100.55484698966156,193.45494896821666,19.416022708944297,4033.242572428274,175.86813542565147,270.83692855550333,19.3806685239068,3.224249149470277,0.2813890166810424,0.0234490847234202,0.10055484698966155,0.19345494896821666,0.019416022708944297,4.033242572428274,0.17586813542565147,0.6387663409327908,0.04570912387713868,0.007604361201580842,6.636533412288736e-4,5.5304445102406136e-5,2.371576579944848e-4,4.562616720948506e-4,4.579250638901957e-5,0.009512364557613853,4.147833382680459e-4
925,2018-10-16T21:00:00Z,NA,NA,SFC,188,7.32,0.82,0.1,0.01,0,0.039,0.002514464,1.85,0.09,2018-10-16T21:00:00Z,49,177,7.235,0.8899999999999999,0.13,0.01,0,0.0825,0.008537309,2.2199999999999998,0.12,0.0681,0.0727,54739.32,0,0.0710531152647975,0.004462571245280647,0.062,0.0804,1550044.94932404,0,0.0011993995653185254,0,3203299.70893062,0,602220.3452789566,23448.15386937214,2626.705761323108,320.329970893062,32.0329970893062,0,124.92868864829418,8.054581799316523,5926.104461521647,288.29697380375575,602.2203452789565,23.448153869372142,2.6267057613231084,0.32032997089306203,0.0320329970893062,0,0.12492868864829418,0.008054581799316523,5.926104461521647,0.2882969738037558,1.420331003016407,0.055302249691915426,0.00619506075783752,7.554952143704293e-4,7.554952143704294e-5,0,2.946431336044674e-4,1.899665518706727e-5,0.013976661465852941,6.799456929333863e-4,566984.0484807197,23175.873394113038,2850.9367409482516,416.42896216098063,32.0329970893062,0,264.27222598677616,27.34755943475076,7111.325353825975,384.39596507167437,566.9840484807197,23.175873394113037,2.8509367409482516,0.41642896216098063,0.0320329970893062,0,0.2642722259867762,0.02734755943475076,7.1113253538259755,0.3843959650716744,1.3372265294356598,0.05466007875970056,0.00672390740789682,9.82143778681558e-4,7.554952143704294e-5,0,6.232835518556043e-4,6.449896093101594e-5,0.016771993759023527,9.065942572445151e-4
