sample,datetime,id,branch,SUBWS,ec,ph,turb,tn,nh4n,no3n,tp,po4,doc,time_round,date_group,tn_avg,nh4n_avg,no3n_avg,tp_avg,po4_avg,doc_avg,volume_cf,rain_mm,mean_Q_cfs,sd_Q_cfs,min_Q_cfs,max_Q_cfs,volume_liters,rain_ft,runoff_ft,runoff_ratio,vol_shift,rain_liters,tn_avg_grams,nh4n_avg_grams,no3n_avg_grams,tp_avg_grams,po4_avg_grams,doc_avg_grams,tn_avg_kg,nh4n_avg_kg,no3n_avg_kg,tp_avg_kg,po4_avg_kg,doc_avg_kg,tn_avg_ha,nh4n_avg_ha,no3n_avg_ha,tp_avg_ha,po4_avg_ha,doc_avg_ha
13,2016-05-26T16:50:00Z,TRE,SF,TRE,152,7.21,1.83,0.18,0,0,0.008,0.005,1.63,2016-05-26T16:50:00Z,2,NA,NA,NA,NA,NA,NA,83318.1,0.51,0.026750818724715856,0.0030766863421325718,0.02,0.0369,2359305.8900307002,0.0016732284,0.05489725012665465,0.030479275303219346,NA,71910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,2016-07-01T17:55:00Z,TRE  TCK,SF,TRE,168,8.42,0.8,0.09,0.01,0,0.019,0.016,1.2,2016-07-01T18:00:00Z,3,0.135,0.005,0,0.0135,0.0105,1.415,173696.1,0.06,0.022593732927495513,0.0026560284159154396,0.0122,0.0301,4918525.8881967,1.968504e-4,0.11444617973434845,0.0017200259585503643,2359305.8900307002,8460,318.5062951541446,11.796529450153502,0,31.850629515414454,24.772711845322355,3338.417834393441,0.3185062951541446,0.011796529450153501,0,0.03185062951541445,0.024772711845322357,3.3384178343934408,0.022589098947102454,8.366332943371277e-4,0,0.002258909894710245,0.0017569299181079685,0.23676722229740715
54,2016-09-28T17:25:00Z,TRE ETK,SF,TRE,217,8.41,1,0.08,0.01,0.02,0.018,0.014,1,2016-09-28T17:30:00Z,4,0.08499999999999999,0.01,0.01,0.0185,0.015,1.1,64726.74,5.7508,0.025845208433157643,0.012514688606014025,0.0122,0.115,1832857.1933887799,0.018867454672,0.04264763641589213,0.44240329025524305,4918525.8881967,810862.8,418.0747004967195,49.18525888196701,49.18525888196701,90.99272893163895,73.7778883229505,5410.378477016371,0.4180747004967195,0.04918525888196701,0.04918525888196701,0.09099272893163896,0.0737778883229505,5.410378477016371,0.029650687978490745,0.003488316232763618,0.003488316232763618,0.006453385030612692,0.005232474349145425,0.38371478560399797
64,2016-10-27T17:10:00Z,TRE,SF,TRE,161,7.74,15.6,0.29,0.01,0.09,0.032,0.018,9.09,2016-10-27T17:10:00Z,5,0.185,0.01,0.055,0.025,0.016,5.045,161887.08,4.320600000000001,0.1375888832228455,0.12688457063059008,0.0453,0.759,4584131.67563676,0.014175197304000003,0.10666536470507308,0.13289409681571943,1832857.1933887799,609204.6000000001,339.07858077692424,18.3285719338878,100.80714563638288,45.8214298347195,29.325715094220477,9246.764540646394,0.33907858077692427,0.018328571933887802,0.10080714563638289,0.0458214298347195,0.029325715094220477,9.246764540646394,0.024048126296235765,0.001299898718715447,0.007149442952934957,0.003249746796788617,0.0020798379499447146,0.6557989035919428
88,2016-11-10T07:00:00Z,5  Tr  01,SF,TRE,140,8.06,19.9,0.26,0,0,0.078,0.015,8.25,2016-11-10T07:00:00Z,9,0.275,0.005,0.045,0.055,0.0165,8.67,504988.56,9.4166,0.19176295283663705,0.2958721526593264,0.0345,1.77,14299683.79027032,0.030894357944000004,0.3327306226308467,0.0928509606351329,4584131.67563676,1327740.6,1260.6362108001092,22.920658378183802,206.2859254036542,252.12724216002178,75.63817264800655,39744.42162777071,1.2606362108001092,0.0229206583781838,0.2062859254036542,0.2521272421600218,0.07563817264800654,39.744421627770706,0.08940682346100065,0.0016255786083818299,0.014630207475436469,0.017881364692200127,0.005364409407660038,2.818753306934093
89,2016-11-10T07:00:00Z,5  Tr  02,SF,TRE,136,8.01,15.7,0.27,0,0,0.071,0.01,5.46,2016-11-10T07:00:00Z,9,0.265,0,0,0.0745,0.0125,6.855,504988.56,9.4166,0.19176295283663705,0.2958721526593264,0.0345,1.77,14299683.79027032,0.030894357944000004,0.3327306226308467,0.0928509606351329,14299683.79027032,1327740.6,3789.4162044216346,0,0,1065.3264423751386,178.74604737837902,98024.33238230305,3.789416204421635,0,0,1.0653264423751387,0.178746047378379,98.02433238230304,0.2687529222994067,0,0,0.07555506683511623,0.01267702463676447,6.952080310801635
90,2016-11-10T07:00:00Z,5  Tr  03,SF,TRE,136,7.88,12.2,0.44,0,0,0.078,0.025,4.76,2016-11-10T07:00:00Z,9,0.355,0,0,0.0745,0.0175,5.109999999999999,504988.56,9.4166,0.19176295283663705,0.2958721526593264,0.0345,1.77,14299683.79027032,0.030894357944000004,0.3327306226308467,0.0928509606351329,14299683.79027032,1327740.6,5076.387745545962,0,0,1065.3264423751386,250.2444663297306,73071.38416828132,5.076387745545963,0,0,1.0653264423751387,0.25024446632973063,73.07138416828131,0.36002749968411085,0,0,0.07555506683511623,0.017747834491470257,5.182367671509313
91,2016-11-10T07:00:00Z,5  Tr  04,SF,TRE,134,7.93,7.93,0.23,0,0,0.026,0.005,3.44,2016-11-10T07:00:00Z,9,0.335,0,0,0.052,0.015000000000000001,4.1,504988.56,9.4166,0.19176295283663705,0.2958721526593264,0.0345,1.77,14299683.79027032,0.030894357944000004,0.3327306226308467,0.0928509606351329,14299683.79027032,1327740.6,4790.394069740557,0,0,743.5835570940565,214.49525685405482,58628.7035401083,4.790394069740557,0,0,0.7435835570940565,0.21449525685405482,58.6287035401083,0.33974426026528776,0,0,0.052736422488940185,0.015212429564117363,4.158064080858745
98,2016-12-10T18:30:00Z,D 8 TP 05,SF,TRE,99,7.6,30.7,0.3,0.04,0.04,0.067,0.009,2.95,2016-12-10T18:30:00Z,10,0.265,0.02,0.02,0.0465,0.006999999999999999,3.1950000000000003,94138.8,0.04,1.053006711409396,0.3097512187582482,0.608,1.64,2665713.9963636,1.312336e-4,0.06202687351515596,0.0021157539073436244,14299683.79027032,5640,3789.4162044216346,285.99367580540644,285.99367580540644,664.9352962475698,100.09778653189223,45687.48970991367,3.789416204421635,0.2859936758054064,0.2859936758054064,0.6649352962475699,0.10009778653189223,45.68748970991367,0.2687529222994067,0.02028323941882315,0.02028323941882315,0.047158531648763824,0.0070991337965881016,3.240247497156998
104,2016-12-11T19:20:00Z,D 8 TR 11,SF,TRE,110,7.44,18.5,0.16,0.02,0.02,0.036,0.007,1.64,2016-12-11T19:20:00Z,11,0.22999999999999998,0.03,0.03,0.051500000000000004,0.008,2.295,70582.2,0.54,0.2940925,0.11528367081091366,0.177,0.605,1998665.3583234,0.0017716536000000002,0.0465057255012964,0.03809538677018625,2665713.9963636,76140.00000000001,613.1142191636279,79.97141989090798,79.97141989090798,137.2842708127254,21.3257119709088,6117.813621654461,0.613114219163628,0.07997141989090799,0.07997141989090799,0.13728427081272537,0.0213257119709088,6.117813621654461,0.043483277954867235,0.005671731907156595,0.005671731907156595,0.009736473107285488,0.0015124618419084255,0.4338874908974795
