sample,datetime,id,branch,SUBWS,ec,ph,turb,tn,nh4n,no3n,tp,po4,doc,time_round,date_group,tn_avg,nh4n_avg,no3n_avg,tp_avg,po4_avg,doc_avg,volume_cf,rainfall_mm,mean_Q_cfs,sd_Q_cfs,min_Q_cfs,max_Q_cfs,volume_liters,rain_ft,runoff_ft,runoff_ratio,vol_shift,rain_liters,tn_avg_grams,nh4n_avg_grams,no3n_avg_grams,tp_avg_grams,po4_avg_grams,doc_avg_grams,tn_avg_kg,nh4n_avg_kg,no3n_avg_kg,tp_avg_kg,po4_avg_kg,doc_avg_kg,tn_avg_ha,nh4n_avg_ha,no3n_avg_ha,tp_avg_ha,po4_avg_ha,doc_avg_ha
11,2016-05-26T16:13:00Z,UQL,SF,UQL,186,6.89,5.22,0.23,0.02,0,0.012,0.003,1.32,2016-05-26T16:10:00Z,2,NA,NA,NA,NA,NA,NA,3397.9157999999998,2.3019000000000003,8.769267575100651e-4,0.0015602664043243898,0,0.0504,96218.2618274826,6.041743823707022e-12,0.0025254161038285377,417994568.7069901,NA,287737.50000000006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,2016-10-27T16:28:00Z,UQL,SF,UQL,137,7.56,13.7,0.17,0.01,0.01,0.012,0.007,5.07,2016-10-27T16:30:00Z,3,0.2,0.015,0.005,0.012,0.005,3.1950000000000003,72660.942,4.4295,0.06162929770992367,0.08399911190440469,0.0065,0.408,2057528.7774898738,1.162600645862559e-11,0.05400343147000622,4645054315.2709055,96218.2618274826,553687.5,19.24365236549652,1.4432739274122388,0.48109130913741294,1.154619141929791,0.48109130913741294,307.4173465388069,0.019243652365496522,0.001443273927412239,4.8109130913741294e-4,0.001154619141929791,4.8109130913741294e-4,0.3074173465388069,0.0015394921892397217,1.1546191419297911e-4,3.8487304730993036e-5,9.236953135438329e-5,3.8487304730993036e-5,0.024593387723104553
71,2016-11-10T07:00:00Z,2  uq  02,SF,UQL,130,8.03,22.7,0.29,0.01,0,0.065,0.002,6.03,2016-11-10T07:00:00Z,4,0.22999999999999998,0.01,0.005,0.0385,0.0045000000000000005,5.550000000000001,472103.01,9.4566,0.17586909924005364,0.38878367548105885,0.00267,2.47,13368468.70240947,2.4820519850240153e-11,0.3508787781380355,14136640983.151709,2057528.7774898738,1182075,473.23161882267095,20.575287774898737,10.287643887449368,79.21485793336014,9.258879498704433,11419.284715068801,0.47323161882267095,0.020575287774898737,0.010287643887449368,0.07921485793336014,0.009258879498704433,11.4192847150688,0.03785852950581368,0.001646023021991899,8.230115109959495e-4,0.006337188634668811,7.407103598963547e-4,0.913542777205504
100,2016-12-11T08:40:00Z,D 5 UQ 07,SF,UQL,99,7.3,29.9,0.28,0,0.02,0.042,0.004,3.13,2016-12-11T08:40:00Z,5,0.28500000000000003,0.005,0.01,0.053500000000000006,0.003,4.58,24642,0.01,0.555,0.09118669693891832,0.424,0.735,697783.743774,2.6246769293657504e-14,0.018314551417237247,697783076169.4138,13368468.70240947,1250,3810.0135801866995,66.84234351204736,133.68468702409473,715.2130755789067,40.10540610722841,61227.586657035376,3.8100135801866997,0.06684234351204736,0.13368468702409472,0.7152130755789067,0.04010540610722841,61.227586657035374,0.304801086414936,0.005347387480963789,0.010694774961927578,0.05721704604631253,0.0032084324885782727,4.89820693256283
101,2016-12-11T21:00:00Z,D 5 UQ 09,SF,UQL,93,7.31,25.1,0.3,0.06,0.02,0.039,0.003,2.57,2016-12-11T21:00:00Z,6,0.29000000000000004,0.03,0.02,0.0405,0.0035,2.8499999999999996,118027.44,2.9,0.35127214285714287,0.6273114792472715,0.0929,3.08,3342164.96028168,7.611563095160676e-12,0.0877209487267626,11524695733.328985,697783.743774,362500,202.35728569446002,20.93351231322,13.95567487548,28.260241622846998,2.442243103209,1988.6836697558995,0.20235728569446002,0.02093351231322,0.013955674875479999,0.028260241622846998,0.0024422431032089997,1.9886836697558996,0.016188582855556802,0.0016746809850576,0.0011164539900384,0.00226081932982776,0.00019537944825671996,0.15909469358047196
110,2016-12-15T18:20:00Z,D 6 UQ 05,SF,UQL,90,7.48,31.2,0.35,0.03,0.02,0.049,0.003,4.47,2016-12-15T18:20:00Z,7,0.32499999999999996,0.045,0.02,0.044,0.003,3.5199999999999996,153983.4,0.29,1.745843537414966,0.8191521903579474,0.653,2.97,4360324.3783398,7.611563095160676e-13,0.11444431850909056,150355869193.08682,3342164.96028168,36250,1086.2036120915457,150.3974232126756,66.8432992056336,147.0552582523939,10.02649488084504,11764.420660191512,1.0862036120915457,0.15039742321267557,0.06684329920563359,0.14705525825239393,0.01002649488084504,11.764420660191512,0.08689628896732365,0.012031793857014045,0.005347463936450687,0.011764420660191515,8.021195904676032e-4,0.9411536528153209
119,2016-12-16T18:50:00Z,D 6 UQ 09,SF,UQL,96,7.38,23.5,0.22,0.04,0.02,0.033,0.003,2.81,2016-12-16T18:50:00Z,8,0.285,0.035,0.02,0.041,0.003,3.6399999999999997,134243.34,1.75,0.09025369100443727,0.09611466997075063,0.0172,0.643,3801348.1195489797,4.5931846263900636e-12,0.09977301164076217,21721968472.05271,4360324.3783398,218750,1242.692447826843,152.61135324189303,87.206487566796,178.7732995119318,13.0809731350194,15871.580737156872,1.242692447826843,0.15261135324189304,0.087206487566796,0.1787732995119318,0.0130809731350194,15.871580737156872,0.09941539582614745,0.012208908259351442,0.00697651900534368,0.014301863960954543,0.001046477850801552,1.2697264589725499
129,2017-01-03T00:00:00Z,11 DU 23,SF,UQL,92,7.45,31.9,0.07,0,0,0.027,0.001,5.13,2017-01-03T00:00:00Z,9,0.14500000000000002,0.02,0.01,0.03,0.002,3.9699999999999998,4972.32,1.1400000000000001,0.04962395209580838,0.06298478034709008,0.019,0.277,140800.42467503998,2.9921316994769555e-012,0.003695552727171378,1235090262.8441741,3801348.1195489797,142500.00000000003,551.1954773346022,76.02696239097959,38.013481195489796,114.04044358646938,7.60269623909796,15091.352034609448,0.5511954773346022,0.07602696239097959,0.03801348119548979,0.11404044358646938,0.00760269623909796,15.091352034609448,0.04409563818676818,0.006082156991278367,0.0030410784956391834,0.00912323548691755,6.082156991278368e-4,1.2073081627687559
120,2017-01-04T03:50:00Z,7 UQ 01,SF,UQL,94,7.63,44.7,0.09,0,0,0.03,0.001,6.04,2017-01-04T03:50:00Z,10,0.08,0,0,0.028499999999999998,0.001,5.585,11192.4,0.07,0.3806938775510204,0.06669058031987246,0.279,0.498,316933.4783628,1.8372738505560255e-13,0.008318471929319298,45276167876.67133,140800.42467503998,8750.000000000002,11.264033974003198,0,0,4.012812103238639,0.14080042467503998,786.3703718100983,0.011264033974003197,0,0,0.004012812103238639,1.4080042467504e-4,0.7863703718100983,9.011227179202558e-4,0,0,3.210249682590911e-4,1.1264033974003199e-5,0.06290962974480786
121,2017-01-04T12:00:00Z,7 UQ 02,SF,UQL,100,7.56,41.4,0.09,0,0,0.044,0,4.76,2017-01-04T12:00:00Z,11,0.09,0,0,0.037,5e-4,5.4,14832.6,0,0.5045102040816326,0.016781838458310126,0.469,0.525,420012.4648122,0,0.011023959717202873,Inf,316933.4783628,0,28.524013052652,0,0,11.726538699423598,0.15846673918139997,1711.44078315912,0.028524013052651998,0,0,0.011726538699423597,1.584667391814e-4,1.71144078315912,0.0022819210442121597,0,0,9.381230959538878e-4,1.2677339134512e-5,0.1369152626527296
