sample,datetime,id,branch,SUBWS,ec,ph,turb,tn,nh4n,no3n,tp,po4,doc,don,time_round,date_group,ec_ravg,ph_ravg,turb_ravg,tn_ravg,nh4n_ravg,no3n_ravg,tp_ravg,po4_ravg,doc_ravg,don_ravg,firstq,lastq,volume_cf,rain_mm,mean_Q_cfs,sd_Q_cfs,min_Q_cfs,max_Q_cfs,volume_liters,rain_ft,runoff_ft,runoff_ratio,vol_shift,rain_liters,ec_grams,ph_grams,turb_grams,tn_grams,nh4n_grams,no3n_grams,tp_grams,po4_grams,doc_grams,don_grams,ec_kg,ph_kg,turb_kg,tn_kg,nh4n_kg,no3n_kg,tp_kg,po4_kg,doc_kg,don_kg,ec_ha,ph_ha,turb_ha,tn_ha,nh4n_ha,no3n_ha,tp_ha,po4_ha,doc_ha,don_ha,ec_ravg_grams,ph_ravg_grams,turb_ravg_grams,tn_ravg_grams,nh4n_ravg_grams,no3n_ravg_grams,tp_ravg_grams,po4_ravg_grams,doc_ravg_grams,don_ravg_grams,ec_ravg_kg,ph_ravg_kg,turb_ravg_kg,tn_ravg_kg,nh4n_ravg_kg,no3n_ravg_kg,tp_ravg_kg,po4_ravg_kg,doc_ravg_kg,don_ravg_kg,ec_ravg_ha,ph_ravg_ha,turb_ravg_ha,tn_ravg_ha,nh4n_ravg_ha,no3n_ravg_ha,tp_ravg_ha,po4_ravg_ha,doc_ravg_ha,don_ravg_ha
350,2017-08-01T17:40:00Z,NA,SF,WIL,475,8.22,0.65,0.11,0.03,0,0.019,0.016,0.88,0.08,2017-08-01T17:40:00Z,57,461,8.030000000000001,0.6799999999999999,0.09,0.04,0,0.013999999999999999,0.0115,0.855,0.05,0.0386,0.0216,135171.42,5.334,0.03007819759679573,0.0040745845481340885,0.0201,0.0404,3827628.4189127404,0.01750000056,0.04738810562980698,0.3692909924846743,1163424.84316812,1413510,552626.800504857,9563.352210841946,756.2261480592779,127.97673274849319,34.9027452950436,0,22.105072020194278,18.614797490689917,1023.8138619879455,93.07398745344959,552.626800504857,9.563352210841947,0.7562261480592779,0.1279767327484932,0.0349027452950436,0,0.02210507202019428,0.018614797490689918,1.0238138619879456,0.0930739874534496,20.85384152848517,0.3608812155034697,0.028536835775821806,0.00482931066975446,0.0013170847281148527,0,8.341536611394068e-4,7.024451883279214e-4,0.03863448535803568,0.0035122259416396073,536338.8527005033,9342.301490640004,791.1288933543215,104.70823588513078,46.536993726724795,0,16.287947804353678,13.37938569643338,994.7282409087426,58.171242158406,536.3388527005033,9.342301490640002,0.7911288933543215,0.10470823588513078,0.0465369937267248,0,0.016287947804353678,0.013379385696433379,0.9947282409087426,0.058171242158406,20.239201988698237,0.35253967889207555,0.02985392050393666,0.003951254184344558,0.0017561129708198037,0,6.146395397869312e-4,5.048824791106935e-4,0.037536914751273305,0.0021951412135247546
363,2017-09-22T17:55:00Z,NA,NA,WIL,500,8.26,0.46,0.16,0.11,0.003,0.039,0.02,0.87,0.047,2017-09-22T18:00:00Z,58,487.5,8.24,0.555,0.135,0.07,0.0015,0.028999999999999998,0.018000000000000002,0.875,0.0635,0.0216,0.0263,47795.76,22.605999999999998,0.020336890477406177,0.0017414169589817946,0.0172,0.0263,1353425.22316872,0.07416666904,0.016756134717952235,4.426239719864457,3827628.4189127404,5990589.999999999,1913814.2094563702,31616.210740219234,1760.7090726998606,612.4205470260385,421.0391260804015,11.482885256738221,149.27750833759686,76.55256837825482,3330.036724454084,179.8985356888988,1913.81420945637,31.616210740219234,1.7607090726998607,0.6124205470260385,0.42103912608040145,0.011482885256738223,0.14927750833759687,0.07655256837825482,3.330036724454084,0.1798985356888988,72.21940413042906,1.193064556234688,0.06644185179999475,0.023110209321737303,0.015888268908694395,4.3331642478257445e-4,0.005633113522173467,0.002888776165217163,0.12566176318694658,0.006788623988260332,1865968.854219961,31539.65817184098,2124.3337724965713,516.72983655322,267.93398932389186,5.741442628369111,111.00122414846946,68.89731154042933,3349.174866548648,243.054404600959,1865.968854219961,31.53965817184098,2.124333772496571,0.51672983655322,0.2679339893238919,0.005741442628369111,0.11100122414846947,0.06889731154042933,3.349174866548648,0.243054404600959,70.41391902716835,1.190175780069471,0.08016353858477628,0.01949923911521585,0.010110716578260072,2.1665821239128723e-4,0.004188725439564885,0.0025998985486954465,0.12638395722825088,0.009171864324564492
374,2017-10-19T22:51:00Z,NA,NA,WIL,501,8.25,0.48,0.12,0.03,0.003,0.048,0.026,0.78,0.087,2017-10-19T22:50:00Z,59,500.5,8.254999999999999,0.47,0.14,0.07,0.003,0.0435,0.023,0.825,0.067,0.0247,0.0145,19598.04,3.07594,0.016405524861878452,0.002906015181383554,0.0107,0.0349,554954.70017988,0.0100916669896,0.00687063870200655,1.468810605141085,1353425.22316872,815124.1000000001,678066.0368075287,11165.75809114194,649.6441071209856,162.4110267802464,40.6027566950616,4.060275669506161,64.96441071209857,35.18905580238672,1055.6716740716015,117.74799441567863,678.0660368075287,11.16575809114194,0.6496441071209856,0.1624110267802464,0.0406027566950616,0.00406027566950616,0.06496441071209856,0.035189055802386716,1.0556716740716017,0.11774799441567864,25.587397615378443,0.42134936192988454,0.024514871966829648,0.006128717991707412,0.001532179497926853,1.532179497926853e-4,0.0024514871966829646,0.0013278888982032723,0.03983666694609818,0.004443320543987874,677389.3241959445,11172.525217257782,636.1098548892983,189.4795312436208,94.7397656218104,4.060275669506161,58.87399720783932,31.12878013288056,1116.575809114194,90.67948995230424,677.3893241959445,11.172525217257784,0.6361098548892983,0.18947953124362082,0.09473976562181041,0.00406027566950616,0.05887399720783932,0.031128780132880562,1.116575809114194,0.09067948995230424,25.561861290413,0.421604725179539,0.02400414546752069,0.007150170990325314,0.003575085495162657,1.532179497926853e-4,0.002221660271993937,0.0011746709484105873,0.04213493619298845,0.0034218675453699713
386,2017-11-02T18:40:00Z,NA,NA,WIL,421,8.08,4.02,0.32,0.06,0.009,0.041,0.013,4.06,0.251,2017-11-02T18:40:00Z,60,461,8.165,2.25,0.22,0.045,0.006,0.0445,0.0195,2.42,0.16899999999999998,0.0145,0.0463,31628.13,125.87732,0.019308992673992675,0.015637816428429797,0.00636,0.116,895608.91810611,0.41298334654880003,0.011088121773916904,37.24556376358345,554954.70017988,33357489.799999997,233635.92877572947,4484.03397745343,2230.9178947231176,177.5855040575616,33.2972820107928,4.99459230161892,22.753142707375083,7.21441110233844,2253.116082730313,139.2936297451499,233.63592877572947,4.48403397745343,2.230917894723117,0.1775855040575616,0.0332972820107928,0.00499459230161892,0.022753142707375083,0.00721441110233844,2.2531160827303127,0.1392936297451499,8.816450142480358,0.1692088293378653,0.08418558093294781,0.006701339775757042,0.0012565012079544453,1.884751811931668e-4,8.586091587688711e-4,2.722419283901298e-4,0.08502324840491746,0.005256363386609429,255834.11678292468,4531.20512696872,1248.6480754047302,122.0900340395736,24.9729615080946,3.32972820107928,24.69548415800466,10.821616653507661,1342.9903744353096,93.78734433039972,255.8341167829247,4.53120512696872,1.2486480754047302,0.1220900340395736,0.0249729615080946,0.00332972820107928,0.024695484158004658,0.01082161665350766,1.3429903744353096,0.09378734433039972,9.654117614449989,0.17098887271580074,0.04711879529829171,0.004607171095832966,9.423759059658339e-4,1.2565012079544452e-4,9.319050625662135e-4,4.083628925851947e-4,0.05067888205416263,0.0035391450690716872
398,2017-11-21T17:37:00Z,NA,NA,WIL,330,8.05,40.6,1.04,0.45,0.007,0.332,0.058,4.56,0.583,2017-11-21T17:40:00Z,61,375.5,8.065000000000001,22.310000000000002,0.68,0.255,0.008,0.1865,0.035500000000000004,4.31,0.417,0.0463,0.0231,61725.18,66.01459999999999,0.05115629040278469,0.05696298426243787,0.0186,0.265,1747862.47810746,0.21658334026399997,0.021639480815240742,10.008712413814465,895608.91810611,17493868.999999996,295550.9429750163,7209.651790754186,36361.72207510807,931.4332748303543,403.0240131477495,6.26926242674277,297.3421608112285,51.94531725015438,4083.9766665638613,522.1399992558621,295.5509429750163,7.209651790754186,36.36172207510807,0.9314332748303544,0.4030240131477495,0.00626926242674277,0.2973421608112285,0.05194531725015438,4.083976666563861,0.5221399992558621,11.152865772642125,0.27206233172657307,1.3721404556644554,0.035148425465296396,0.01520845332633017,2.3657594063180264e-4,0.011220458898536925,0.001960200650949222,0.15411232704014569,0.019703396198334416,336301.1487488443,7223.085924525778,19981.034962947317,609.0140643121548,228.38027411705806,7.16487134484888,167.03106322678948,31.794116592766905,3860.074437037333,373.4689188502478,336.30114874884424,7.223085924525778,19.981034962947316,0.6090140643121548,0.22838027411705805,0.00716487134484888,0.1670310632267895,0.03179411659276691,3.8600744370373334,0.3734689188502478,12.69060938674884,0.2725692801707841,0.7540013193565025,0.022981662804232257,0.008618123551587096,2.7037250357920303e-4,0.00630305898969017,0.0011997779846327136,0.1456631863032956,0.014093166749065954
414,2017-12-05T16:50:00Z,NA,NA,WIL,425,6.99,1,0.07,0.02,0.011,0.018,0.017,1.18,0.039,2017-12-05T16:50:00Z,62,377.5,7.5200000000000005,20.8,0.555,0.23500000000000001,0.009,0.17500000000000002,0.037500000000000006,2.8699999999999997,0.311,0.0231,0.0172,27731.64,0.508,0.022813129318854885,0.002675752185476693,0.0158,0.0296,785272.6069390799,0.0016666667200000002,0.009722098692221922,0.1714307551036693,1747862.47810746,134620,742841.5531956705,12217.558721971147,1747.86247810746,122.35037346752222,34.95724956214921,19.22648725918206,31.46152460593428,29.713662127826826,2062.477724166803,68.16663664619095,742.8415531956705,12.217558721971146,1.74786247810746,0.12235037346752223,0.034957249562149205,0.01922648725918206,0.03146152460593428,0.029713662127826824,2.062477724166803,0.06816663664619095,28.031756724364925,0.46103995177249607,0.06595707464556454,0.004616995225189518,0.0013191414929112908,7.255278211012099e-4,0.0011872273436201615,0.001121270268974597,0.07782934808176614,0.002572325911177017,659818.0854855662,13143.9258353681,36355.53954463517,970.0636753496404,410.7476823552531,15.73076230296714,305.87593366880554,65.54484292902977,5016.36531216841,543.5852306914201,659.8180854855661,13.143925835368101,36.35553954463517,0.9700636753496404,0.41074768235525316,0.01573076230296714,0.3058759336688055,0.06554484292902976,5.01636531216841,0.5435852306914201,24.89879567870061,0.4959972013346453,1.3719071526277422,0.03660617642828832,0.015499912541707666,5.936136718100808e-4,0.011542488062973793,0.0024733902992086702,0.18929680423277018,0.02051265021477057
428,2017-12-19T18:30:00Z,NA,NA,WIL,464,7.1,20.1,0.11,0.03,0.009,0.114,0.019,0.87,0.071,2017-12-19T18:30:00Z,63,444.5,7.045,10.55,0.09,0.025,0.009999999999999998,0.066,0.018000000000000002,1.025,0.05499999999999999,0.0172,0.273,30445.686,91.948,0.017455386996904024,0.01562831340823787,0.00737,0.273,862125.832272042,0.30166667632,0.010673583100184457,28.262924782474098,785272.6069390799,24366219.999999996,364366.48961973307,5575.435509267467,15783.979399475507,86.37998676329879,23.558178208172396,7.067453462451719,89.52107719105511,14.92017953184252,683.1871680369995,55.75435509267467,364.3664896197331,5.575435509267467,15.783979399475507,0.08637998676329879,0.0235581782081724,0.007067453462451719,0.0895210771910551,0.01492017953184252,0.6831871680369995,0.055754355092674665,13.749678853574833,0.21039379280254591,0.5956218641311513,0.0032596221420112753,8.889878569121659e-4,2.6669635707364975e-4,0.0033781538562662303,5.630256427110385e-4,0.025780647850452813,0.002103937928025459,349053.673784421,5532.245515885817,8284.626003207295,70.6745346245172,19.631815173477,7.8527260693907985,51.82799205797928,14.13490692490344,804.9044221125569,43.189993381649394,349.05367378442105,5.532245515885818,8.284626003207295,0.0706745346245172,0.019631815173477,0.007852726069390798,0.051827992057979284,0.01413490692490344,0.8049044221125569,0.043189993381649396,13.171836746581926,0.20876398173154032,0.3126273963474451,0.002666963570736498,7.408232140934717e-4,2.963292856373886e-4,0.0019557732852067654,5.333927141472996e-4,0.030373751777832334,0.0016298110710056377
459,2018-01-08T23:00:00Z,NA,NA,WIL,195,6.68,33.4,0.25,0.01,0,0.092,0,13.52,0.24,2018-01-08T23:00:00Z,64,329.5,6.89,26.75,0.18,0.02,0.0045,0.10300000000000001,0.0095,7.194999999999999,0.1555,0.28,0.504,2836.8,0.254,0.394,0.08628915448547507,0.28,0.509,80329.2315696,8.333333600000001e-4,9.945192412022929e-4,0.8379258293610969,862125.832272042,67310,168114.5372930482,5759.000559577241,28795.002797886205,215.53145806801052,8.621258322720422,0,79.31557656902787,0,11655.941252318007,206.9101997452901,168.11453729304822,5.759000559577241,28.795002797886205,0.21553145806801052,0.008621258322720421,0,0.07931557656902787,0,11.655941252318009,0.2069101997452901,6.343944803511254,0.21732077583310344,1.0866038791655173,0.008133262568604171,3.2533050274416686e-4,0,0.0029930406252463345,0,0.4398468397101135,0.007807932065860003,284070.46173363784,5940.04698435437,23061.866013277126,155.18264980896757,17.242516645440844,3.879566245224189,88.79896072402033,8.1901954065844,6202.995363197342,134.06056691830253,284.07046173363784,5.940046984354369,23.061866013277125,0.15518264980896757,0.017242516645440843,0.003879566245224189,0.08879896072402034,0.008190195406584399,6.202995363197343,0.13406056691830254,10.719640065420297,0.22415271639073092,0.8702590948406462,0.005855949049395003,6.506610054883337e-4,1.4639872623487506e-4,0.0033509041782649185,3.0906397760695843e-4,0.23407529672442803,0.005058889317671794
460,2018-01-09T01:00:00Z,NA,NA,WIL,177,6.71,42.1,0.3,0.01,0,0.148,0,8.28,0.29,2018-01-09T01:00:00Z,65,186,6.695,37.75,0.275,0.01,0,0.12,0,10.899999999999999,0.265,0.513,0.645,13237.2,7.62,0.6128333333333333,0.044502006375314936,0.513,0.66,374835.7671084,0.0250000008,0.004640669098858922,5.387154366629408,80329.2315696,2019300,14218.2739878192,539.0091438320161,3381.86064908016,24.09876947088,0.803292315696,0,11.888726272300799,0,665.1260373962879,23.295477155184,14.2182739878192,0.539009143832016,3.38186064908016,0.02409876947088,8.032923156960001e-4,0,0.011888726272300799,0,0.665126037396288,0.023295477155184,0.5365386410497811,0.02033996769177419,0.12761738298415698,9.093875272030189e-4,3.0312917573433966e-05,0,4.486311800868226e-4,0,0.025099095750803317,8.790746096295849e-4,14941.2370719456,537.804205358472,3032.4284917524,22.090538681640002,0.803292315696,0,9.639507788351999,0,875.5886241086399,21.287246365944,14.9412370719456,0.5378042053584721,3.0324284917524,0.02209053868164,8.032923156960001e-4,0,0.009639507788351999,0,0.8755886241086399,0.021287246365944,0.5638202668658717,0.02029449831541404,0.11443126383971321,8.33605233269434e-4,3.0312917573433966e-05,0,3.637550108812075e-4,0,0.033041080155043014,8.03292315696e-4
461,2018-01-09T07:00:00Z,NA,NA,WIL,177,6.62,29.1,0.17,0.01,0,0.089,0,5.37,0.16,2018-01-09T07:00:00Z,66,177,6.665,35.6,0.235,0.01,0,0.1185,0,6.824999999999999,0.22499999999999998,0.64,0.542,8569.2,4.8260000000000005,0.5950833333333333,0.029232079856787867,0.542,0.64,242652.72531240003,0.01583333384,0.003004171701110648,5.270449033970458,374835.7671084,1278890,66345.9307781868,2481.412778257608,10907.72082285444,63.722080408428,3.7483576710840003,0,33.360383272647596,0,2012.868069372108,59.973722737344005,66.3459307781868,2.481412778257608,10.90772082285444,0.063722080408428,0.0037483576710840003,0,0.03336038327264759,0,2.012868069372108,0.059973722737344005,2.5036200293655395,0.0936382180474569,0.41161210652280905,0.0024046068078652076,1.414474592861887e-4,0,0.001258882387647079,0,0.07595728563668333,0.002263159348579019,66345.9307781868,2498.280387777486,13344.15330905904,88.086405270474,3.7483576710840003,0,44.418038402345395,0,2558.25411051483,84.33804759939,66.3459307781868,2.498280387777486,13.34415330905904,0.088086405270474,0.0037483576710840003,0,0.04441803840234539,0,2.55825411051483,0.08433804759939,2.5036200293655395,0.09427473161424475,0.5035529550588317,0.003324015293225434,1.414474592861887e-4,0,0.0016761523925413356,0,0.09653789096282377,0.003182567833939245
