sample,datetime,SUBWS,ec,ph,turb,tn,nh4n,no3n,tp,po4,doc,don,time_round,date_group,firstq,lastq,volume_cf,time_secs,time_days,time_weeks,rain_mm,mean_Q_cfs,sd_Q_cfs,min_Q_cfs,max_Q_cfs,volume_liters,rain_ft,runoff_ft,runoff_meters,runoff_ratio,rain_liters,ec_grams,ph_grams,turb_grams,tn_grams,nh4n_grams,no3n_grams,tp_grams,po4_grams,doc_grams,don_grams,ec_kg,ph_kg,turb_kg,tn_kg,nh4n_kg,no3n_kg,tp_kg,po4_kg,doc_kg,don_kg,ec_ha,ph_ha,turb_ha,tn_ha,nh4n_ha,no3n_ha,tp_ha,po4_ha,doc_ha,don_ha
12,2016-05-22T16:40:00Z,WIL,294,7.69,0.87,0.23,0,0,0.02,0.01,1.23,0.23,2016-05-22T16:40:00Z,2,0.0263,0.0186,205079.298,11143200,128.97222222222226,18.424603174603174,15.24,0.01840398610811975,0.0071523299297551034,0.00288,0.0331,5807199.104333406,0.0500000016,0.07189625910647873,0.7738841433962265,0.6954464977927397,4038600,1707316.5366740215,44657.361112323895,5052.2632207700635,1335.6557939966835,0,0,116.14398208666813,58.071991043334066,7142.85489833009,1335.6557939966835,1707.3165366740216,44.6573611123239,5.0522632207700635,1.3356557939966835,0,0,0.11614398208666812,0.05807199104333406,7.142854898330089,1.3356557939966835,64.42703911977439,1.6851834382009019,0.19065144229320993,0.050402105433837115,0,0,0.004382791776855401,0.0021913958884277004,0.2695416942766071,0.050402105433837115
53,2016-09-28T16:00:00Z,WIL,352,8.13,5.7,0.06,0.01,0.01,0.02,0.01,0.7,0.04,2016-09-28T16:00:00Z,3,0.0172,0.102,46982.676,2510400,29.055555555555557,4.15079365079365,162.16376,0.018715215105162525,0.007002371167100959,0.00954,0.102,1330401.247942572,0.5320333503584,0.016471085478416938,0.17729311698113207,32.3010496822177,42973396.4,468301.23927578534,10816.16214577311,7583.2871132726605,79.8240748765543,13.30401247942572,13.30401247942572,26.60802495885144,13.30401247942572,931.2808735598003,53.21604991770288,468.30123927578535,10.816162145773111,7.58328711327266,0.07982407487655431,0.01330401247942572,0.01330401247942572,0.02660802495885144,0.01330401247942572,0.9312808735598003,0.05321604991770288,17.671744878331523,0.4081570621046457,0.28616177785934566,0.003012229240624691,5.020382067707819e-4,5.020382067707819e-4,0.0010040764135415639,5.020382067707819e-4,0.03514267447395473,0.0020081528270831277
65,2016-10-27T17:15:00Z,WIL,268,8.24,18.5,0.2,0.01,0.02,0.03,0.02,9,0.17,2016-10-27T17:20:00Z,4,0.108,0.0367,151096.62,1172400,13.569444444444445,1.9384920634920635,93.6498,0.12887804503582395,0.15008465695745138,0.0314,0.793,4278579.870757139,0.307250009832,0.05297112798598109,0.5701759245283019,5.800329755358699,24817196.999999996,1146659.4053629134,35255.49813503883,79153.72760900708,855.7159741514279,42.785798707571395,85.57159741514279,128.35739612271416,85.57159741514279,38507.21883681425,727.3585780287137,1146.6594053629133,35.25549813503883,79.15372760900708,0.8557159741514279,0.0427857987075714,0.0855715974151428,0.12835739612271416,0.0855715974151428,38.50721883681425,0.7273585780287137,43.27016624010994,1.330396156039201,2.986933117321022,0.03229116883590294,0.001614558441795147,0.003229116883590294,0.0048436753253854395,0.003229116883590294,1.4531025976156322,0.0274474935105175
86,2016-11-10T07:00:00Z,WIL,182,8.12,21.8,0.29,0,0.01,0.06,0.01,6.4,0.28,2016-11-10T07:00:00Z,6,0.0386,3.2,594076.32,2617200,30.291666666666668,4.3273809523809526,240.19764,0.22698927097661623,0.430761702124204,0.0231,3.2,16822368.25976304,0.7880500252176,0.20826999823133474,2.241797433962264,3.7837904254566608,63652374.60000001,3061671.023276873,136597.63026927586,366727.62806283426,4878.486795331281,0,168.2236825976304,1009.3420955857823,168.2236825976304,107663.15686248346,4710.263112733652,3061.6710232768733,136.59763026927587,366.72762806283424,4.878486795331281,0,0.1682236825976304,1.0093420955857824,0.1682236825976304,107.66315686248346,4.710263112733652,115.5347555953537,5.154627557331165,13.838778417465443,0.1840938413332559,0,0.006348063494250204,0.03808838096550122,0.006348063494250204,4.062760636320131,0.17774577783900575
87,2016-11-10T07:00:00Z,WIL,185,8.32,11.7,0.24,0,0,0.04,0.01,4.7,0.24,2016-11-10T07:00:00Z,6,0.0386,3.2,594076.32,2617200,30.291666666666668,4.3273809523809526,240.19764,0.22698927097661623,0.430761702124204,0.0231,3.2,16822368.25976304,0.7880500252176,0.20826999823133474,2.241797433962264,3.7837904254566608,63652374.60000001,3112138.1280561625,139962.1039212285,196821.70863922755,4037.3683823431293,0,0,672.8947303905215,168.2236825976304,79065.13082088629,4037.3683823431293,3112.1381280561623,139.9621039212285,196.82170863922755,4.0373683823431294,0,0,0.6728947303905216,0.1682236825976304,79.06513082088628,4.0373683823431294,117.43917464362876,5.28158882721617,7.427234288272738,0.15235352386200487,0,0,0.025392253977000817,0.006348063494250204,2.9835898422975955,0.15235352386200487
97,2016-12-10T14:00:00Z,WIL,121,7.84,26.6,0.22,0.02,0.02,0.05,0.01,2.63,0.18,2016-12-10T14:00:00Z,7,3.24,0.755,228630.6,130800,1.513888888888889,0.21626984126984125,0.254,1.7479403669724771,0.7793727426613991,0.755,3.25,6474097.7197182,8.333333600000001e-4,0.08015282389580686,0.8627569811320754,0.010396805995048608,67310,783365.8240859022,50756.92612259069,172210.99934450415,1424.3014983380042,129.481954394364,129.481954394364,323.70488598591004,64.740977197182,17026.877002858866,1165.3375895492761,783.3658240859022,50.75692612259069,172.21099934450416,1.424301498338004,0.129481954394364,0.129481954394364,0.32370488598591,0.064740977197182,17.026877002858868,1.1653375895492761,29.56097449380763,1.9153557027392714,6.498528277151101,0.05374722635237751,0.004886111486579773,0.004886111486579773,0.012215278716449434,0.0024430557432898866,0.6425236604852402,0.04397500337921797
103,2016-12-12T02:20:00Z,WIL,116,7.43,17.2,0.2,0.06,0.02,0.04,0.01,1.77,0.12,2016-12-12T02:20:00Z,8,0.749,0.299,61527,128400,1.4861111111111112,0.2123015873015873,0.762,0.4791822429906542,0.1312606247436409,0.299,0.755,1742250.645369,0.00250000008,0.021570003297184667,0.23217735849056603,0.11590170133753767,201930,202101.074862804,12944.92229509167,29966.7111003468,348.45012907380004,104.53503872214,34.845012907379996,69.69002581475999,17.422506453689998,3083.78364230313,209.07007744428,202.10107486280398,12.94492229509167,29.9667111003468,0.3484501290738001,0.10453503872214,0.03484501290738,0.06969002581476,0.01742250645369,3.08378364230313,0.20907007744428,7.62645565520015,0.4884876337770442,1.1308192868055396,0.013149061474483022,0.003944718442344905,0.0013149061474483018,0.0026298122948966037,6.574530737241509e-4,0.11636919404917473,0.00788943688468981
47,2016-12-13T14:00:00Z,WIL,309,7.81,4.4,0.05,0.03,0.02,0.02,0.01,0.85,0,2016-12-13T14:00:00Z,9,0.299,0.288,32669.4,126000,1.4583333333333335,0.20833333333333331,27.432,0.2592809523809524,0.01920805550329906,0.229,0.299,925094.4013818001,0.09000000288,0.011453167970436471,0.12328075471698113,7.858088095129035,7269480,285854.1700269762,7224.987274791858,4070.4153660799207,46.254720069090006,27.752832041454,18.501888027636003,18.501888027636003,9.250944013818001,786.33024117453,0,285.85417002697625,7.224987274791858,4.070415366079921,0.046254720069090004,0.027752832041453998,0.018501888027636002,0.018501888027636002,0.009250944013818001,0.78633024117453,0,10.786949812338726,0.2726410292374286,0.15360057985207248,0.0017454611346826416,0.001047276680809585,6.981844538730567e-4,6.981844538730567e-4,3.4909222693652834e-4,0.029672839289604905,0
106,2016-12-15T01:00:00Z,WIL,150,7.43,9.32,0.27,0.16,0.02,0.04,0.01,1.94,0.09,2016-12-15T01:00:00Z,10,0.288,0.291,1572.6,5400,0.0625,0.008928571428571428,7.366,0.2912222222222222,0.002488864087178015,0.288,0.295,44531.073592199995,0.02416666744,5.513187248712371e-4,0.005934339622641509,43.83429466438716,1951989.9999999998,6679.661038829999,330.86587679004595,415.0296058793039,12.023389869893998,7.124971774751999,0.8906214718439999,1.7812429436879997,0.44531073592199993,86.39028276886798,4.007796623297999,6.679661038829999,0.3308658767900459,0.41502960587930393,0.012023389869894,0.007124971774751999,8.906214718439998e-4,0.0017812429436879996,4.453107359219999e-4,0.08639028276886798,0.004007796623297999,0.252062680710566,0.012485504784530034,0.015661494561483167,4.5371282527901884e-4,2.6886685942460373e-4,3.3608357428075467e-5,6.721671485615093e-5,1.6804178714037733e-5,0.0032600106705233203,1.5123760842633959e-4
107,2016-12-15T02:30:00Z,WIL,147,7.6,10.3,0.16,0.02,0.02,0.03,0.01,2.03,0.12,2016-12-15T02:30:00Z,11,0.295,0.676,10299.6,27000,0.3125,0.04464285714285714,29.718,0.3814666666666667,0.10604128698509155,0.295,0.676,291652.1973612,0.09750000312,0.003610811610507309,0.03886641509433962,27.002240392791226,7875270,42872.873012096396,2216.55669994512,3004.01763282036,46.664351577792004,5.8330439472240005,5.8330439472240005,8.749565920836,2.9165219736120003,592.053960643236,34.998263683344,42.8728730120964,2.21655669994512,3.0040176328203603,0.046664351577792,0.005833043947224,0.005833043947224,0.008749565920835999,0.002916521973612,0.5920539606432359,0.034998263683343994,1.6178442646074114,0.08364364905453282,0.11335915595548529,0.0017609189274638492,2.2011486593298115e-4,2.2011486593298115e-4,3.3017229889947163e-4,1.1005743296649057e-4,0.02234165889219758,0.0013206891955978865
