sample,datetime,id,branch,SUBWS,ec,ph,turb,tn,nh4n,no3n,tp,po4,doc,don,time_round,date_group,ec_ravg,ph_ravg,turb_ravg,tn_ravg,nh4n_ravg,no3n_ravg,tp_ravg,po4_ravg,doc_ravg,don_ravg,firstq,lastq,volume_cf,rain_mm,mean_Q_cfs,sd_Q_cfs,min_Q_cfs,max_Q_cfs,volume_liters,rain_ft,runoff_ft,runoff_ratio,vol_shift,rain_liters,ec_grams,ph_grams,turb_grams,tn_grams,nh4n_grams,no3n_grams,tp_grams,po4_grams,doc_grams,don_grams,ec_kg,ph_kg,turb_kg,tn_kg,nh4n_kg,no3n_kg,tp_kg,po4_kg,doc_kg,don_kg,ec_ha,ph_ha,turb_ha,tn_ha,nh4n_ha,no3n_ha,tp_ha,po4_ha,doc_ha,don_ha,ec_ravg_grams,ph_ravg_grams,turb_ravg_grams,tn_ravg_grams,nh4n_ravg_grams,no3n_ravg_grams,tp_ravg_grams,po4_ravg_grams,doc_ravg_grams,don_ravg_grams,ec_ravg_kg,ph_ravg_kg,turb_ravg_kg,tn_ravg_kg,nh4n_ravg_kg,no3n_ravg_kg,tp_ravg_kg,po4_ravg_kg,doc_ravg_kg,don_ravg_kg,ec_ravg_ha,ph_ravg_ha,turb_ravg_ha,tn_ravg_ha,nh4n_ravg_ha,no3n_ravg_ha,tp_ravg_ha,po4_ravg_ha,doc_ravg_ha,don_ravg_ha
811,2018-05-10T18:05:00Z,NA,NA,WIL,262,8.39,0.79,0.3,0.01,0,0.007,0.021,0.78,0.29,2018-05-10T18:10:00Z,121,224,7.825,1.655,0.28500000000000003,0.01,0,0.007,0.027500000000000004,0.8500000000000001,0.275,0.0331,0.0367,3109.92,0,0.033877124183006535,0.0010464537063229926,0.0314,0.0367,88063.12882224,0,0.0010902690632402124,0,1620820.64305278,0,424655.00847982836,13598.685195212825,1280.448308011696,486.246192915834,16.208206430527802,0,11.345744501369461,34.037233504108386,1264.2401015811686,470.0379864853062,424.6550084798284,13.598685195212827,1.2804483080116962,0.48624619291583404,0.0162082064305278,0,0.011345744501369461,0.03403723350410839,1.2642401015811686,0.47003798648530615,16.024717301125598,0.5131579318948236,0.04831880407591306,0.018348912940220154,6.116304313406717e-4,0,4.2814130193847026e-4,0.0012844239058154108,0.0477071736445724,0.017737282508879477,363063.82404382277,12682.921531888005,2682.4581642523513,461.9338832700424,16.208206430527802,0,11.345744501369461,44.572567683951455,1377.6975465948633,445.72567683951456,363.06382404382276,12.682921531888004,2.682458164252351,0.46193388327004237,0.0162082064305278,0,0.011345744501369461,0.04457256768395146,1.3776975465948633,0.4457256768395146,13.700521662031047,0.4786008125240756,0.10122483638688116,0.017431467293209147,6.116304313406717e-4,0,4.2814130193847026e-4,0.0016819836861868475,0.05198858666395711,0.016819836861868474
810,2018-05-11T19:35:00Z,NA,NA,BWIL,193,7.48,2.55,0.19,0.03,0,0.007,0.007,1.4,0.16,2018-05-11T19:40:00Z,122,227.5,7.9350000000000005,1.67,0.245,0.02,0,0.007,0.014,1.0899999999999999,0.22499999999999998,0.0349,0.0404,39343.62,0.762,0.03770713053479011,0.0017059416206938567,0.0349,0.0424,1114087.26796614,0.00250000008,0.013793001659810825,0.18125134337396204,88063.12882224,201930,16996.18386269232,658.7122035903552,224.56097849671198,16.7319944762256,2.6418938646672,0,0.61644190175568,0.61644190175568,123.288380351136,14.0901006115584,16.99618386269232,0.6587122035903552,0.224560978496712,0.0167319944762256,0.0026418938646672,0,6.164419017556801e-4,6.164419017556801e-4,0.123288380351136,0.0140901006115584,0.6413654287808422,0.024857064286428497,0.00847399918855517,6.313960179707774e-4,9.969410810064906e-5,0,2.3261958556818118e-5,2.3261958556818118e-5,0.004652391711363622,5.317019098701283e-4,20034.361807059602,698.7809272044744,147.0654251331408,21.5754665614488,1.7612625764448,0,0.61644190175568,1.23288380351136,95.98881041624159,19.814203985004,20.0343618070596,0.6987809272044745,0.14706542513314078,0.0215754665614488,0.0017612625764448,0,6.164419017556801e-4,0.0012328838035113603,0.0959888104162416,0.019814203985003997,0.7560136530965886,0.026369091592621678,0.005549638684269463,8.141685494886339e-4,6.646273873376604e-5,0,2.3261958556818118e-5,4.6523917113636236e-5,0.0036222192609902493,7.477058107548678e-4
825,2018-05-23T21:30:00Z,NA,NA,WIL,281,7.79,0.47,0,0.01,0,0.013,0.025,0.73,0,2018-05-23T21:30:00Z,123,237,7.635,1.5099999999999998,0.095,0.02,0,0.01,0.016,1.065,0.08,0.0404,0.0157,66860.16,14.986,0.03680105680317041,0.011535820838199689,0.0149,0.0483,1893268.92111552,0.04916666824,0.02343969105677661,2.097581752289585,1114087.26796614,3971290.0000000005,313058.52229848533,8678.739817456231,523.6210159440858,0,11.1408726796614,0,14.48313448355982,27.8521816991535,813.2837056152822,0,313.05852229848534,8.678739817456231,0.5236210159440858,0,0.011140872679661401,0,0.014483134483559819,0.027852181699153503,0.8132837056152822,0,11.81352914333907,0.3274996157530653,0.019759283620531542,0,4.204102897985435e-4,0,5.465333767381064e-4,0.0010510257244963587,0.030689951155293667,0,264038.6825079752,8506.056290921479,1682.2717746288713,105.8382904567833,22.2817453593228,0,11.1408726796614,17.825396287458243,1186.5029403839392,89.1269814372912,264.0386825079752,8.50605629092148,1.6822717746288713,0.10583829045678331,0.022281745359322803,0,0.011140872679661401,0.01782539628745824,1.186502940383939,0.08912698143729121,9.963723868225479,0.3209832562611879,0.06348195375958005,0.003993897753086163,8.40820579597087e-4,0,4.204102897985435e-4,6.726564636776695e-4,0.04477369586354487,0.003363282318388348
837,2018-06-13T22:05:00Z,NA,NA,WIL,302,7.65,0.58,0.06,0.01,0,0.041,0.002,1.6,0.05,2018-06-13T22:10:00Z,124,291.5,7.720000000000001,0.5249999999999999,0.03,0.01,0,0.027,0.013500000000000002,1.165,0.025,0.0155,0.0157,18.72,0,0.0156,1.4142135623730864e-4,0.0155,0.0157,530.09137584,0,6.562817327730865e-6,0,1893268.92111552,0,571767.2141768871,14483.507246533729,1098.0959742470015,113.59613526693119,18.9326892111552,0,77.62402576573632,3.78653784223104,3029.230273784832,94.663446055776,571.767214176887,14.48350724653373,1.0980959742470016,0.11359613526693119,0.0189326892111552,0,0.07762402576573632,0.00378653784223104,3.0292302737848322,0.09466344605577601,21.57612128969385,0.5465474432654238,0.041437583933849116,0.00428664661384646,7.144411023077433e-4,0,0.002929208519461748,1.4288822046154868e-4,0.11431057636923896,0.0035722055115387174,551887.8905051741,14616.036071011815,993.9661835856479,56.79806763346559,18.9326892111552,0,51.11826087011904,25.559130435059522,2205.658293099581,47.331723027888,551.887890505174,14.616036071011814,0.9939661835856478,0.05679806763346559,0.0189326892111552,0,0.05111826087011904,0.025559130435059522,2.2056582930995807,0.047331723027888004,20.825958132270717,0.5515485309815779,0.03750815787115652,0.00214332330692323,7.144411023077433e-4,0,0.001928990976230907,9.644954881154537e-4,0.0832323884188521,0.0017861027557693587
838,2018-06-13T22:30:00Z,NA,NA,BWIL,241,7.49,0.89,0.05,0.01,0,0.034,0,2.34,0.04,2018-06-13T22:30:00Z,125,271.5,7.57,0.735,0.055,0.01,0,0.037500000000000006,0.001,1.97,0.045,0.0157,0.0114,26864.100000000002,0,0.014245466115176584,0.0015151781298456983,0.0108,0.0176,760706.6094927001,0,0.009417958385357627,0,530.09137584,0,127.75202157743999,3.9703844050415995,0.47178132449759996,0.026504568792,0.005300913758399999,0,0.018023106778559998,0,1.2404138194655998,0.021203655033599996,0.12775202157743998,0.0039703844050416,4.7178132449759996e-4,2.6504568792e-5,5.300913758399999e-6,0,1.802310677856e-5,0,0.0012404138194655999,2.1203655033599996e-5,0.004820831002922263,1.498258266053434e-4,1.7803068848966037e-5,1.000172407245283e-6,2.0003448144905658e-7,0,6.801172369267924e-7,0,4.680806865907924e-5,8.001379257962263e-7,143.91980854055998,4.0127917151088,0.3896171612424,0.029155025671199996,0.005300913758399999,0,0.019878426594,5.3009137584e-4,1.0442800104047998,0.023854111912799996,0.14391980854056,0.0040127917151088,3.8961716124239995e-4,2.9155025671199996e-5,5.300913758399999e-6,0,1.9878426594e-5,5.3009137584e-7,0.0010442800104048,2.3854111912799996e-5,0.005430936171341887,1.5142610245693586e-4,1.4702534386505659e-5,1.1001896479698111e-6,2.0003448144905658e-7,0,7.501293054339623e-7,2.000344814490566e-8,3.940679284546415e-5,9.001551665207546e-7
856,2018-07-05T18:15:00Z,NA,NA,WIL,328,7.73,0.57,0.11,0.01,0.078052945,0.036,0.003,0.93,0.021947055,2018-07-05T18:20:00Z,126,284.5,7.61,0.73,0.08,0.01,0.0390264725,0.035,0.0015,1.635,0.0309735275,0.0113,0.0112,20.279999999999998,0,0.011266666666666666,5.7735026918962226e-5,0.0112,0.0113,574.2656571599999,0,7.109718771708437e-6,0,760706.6094927001,0,249511.76791360564,5880.262091378572,433.602767410839,83.677727044197,7.607066094927001,59.3753911518702,27.3854379417372,2.2821198284781,707.4571468282112,16.69526979739981,249.51176791360564,5.880262091378572,0.43360276741083903,0.083677727044197,0.007607066094927001,0.0593753911518702,0.0273854379417372,0.0022821198284781003,0.7074571468282111,0.01669526979739981,9.415538411834175,0.22189668269353102,0.016362368581541095,0.0031576500771395093,2.8705909792177365e-4,0.002240580798183781,0.0010334127525183849,8.611772937653209e-5,0.02669649610672495,6.300101810339552e-4,216421.0304006732,5788.977298239448,555.3158249296711,60.85652875941601,7.607066094927001,29.6876955759351,26.624731332244505,1.14105991423905,1243.7553065205648,23.561767088553907,216.42103040067317,5.788977298239448,0.555315824929671,0.06085652875941601,0.007607066094927001,0.0296876955759351,0.026624731332244505,0.0011410599142390502,1.2437553065205647,0.023561767088553908,8.166831335874459,0.21845197351846973,0.020955314148289474,0.0022964727833741892,2.8705909792177365e-4,0.0011202903990918905,0.0010047068427262078,4.3058864688266044e-5,0.04693416251020999,8.891232863605248e-4
857,2018-07-05T18:51:00Z,NA,NA,BWIL,276,7.56,2.76,0.14,0.01,0,0.026,0.005,1.41,0.13,2018-07-05T18:50:00Z,127,302,7.645,1.6649999999999998,0.125,0.01,0.0390264725,0.031,0.004,1.17,0.0759735275,0.0112,0.00923,12260.472,0,0.00952639627039627,5.523498154637159e-4,0.00835,0.0112,347177.909771784,0,0.00429824989785038,0,574.2656571599999,0,158.49732137616,4.3414483681295994,1.5849732137615997,0.0803971920024,0.0057426565716,0,0.014930907086159998,0.0028713282858,0.8097145765955999,0.0746545354308,0.15849732137616,0.0043414483681296,0.0015849732137615997,8.03971920024e-5,5.742656571599999e-6,0,1.4930907086159997e-5,2.8713282857999997e-6,8.097145765955998e-4,7.465453543079999e-5,0.005981030995326792,1.6382824030677736e-4,5.981030995326791e-5,3.0338563019773588e-6,2.167040215698113e-7,0,5.634304560815094e-7,1.0835201078490565e-7,3.055526704134339e-5,2.817152280407547e-6,173.42822846231996,4.390260948988199,0.9561523191713998,0.07178320714499999,0.0057426565716,0.022411562876849166,0.017802235371959997,0.00229706262864,0.6718908188771999,0.043628987696550825,0.17342822846231998,0.004390260948988199,9.561523191713997e-4,7.178320714499999e-5,5.742656571599999e-6,2.2411562876849164e-5,1.7802235371959997e-5,2.29706262864e-6,6.718908188771998e-4,4.3628987696550825e-5,0.006544461451408301,1.656702244901207e-4,3.608121959137358e-5,2.708800269622641e-6,2.167040215698113e-7,8.457193538433647e-7,6.71782466866415e-7,8.668160862792452e-8,2.5354370523667918e-5,1.6463768942094652e-6
871,2018-07-20T16:20:00Z,NA,NA,BWIL,290,7.47,2.55,0.06,0.01,0,0.051,0.008,1.46,0.05,2018-07-20T16:20:00Z,128,283,7.515,2.655,0.1,0.01,0,0.0385,0.006500000000000001,1.435,0.09,0.00923,0.00923,5.538,0,0.00923,NA,0.00923,0.00923,156.818698686,0,1.941500126120381e-6,0,347177.909771784,0,100681.59383381734,2593.418985995226,885.3036699180491,20.83067458630704,3.4717790977178398,0,17.70607339836098,2.777423278174272,506.8797482668046,17.358895488589198,100.68159383381735,2.593418985995226,0.8853036699180491,0.020830674586307038,0.00347177909771784,0,0.017706073398360982,0.0027774232781742716,0.5068797482668046,0.0173588954885892,3.7993054276912206,0.09786486739604627,0.03340768565728487,7.860631919361146e-4,1.3101053198935245e-4,0,6.681537131456974e-4,1.0480842559148194e-4,0.019127537670445456,6.550526599467622e-4,98251.34846541486,2609.0419919349565,921.7573504440863,34.717790977178396,3.4717790977178398,0,13.366349526213682,2.256656413516596,498.20030052251,31.246011879460553,98.25134846541486,2.6090419919349563,0.9217573504440864,0.0347177909771784,0.00347177909771784,0,0.013366349526213682,0.002256656413516596,0.49820030052251,0.031246011879460554,3.707598055298674,0.09845441478999835,0.03478329624317307,0.0013101053198935244,1.3101053198935245e-4,0,5.043905481590069e-4,8.51568457930791e-5,0.018800011340472076,0.001179094787904172
872,2018-07-20T16:30:00Z,NA,NA,WIL,350,7.85,0.19,0.02,0.01,0.012505482,0.049,0.009,0.87,0,2018-07-20T16:30:00Z,129,320,7.66,1.3699999999999999,0.04,0.01,0.006252741,0.05,0.0085,1.165,0.025,0.00912,0.00878,9690.768,0,0.008577419012214552,3.4603159113193714e-4,0.00772,0.00934,274411.994768496,0,0.003397368597725416,0,156.818698686,0,54.886544540100004,1.2310267846851,0.02979555275034,0.00313637397372,0.00156818698686,0.0019610934136811966,0.007684116235614001,0.001411368288174,0.13643226785682,0,0.0548865445401,0.0012310267846851,2.979555275034e-5,3.13637397372e-6,1.56818698686e-6,1.961093413681197e-6,7.684116235614e-6,1.411368288174e-6,1.3643226785682e-4,0,0.002071190360003774,4.64538409315132e-5,1.1243604811449056e-6,1.183537348573585e-7,5.917686742867925e-8,7.400352504457347e-8,2.899666504005283e-7,5.325918068581132e-8,5.148387466295094e-6,0,50.18198357952001,1.20123123193476,0.21484161719981998,0.00627274794744,0.00156818698686,9.805467068405983e-4,0.007840934934300001,0.0013329589388310001,0.18269378396919,0.0039204674671500005,0.05018198357952001,0.00120123123193476,2.1484161719982e-4,6.27274794744e-6,1.56818698686e-6,9.805467068405985e-7,7.8409349343e-6,1.3329589388310002e-6,1.8269378396919002e-4,3.92046746715e-6,0.0018936597577177362,4.53294804503683e-5,8.107230837729056e-6,2.36707469714717e-7,5.917686742867925e-8,3.7001762522286735e-8,2.9588433714339626e-07,5.030033731437737e-8,6.894105055441133e-6,1.4794216857169813e-7
889,2018-08-02T18:15:00Z,NA,NA,BWIL,300,7.33,28.6,0.27,0.01,0,0.405,0.002,1.89,0.26,2018-08-02T18:20:00Z,130,325,7.59,14.395000000000001,0.14500000000000002,0.01,0.006252741,0.227,0.0055,1.38,0.13,0.00878,0.00878,5.268,0,0.00878,NA,0.00878,0.00878,149.17314999599998,0,1.8468441069704166e-6,0,274411.994768496,0,82323.59843054881,2011.4399216530758,7848.183050378987,74.09123858749393,2.7441199476849603,0,111.1368578812409,0.5488239895369921,518.6386701124575,71.34711863980897,82.3235984305488,2.011439921653076,7.848183050378987,0.07409123858749393,0.00274411994768496,0,0.11113685788124089,5.48823989536992e-4,0.5186386701124575,0.07134711863980896,3.1065508841716527,0.07590339326992739,0.29615785095769764,0.002795895795754488,1.035516961390551e-4,0,0.004193843693631732,2.071033922781102e-5,0.019571270570281414,0.0026923440996154324,89183.8982997612,2082.7870402928847,3950.1606646925006,39.789739241431924,2.7441199476849603,1.7158271305807606,62.291522812448605,1.509265971226728,378.6885527805245,35.673559319904484,89.18389829976121,2.0827870402928848,3.9501606646925005,0.03978973924143193,0.00274411994768496,0.0017158271305807607,0.0622915228124486,0.001509265971226728,0.3786885527805245,0.03567355931990448,3.365430124519291,0.07859573736954283,0.14906266659216982,0.0015014995940162991,1.035516961390551e-4,6.474819360682115e-5,0.002350623502356551,5.69534328764803e-5,0.014290134067189604,0.0013461720498077162
