sample,datetime,id,branch,SUBWS,ec,ph,turb,tn,nh4n,no3n,tp,po4,doc,don,time_round,date_group,ec_ravg,ph_ravg,turb_ravg,tn_ravg,nh4n_ravg,no3n_ravg,tp_ravg,po4_ravg,doc_ravg,don_ravg,firstq,lastq,volume_cf,rain_mm,mean_Q_cfs,sd_Q_cfs,min_Q_cfs,max_Q_cfs,volume_liters,rain_ft,runoff_ft,runoff_ratio,vol_shift,rain_liters,ec_grams,ph_grams,turb_grams,tn_grams,nh4n_grams,no3n_grams,tp_grams,po4_grams,doc_grams,don_grams,ec_kg,ph_kg,turb_kg,tn_kg,nh4n_kg,no3n_kg,tp_kg,po4_kg,doc_kg,don_kg,ec_ha,ph_ha,turb_ha,tn_ha,nh4n_ha,no3n_ha,tp_ha,po4_ha,doc_ha,don_ha,ec_ravg_grams,ph_ravg_grams,turb_ravg_grams,tn_ravg_grams,nh4n_ravg_grams,no3n_ravg_grams,tp_ravg_grams,po4_ravg_grams,doc_ravg_grams,don_ravg_grams,ec_ravg_kg,ph_ravg_kg,turb_ravg_kg,tn_ravg_kg,nh4n_ravg_kg,no3n_ravg_kg,tp_ravg_kg,po4_ravg_kg,doc_ravg_kg,don_ravg_kg,ec_ravg_ha,ph_ravg_ha,turb_ravg_ha,tn_ravg_ha,nh4n_ravg_ha,no3n_ravg_ha,tp_ravg_ha,po4_ravg_ha,doc_ravg_ha,don_ravg_ha
705,2018-04-05T18:05:00Z,NA,NA,ZIE,119,7.57,4.22,0.01,0.02,0,0,0.028,0.8,0,2018-04-05T18:10:00Z,97,111.5,7.5,7.095000000000001,0.005,0.03,0,0.0035,0.0305,0.935,0,0.0545,0.625,7502.28,96.774,0.1147137614678899,0.1107835748521262,0.0524,0.625,212440.91491115998,0.31750001016,0.0027548825827452003,115.249924678683,1416686.1920406,24483822,168585.65685283142,10724.314473747343,5978.415730411332,14.166861920406001,28.333723840812002,0,0,39.667213377136804,1133.3489536324803,0,168.58565685283142,10.724314473747343,5.978415730411332,0.014166861920406,0.028333723840812,0,0,0.0396672133771368,1.1333489536324803,0,6.663464697740372,0.4238859475789464,0.23630101701230563,5.59955016616838e-4,0.001119910033233676,0,0,0.0015678740465271462,0.04479640132934705,0,157960.5104125269,10625.146440304501,10051.388532528059,7.083430960203001,42.500585761218005,0,4.9584016721421005,43.2089288572383,1324.601589557961,0,157.9605104125269,10.625146440304501,10.05138853252806,0.007083430960203,0.042500585761218006,0,0.0049584016721421,0.0432089288572383,1.324601589557961,0,6.2434984352777425,0.41996626246262847,0.3972880842896466,2.79977508308419e-4,0.001679865049850514,0,1.9598425581589328e-4,0.0017078628006813557,0.05235579405367435,0
751,2018-04-06T12:22:00Z,NA,NA,ZIE,103,7.1,22.3,0.47,0.02,0,0.042,0.012,5.27,0.45,2018-04-06T12:20:00Z,98,111,7.335,13.26,0.24,0.02,0,0.021,0.02,3.0349999999999997,0.225,0.686,1.58,7650,4.318,1.0625,0.2739865623778589,0.686,1.58,216623.87954999998,0.014166667119999999,0.0028091262600170594,5.043086642860249,212440.91491115998,1092454,21881.41423584948,1508.3304958692358,4737.432402518867,99.84723000824519,4.2488182982232,0,8.92251842626872,2.5492909789339198,1119.563621581813,95.59841171002199,21.881414235849476,1.5083304958692358,4.737432402518867,0.09984723000824518,0.0042488182982232,0,0.008922518426268719,0.0025492909789339197,1.119563621581813,0.095598411710022,0.8648780330375286,0.05961780616083936,0.18725029258967854,0.0039465308303654216,1.679374821432095e-4,0,3.526687125007399e-4,1.0076248928592568e-4,0.04425152654473569,0.003778593348222213,23580.94155513876,1558.2541108733585,2816.966531721981,50.98581957867839,4.2488182982232,0,4.46125921313436,4.2488182982232,644.7581767553704,47.799205855010996,23.58094155513876,1.5582541108733585,2.8169665317219814,0.05098581957867839,0.0042488182982232,0,0.0044612592131343595,0.0042488182982232,0.6447581767553705,0.047799205855011,0.9320530258948126,0.061591071576022074,0.11134255066094788,0.0020152497857185135,1.679374821432095e-4,0,1.7633435625036994e-4,1.679374821432095e-4,0.025484512915232033,0.0018892966741111065
752,2018-04-06T14:22:00Z,NA,NA,ZIE,84,7.05,69.7,0.41,0.02,0,0.088,0.012,6.82,0.39,2018-04-06T14:20:00Z,99,93.5,7.074999999999999,46,0.43999999999999995,0.02,0,0.065,0.012,6.045,0.42000000000000004,1.82,6.88,26010,1.778,4.335,1.857658322847462,1.82,6.88,736521.19047,0.00583333352,0.009551029284058002,0.6107544377166392,216623.87954999998,449834.00000000006,18196.4058822,1527.1983508274998,15098.684404635,88.81579061549999,4.332477591,0,19.062901400399998,2.5994865545999994,1477.374858531,84.48331302449999,18.1964058822,1.5271983508274998,15.098684404635,0.08881579061549999,0.004332477591,0,0.019062901400399998,0.0025994865546,1.4773748585309998,0.08448331302449999,0.7192255289407115,0.06036357117895256,0.5967859448472331,0.003510505557924901,1.7124417355731227e-4,0,7.534743636521738e-4,1.0274650413438735e-4,0.05839426318304347,0.0033392613843675886,20254.332737924997,1532.6139478162497,9964.698459299998,95.31450700199998,4.332477591,0,14.08055217075,2.5994865545999994,1309.4913518797498,90.982029411,20.254332737924997,1.5326139478162497,9.9646984593,0.09531450700199999,0.004332477591,0,0.014080552170749999,0.0025994865546,1.30949135187975,0.09098202941099999,0.8005665113804347,0.0605776263958992,0.3938615991818181,0.003767371818260869,1.7124417355731227e-4,0,5.565435640612648e-4,1.0274650413438735e-4,0.05175855145769762,0.0035961276447035568
708,2018-04-06T16:00:00Z,NA,NA,ZIE,63,7.11,325,0.36,0.03,0,0.441,0.042,5.98,0.33,2018-04-06T16:00:00Z,100,73.5,7.08,197.35,0.385,0.025,0,0.2645,0.027000000000000003,6.4,0.36,7.36,10.8,77784,6.603999999999999,9.26,1.3485775982350954,7.36,10.8,2202597.6270479998,0.02166666736,0.028562755164596988,0.7585636341852426,736521.19047,1670811.9999999998,46400.83499961,5236.6656642417,239369.38690275,265.1476285692,22.095635714100002,0,324.80584499727,30.933889999740003,4404.3967190106005,243.05199285510002,46.40083499961,5.2366656642417,239.36938690275002,0.2651476285692,0.0220956357141,0,0.32480584499727005,0.030933889999740005,4.404396719010601,0.2430519928551,1.834025098798814,0.20698283257872332,9.461240589041502,0.01048014342170751,8.733452851422925e-4,0,0.0128381756915917,0.0012226833991992097,0.17408682683836366,0.009606798136565217,54134.307499545,5214.570028527601,145352.45693925448,283.56065833095,18.41302976175,0,194.809854879315,19.88607214269,4713.735619008,265.1476285692,54.134307499545,5.214570028527601,145.3524569392545,0.28356065833095,0.01841302976175,0,0.19480985487931501,0.019886072142690003,4.713735619008,0.2651476285692,2.1396959485986167,0.20610948729358106,5.745156400761047,0.011207931159326088,7.27787737618577e-4,0,0.007699994264004546,7.860107566280633e-4,0.18631366083035572,0.01048014342170751
753,2018-04-06T18:22:00Z,NA,NA,ZIE,65,7.03,700,0.67,0.03,0,0.747,0.007,5.01,0.64,2018-04-06T18:20:00Z,101,64,7.07,512.5,0.515,0.03,0,0.594,0.0245,5.495,0.485,10.6,7.28,277446,27.939999999999998,9.633541666666666,1.6242150177112835,7.28,12,7856395.932762,0.0916666696,0.10187984893290106,0.8997527043878172,2202597.6270479998,7068819.999999999,143168.84575811998,15484.261318147439,1541818.3389335999,1475.7404101221598,66.07792881144,0,1645.3404274048557,15.418183389335997,11035.014111510478,1409.6624813107198,143.16884575811997,15.484261318147439,1541.8183389336,1.4757404101221598,0.06607792881143999,0,1.6453404274048558,0.015418183389335998,11.035014111510478,1.40966248131072,5.658847658423714,0.612026139057211,60.941436321486165,0.05832966047913675,0.0026117758423494066,0,0.06503321847450022,6.094143632148616e-4,0.4361665656723509,0.05571788463678735,140966.24813107197,15572.36522322936,1128831.2838621,1134.33777792972,66.07792881144,0,1308.3429904665118,53.963641862676,12103.27396062876,1068.2598491182798,140.96624813107198,15.57236522322936,1128.8312838620998,1.13433777792972,0.06607792881143999,0,1.3083429904665118,0.053963641862676,12.103273960628758,1.0682598491182798,5.571788463678734,0.6155085068470103,44.617837306802365,0.044835485293664816,0.0026117758423494066,0,0.05171316167851825,0.002132950271252016,0.47839027512366633,0.04222370945131541
754,2018-04-07T02:22:00Z,NA,NA,ZIE,67,6.97,1000,0.47,0.02,0,1.166,0.007,3.28,0.45,2018-04-07T02:20:00Z,102,66,7,850,0.5700000000000001,0.025,0,0.9564999999999999,0.007,4.145,0.545,7.17,3.78,326334,0.254,6.251609195402299,1.0524886052117182,3.78,7.55,9240749.948898,8.333333600000001e-4,0.11983181816162185,0.006954191071991004,7856395.932762,64262,526378.5274950541,54759.07965135114,7856395.932762,3692.5060883981396,157.12791865524,0,9160.55765760049,54.994771529334,25768.978659459357,3535.3781697429,526.378527495054,54.759079651351136,7856.3959327620005,3.6925060883981393,0.15712791865524,0,9.16055765760049,0.054994771529334,25.768978659459357,3.5353781697429,20.80547539506142,2.1643905000534045,310.5294835083795,0.1459488572489383,0.006210589670167589,0,0.36207737777077037,0.002173706384558656,1.0185367059074844,0.13973826757877075,518522.131562292,54994.771529334,6677936.5428477,4478.145681674341,196.40989831905,0,7514.642709686852,54.994771529334,32564.761141298484,4281.73578335529,518.522131562292,54.994771529334,6677.9365428477,4.478145681674341,0.19640989831905,0,7.514642709686852,0.054994771529334,32.56476114129848,4.28173578335529,20.494945911553042,2.173706384558656,263.9500609821225,0.1770018055997763,0.0077632370877094865,0,0.2970214509757649,0.002173706384558656,1.2871447091422326,0.1692385685120668
755,2018-04-07T16:50:00Z,NA,NA,ZIE,76,6.91,981,0.64,0.01,0,0.939,0.016,2.26,0.63,2018-04-07T16:50:00Z,103,71.5,6.9399999999999995,990.5,0.5549999999999999,0.015,0,1.0525,0.0115,2.7699999999999996,0.54,3.76,1.24,123792,2.032,2.1491666666666664,0.7115537730416619,1.24,3.76,3505399.123824,0.006666666880000001,0.04545717097778194,0.14665820016072847,9240749.948898,514096,702296.996116248,63853.58214688519,9065175.699868938,5914.0799672947205,92.40749948898001,0,8677.064202015223,147.85199918236802,20884.09488450948,5821.672467805741,702.296996116248,63.85358214688519,9065.175699868938,5.914079967294721,0.09240749948898001,0,8.677064202015224,0.14785199918236802,20.884094884509476,5.82167246780574,27.758774550049328,2.523857001853169,358.3073399157683,0.23375810147409964,0.003652470335532807,0,0.3429669645065306,0.005843952536852491,0.8254582958304141,0.2301056311385668,660713.621346207,64130.80464535212,9152962.824383471,5128.61622163839,138.61124923347,0,9725.889321215145,106.268624412327,25596.87735844746,4990.00497240492,660.713621346207,64.13080464535211,9152.96282438347,5.1286162216383895,0.13861124923347,0,9.725889321215146,0.106268624412327,25.596877358447458,4.990004972404921,26.115162899059563,2.534814412859767,361.7771867345245,0.20271210362207073,0.00547870550329921,0,0.38442250281482787,0.004200340885862727,1.0117342829425873,0.19723339811877158
756,2018-04-08T08:50:00Z,NA,NA,ZIE,86,6.99,24.5,0.28,0.02,0,0.007,0.021,2.44,0.26,2018-04-08T08:50:00Z,104,81,6.95,502.75,0.46,0.015,0,0.473,0.018500000000000003,2.3499999999999996,0.445,1.23,0.485,51039.6,0,0.7876481481481481,0.21724994498197095,0.485,1.23,1445280.5441412,0,0.018742049759577346,0,3505399.123824,0,301464.324648864,24502.739875529758,85882.27853368799,981.51175467072,70.10798247648,0,24.537793866768,73.613381600304,8553.17386213056,911.40377219424,301.46432464886396,24.50273987552976,85.882278533688,0.98151175467072,0.07010798247648,0,0.024537793866768,0.07361338160030399,8.55317386213056,0.91140377219424,11.915585954500552,0.9684877421158007,3.394556463782134,0.038794931014652964,0.00277106650104664,0,9.69873275366324e-4,0.002909619826098972,0.3380701131276901,0.03602386451360632,283937.32902974397,24362.523910576798,1762339.409502516,1612.4835969590401,52.580986857359996,0,1658.053785568752,64.84988379074402,8237.687940986398,1559.90261010168,283.937329029744,24.362523910576797,1762.339409502516,1.61248359695904,0.05258098685736,0,1.6580537855687518,0.06484988379074401,8.2376879409864,1.55990261010168,11.222819329238892,0.9629456091137074,69.65768417005992,0.06373452952407273,0.00207829987578498,0,0.06553572274975303,0.0025632365134681426,0.3256003138729802,0.06165622964828774
757,2018-04-09T02:50:00Z,NA,NA,ZIE,92,7.02,19.2,0.17,0.02,0,0.013,0.007,1.6,0.15,2018-04-09T02:50:00Z,105,89,7.005,21.85,0.22500000000000003,0.02,0,0.01,0.014,2.02,0.20500000000000002,0.485,0.276,45450.6,1.524,0.33518141592920353,0.053648384544256814,0.273,0.485,1287017.6862581999,0.00500000016,0.016689735162553117,0.29958535059433045,1445280.5441412,385572,132965.8100609904,10145.869419871222,27749.386447511035,245.69769250400398,28.905610882824,0,18.788647073835598,10.1169638089884,2312.4488706259203,216.79208162117996,132.9658100609904,10.145869419871222,27.749386447511036,0.245697692504004,0.028905610882824,0,0.018788647073835596,0.010116963808988398,2.31244887062592,0.21679208162117997,5.255565615058909,0.4010225067142775,1.0968136935775112,0.00971137124521755,0.001142514264143241,0,7.426342716931065e-4,3.998799924501343e-4,0.0914011411314593,0.008568856981074307,128629.9684285668,10124.190211709105,31579.379889485223,325.18812243177,28.905610882824,0,14.452805441412,20.2339276179768,2919.4666991652234,296.28251154894605,128.6299684285668,10.124190211709104,31.57937988948522,0.32518812243177003,0.028905610882824,0,0.014452805441412,0.020233927617976797,2.919466699165224,0.296282511548946,5.084188475437423,0.4001656210161701,1.2481968335764908,0.012853285471611464,0.001142514264143241,0,5.712571320716205e-4,7.997599849002686e-4,0.11539394067846734,0.011710771207468221
749,2018-04-10T16:25:00Z,NA,NA,ZIE,99,7.09,13.3,0.26,0.02,0,0.004,0.016,1.39,0.24,2018-04-10T16:30:00Z,106,95.5,7.055,16.25,0.21500000000000002,0.02,0,0.0085,0.0115,1.495,0.195,0.28,0.0746,219047.58,37.338,0.16862785219399537,0.0758354794895186,0.0723,0.351,6202736.80858026,0.12250000392,0.08043559597008988,1.5229576214683838,1287017.6862581999,9446514,127414.75093956178,9124.955395570638,17117.33522723406,334.62459842713196,25.740353725164,0,5.148070745032799,20.592282980131195,1788.9545838988977,308.884244701968,127.41475093956178,9.124955395570638,17.117335227234058,0.33462459842713194,0.025740353725164,0,0.005148070745032799,0.020592282980131195,1.7889545838988978,0.30888424470196796,5.036156163619043,0.36067017373796983,0.6765745149104371,0.013226268712534859,0.0010174052855796048,0,2.034810571159209e-4,8.139242284636836e-4,0.07070966734778251,0.012208863426955254,122910.18903765808,9079.9097765516,20914.037401695747,276.70880254551304,25.740353725164,0,10.939650333194699,14.800703391969298,1924.091440956009,250.96844882034898,122.91018903765809,9.0799097765516,20.914037401695747,0.276708802545513,0.025740353725164,0,0.010939650333194698,0.0148007033919693,1.9240914409560088,0.25096844882034897,4.858110238642612,0.35888971448820556,0.8266417945334287,0.01093710681998075,0.0010174052855796048,0,4.323972463713319e-4,5.850080392082727e-4,0.07605104509707544,0.009919701534401144
