sample,datetime,id,branch,SUBWS,ec,ph,turb,tn,nh4n,no3n,tp,po4,doc,time_round,date_group,tn_avg,nh4n_avg,no3n_avg,tp_avg,po4_avg,doc_avg,volume_cf,rainfall_mm,mean_Q_cfs,sd_Q_cfs,min_Q_cfs,max_Q_cfs,volume_liters,rain_ft,runoff_ft,runoff_ratio,vol_shift,rain_liters,tn_avg_grams,nh4n_avg_grams,no3n_avg_grams,tp_avg_grams,po4_avg_grams,doc_avg_grams,tn_avg_kg,nh4n_avg_kg,no3n_avg_kg,tp_avg_kg,po4_avg_kg,doc_avg_kg,tn_avg_ha,nh4n_avg_ha,no3n_avg_ha,tp_avg_ha,po4_avg_ha,doc_avg_ha
9,2016-05-26T15:30:00Z,ZIE,SF,ZIE,155,7.37,2.67,0.33,0,0,0.008,0.005,1.55,2016-05-26T15:30:00Z,2,NA,NA,NA,NA,NA,NA,79990.32,0.51,0.026436089629188975,0.005076359244848863,0.0157,0.0385,2265073.65292104,6.613563408974964e-13,0.029372929210348734,2.2515845667325745e-11,NA,129030.00000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,2016-06-30T15:55:00Z,ZIE  BES  FLUME  OUTFLOWW,SF,ZIE,173,8.29,2.6,0.07,0.01,0,0.01,0.007,1.07,2016-06-30T16:00:00Z,3,0.2,0.005,0,0.009000000000000001,0.006,1.31,76224.2586,5.6623,0.007412792099428171,0.012181119341653826,0,0.0969,2158430.668464634,7.34274119424293e-12,0.027990008690665515,2.6233436635879596e-10,2265073.65292104,1432561.9,453.01473058420805,11.325368264605201,0,20.385662876289363,13.590441917526242,2967.2464853265624,0.45301473058420805,0.0113253682646052,0,0.020385662876289363,0.01359044191752624,2.9672464853265623,0.01790572057645091,4.476430144112727e-4,0,8.05757425940291e-4,5.371716172935273e-4,0.11728246977575345
61,2016-10-27T16:15:00Z,ZIE ETK,SF,ZIE,167,7.71,23.6,0.4,0.01,0.03,0.048,0.02,6.2,2016-10-27T16:20:00Z,4,0.23500000000000001,0.01,0.015,0.029,0.0135,3.6350000000000002,226594.14,4.4691,0.1920940488301119,0.21742555910201972,0.0483,1.16,6416431.59347658,5.7954267119705905e-12,0.08320673843659895,6.965092997109281e-11,2158430.668464634,1130682.3,507.231207089189,21.58430668464634,32.37646002696951,62.5944893854744,29.13881402427256,7845.895479868946,0.507231207089189,0.02158430668464634,0.03237646002696951,0.06259448938547439,0.02913881402427256,7.845895479868946,0.020048664311825653,8.53134651567049e-4,0.0012797019773505736,0.0024740904895444423,0.001151731779615516,0.3101144458446224
72,2016-11-10T07:00:00Z,3  Zi  01,SF,ZIE,144,8.02,21.3,0.29,0.01,0.01,0.065,0.003,9.36,2016-11-10T07:00:00Z,8,0.345,0.01,0.02,0.0565,0.0115,7.779999999999999,824310.36,9.4566,0.31216782549420585,0.5992303386853232,0.0404,4.07,23341870.34463492,1.2263102692806399e-11,0.30269174884707395,4.0513501737379594e-011,6416431.59347658,2392519.8,2213.6688997494202,64.16431593476581,128.32863186953162,362.5283850314268,73.78896332498068,49919.83779724779,2.21366889974942,0.0641643159347658,0.1283286318695316,0.3625283850314268,0.07378896332498068,49.91983779724779,0.08749679445649881,0.002536138969753589,0.005072277939507178,0.014329185179107778,0.0029165598152166277,1.973116118468292
73,2016-11-10T07:00:00Z,3  Zi 05,SF,ZIE,131,7.98,17.2,0.27,0,0,0.052,0.002,7.2,2016-11-10T07:00:00Z,8,0.28,0.005,0.005,0.058499999999999996,0.0025,8.28,824310.36,9.4566,0.31216782549420585,0.5992303386853232,0.0404,4.07,23341870.34463492,1.2263102692806399e-11,0.30269174884707395,4.0513501737379594e-011,23341870.34463492,2392519.8,6535.723696497778,116.7093517231746,116.7093517231746,1365.499415161143,58.3546758615873,193270.68645357713,6.5357236964977785,0.1167093517231746,0.1167093517231746,1.3654994151611428,0.0583546758615873,193.27068645357713,0.25832899986157226,0.004613017854670933,0.004613017854670933,0.053972308899649914,0.0023065089273354663,7.639157567335064
74,2016-11-10T07:00:00Z,3 Zi  07,SF,ZIE,129,7.77,16.1,0.28,0.01,0,0.046,0.002,6.5,2016-11-10T07:00:00Z,8,0.275,0.005,0,0.049,0.002,6.85,824310.36,9.4566,0.31216782549420585,0.5992303386853232,0.0404,4.07,23341870.34463492,1.2263102692806399e-11,0.30269174884707395,4.0513501737379594e-011,23341870.34463492,2392519.8,6419.014344774604,116.7093517231746,0,1143.7516468871113,46.68374068926984,159891.81186074918,6.419014344774604,0.1167093517231746,0,1.1437516468871112,0.046683740689269844,159.8918118607492,0.2537159820069013,0.004613017854670933,0,0.04520757497577514,0.0018452071418683731,6.319834460899177
75,2016-11-10T07:00:00Z,3 Zi  08,SF,ZIE,128,7.66,10.2,0.23,0,0,0.042,0.013,4.83,2016-11-10T07:00:00Z,8,0.255,0.005,0,0.044,0.0075,5.665,824310.36,9.4566,0.31216782549420585,0.5992303386853232,0.0404,4.07,23341870.34463492,1.2263102692806399e-11,0.30269174884707395,4.0513501737379594e-011,23341870.34463492,2392519.8,5952.176937881904,116.7093517231746,0,1027.0422951639364,175.0640275847619,132231.69550235683,5.952176937881904,0.1167093517231746,0,1.0270422951639364,0.17506402758476192,132.2316955023568,0.23526391058821755,0.004613017854670933,0,0.040594557121104206,0.006919526782006399,5.226549229342166
99,2016-12-10T20:30:00Z,D 6 ZI 05,SF,ZIE,84,7.25,39.8,0.33,0.04,0.04,0.064,0.006,3.75,2016-12-10T20:30:00Z,9,0.28,0.02,0.02,0.053000000000000005,0.0095,4.29,152288.4,0.01,1.7266258503401362,0.6300715463927554,0.893,3,4312327.3226748,1.2967771390146986e-14,0.05592122137725254,2.318935651041051e-13,23341870.34463492,2530,6535.723696497778,466.8374068926984,466.8374068926984,1237.119128265651,221.74776827403173,100136.6237784838,6.5357236964977785,0.4668374068926984,0.4668374068926984,1.2371191282656508,0.22174776827403173,100.13662377848381,0.25832899986157226,0.01845207141868373,0.01845207141868373,0.04889798925951189,0.008764733923874772,3.95796931930766
102,2016-12-11T21:00:00Z,D 6 ZI 12,SF,ZIE,97,7.43,22.6,0.19,0,0.02,0.033,0.003,2.06,2016-12-11T21:00:00Z,10,0.26,0.02,0.03,0.0485,0.0045000000000000005,2.9050000000000002,41766,0,0.6824509803921569,0.11124717172517734,0.523,0.904,1182681.431802,0,0.015336727761551962,0,4312327.3226748,0,1121.205103895448,86.246546453496,129.369819680244,209.1478751497278,19.4054729520366,12527.310872370294,1.1212051038954478,0.08624654645349598,0.129369819680244,0.2091478751497278,0.019405472952036602,12.527310872370293,0.044316407268594774,0.003408954405276521,0.005113431607914783,0.008266714432795565,7.670147411872175e-4,0.49515062736641474
46,2016-12-12T14:00:00Z,ZIE ETK,SF,ZIE,167,7.76,2.5,0.11,0.05,0.03,0.008,0.008,1.95,2016-12-12T14:00:00Z,11,0.15,0.025,0.025,0.0205,0.0055,2.005,131674.2,2.42,0.5080023148148148,0.6586413650769688,0.247,4.65,3728598.1752474,3.1382006764155707e-12,0.048351562481926576,6.490381107308796e-11,1182681.431802,612260,177.4022147703,29.56703579505,29.56703579505,24.244969351941,6.504747874911,2371.27627076301,0.1774022147703,0.02956703579505,0.02956703579505,0.024244969351941,0.0065047478749109995,2.3712762707630097,0.007011945247837944,0.001168657541306324,0.001168657541306324,9.582991838711857e-4,2.571046590873913e-4,0.09372633481276718
109,2016-12-15T14:00:00Z,DZ 10,SF,ZIE,80,7.58,37.9,0.37,0.02,0.04,0.079,0.001,5.5,2016-12-15T14:00:00Z,12,0.24,0.035,0.035,0.0435,0.0045000000000000005,3.725,93924,0.56,5.218,0.1691235010892621,4.71,5.42,2659631.537628,7.261951978482313e-13,0.03448946076416239,2.1055568331842767e-11,3728598.1752474,141680.00000000003,894.863562059376,130.500936133659,130.500936133659,162.1940206232619,16.7786917886133,13889.028202796566,0.894863562059376,0.130500936133659,0.130500936133659,0.1621940206232619,0.0167786917886133,13.889028202796565,0.03537010126716901,0.005158139768128815,0.005158139768128815,0.0064108308546743835,6.63189398759419e-4,0.5489734467508524
