sample,datetime,SUBWS,ec,ph,turb,tn,nh4n,no3n,tp,po4,doc,don,time_round,date_group,firstq,lastq,volume_cf,time_secs,time_days,time_weeks,rain_mm,mean_Q_cfs,sd_Q_cfs,min_Q_cfs,max_Q_cfs,volume_liters,rain_ft,runoff_ft,runoff_meters,runoff_ratio,rain_liters,ec_grams,ph_grams,turb_grams,tn_grams,nh4n_grams,no3n_grams,tp_grams,po4_grams,doc_grams,don_grams,ec_kg,ph_kg,turb_kg,tn_kg,nh4n_kg,no3n_kg,tp_kg,po4_kg,doc_kg,don_kg,ec_ha,ph_ha,turb_ha,tn_ha,nh4n_ha,no3n_ha,tp_ha,po4_ha,doc_ha,don_ha
437,2018-05-01T16:57:00Z,ZIE,196,6.78,22.4,0.14,0.01,0,0.03,0,3.02,0.13,2018-05-01T17:00:00Z,108,0.061,0.0404,40510.62,869400,10.0625,1.4375,1.27,0.04659606625258799,0.005834555306098054,0.0367,0.061,1147133.02841514,0.0041666668000000006,0.014875744634192457,0.1601210276679842,0.2800980322304512,321310,224838.07356936744,7777.561932654649,25695.779836499136,160.5986239781196,11.4713302841514,0,34.4139908524542,0,3464.341745813723,149.1272936939682,224.83807356936745,7.777561932654649,25.695779836499135,0.1605986239781196,0.0114713302841514,0,0.034413990852454196,0,3.464341745813723,0.1491272936939682,8.886880378235867,0.3074135151246897,1.0156434717983847,0.006347771698739906,4.534122641957075e-4,0,0.0013602367925871224,0,0.13693050378710367,0.0058943594345441976
808,2018-05-11T18:30:00Z,ZIE,139,7.29,4.93,0.48,0.07,0.03,0.01,0.01,1.61,0.38,2018-05-11T18:30:00Z,109,0.0404,0.0247,31430.34,1039800,12.034722222222223,1.7192460317460316,0.508,0.03022729371032891,0.004278175117605005,0.0231,0.0404,890008.1289379799,0.0016666667200000002,0.011541410909184913,0.1242305928853755,0.14440753674870282,128524,123711.12992237922,6488.1592599578735,4387.740075664241,427.2039018902304,62.300569025658604,26.7002438681394,8.900081289379798,8.900081289379798,1432.9130875901478,338.20308899643237,123.71112992237921,6.4881592599578735,4.387740075664241,0.4272039018902304,0.0623005690256586,0.0267002438681394,0.008900081289379799,0.008900081289379799,1.4329130875901477,0.33820308899643237,4.889767981121708,0.2564489826070306,0.17342846148870517,0.016885529718981437,0.0024624730840181264,0.0010553456074363398,3.517818691454466e-4,3.517818691454466e-4,0.0566368809324169,0.013367711027526971
823,2018-05-23T19:15:00Z,ZIE,145,7.33,2.44,0.19,0.01,0.12,0.02,0.02,1.33,0.06,2018-05-23T19:20:00Z,110,0.0247,0.00993,36741.3,1891800,21.895833333333336,3.1279761904761902,15.24,0.019421344751030765,0.0036968435697075698,0.00803,0.0349,1040397.7706811001,0.0500000016,0.013491627536884286,0.1452225296442688,3.7060022197697613,3855720,150857.67674875952,7626.115659092464,2538.5705604618843,197.675576429409,10.403977706811002,124.84773248173201,20.807955413622004,20.807955413622004,1383.7290350058634,62.423866240866005,150.8576767487595,7.626115659092464,2.5385705604618845,0.197675576429409,0.010403977706811002,0.124847732481732,0.020807955413622004,0.020807955413622004,1.3837290350058633,0.062423866240866,5.962754021690099,0.30142749640681676,0.10033875733050926,0.007813263890490474,4.112244152889724e-4,0.004934692983467668,8.224488305779448e-4,8.224488305779448e-4,0.05469284723343333,0.002467346491733834
840,2018-06-14T16:50:00Z,ZIE,147,7.02,0.79,0.01,0.01,0,0.03,0,2.07,0,2018-06-14T16:50:00Z,111,0.01,0.00592,12362.304,1826400,21.13888888888889,3.0198412698412698,0,0.006768672798948752,0.0018114716274758762,0.00345,0.0107,350061.470935488,0,0.0045395127844070505,0.048862861660079054,0,0,51459.036227516735,2457.4315259671257,276.5485620390356,3.5006147093548803,3.5006147093548803,0,10.50184412806464,0,724.6272448364601,0,51.459036227516734,2.457431525967126,0.27654856203903555,0.0035006147093548804,0.0035006147093548804,0,0.01050184412806464,0,0.7246272448364601,0,2.033954001087618,0.09713168086826585,0.010930773203123934,1.3836421776106247e-4,1.3836421776106247e-4,0,4.1509265328318736e-4,0,0.028641393076539925,0
858,2018-07-05T20:05:00Z,ZIE,161,7.29,0.65,0.04,0.01,0,0.02,0,1.22,0.03,2018-07-05T20:10:00Z,112,0.00584,0.00327,5475.162,1279800,14.812500000000002,2.1160714285714284,0,0.004278138771683076,6.565108003794098e-4,0.00291,0.00584,155039.324654214,0,0.002010512595038892,0.02164095652173913,0,0,24961.331269328453,1130.2366767292199,100.7755610252391,6.201572986168561,1.5503932465421402,0,3.1007864930842803,0,189.14797607814108,4.6511797396264205,24.961331269328454,1.13023667672922,0.1007755610252391,0.006201572986168561,0.0015503932465421402,0,0.0031007864930842803,0,0.18914797607814107,0.00465117973962642,0.98661388416318,0.04467338643198498,0.003983223755938304,2.4512146190389567e-4,6.128036547597392e-5,0,1.2256073095194783e-4,0,0.007476204588068817,1.8384109642792174e-4
869,2018-07-20T15:40:00Z,ZIE,158,7.25,1.55,0.07,0.01,0,0.02,0,1.26,0.06,2018-07-20T15:40:00Z,113,0.00333,0.00371,4299.816,1128600,13.062500000000002,1.8660714285714284,0,0.0038098670919723553,5.459391024671671e-4,0.0028,0.00509,121757.23180015199,0,0.001578918436449871,0.016995320158102765,0,0,19237.642624424014,882.7399305511019,188.7237092902356,8.52300622601064,1.2175723180015199,0,2.4351446360030398,0,153.4141120681915,7.305433908009119,19.237642624424016,0.8827399305511019,0.1887237092902356,0.00852300622601064,0.00121757231800152,0,0.00243514463600304,0,0.15341411206819153,0.007305433908009119,0.7603811314001587,0.034890906345893355,0.007459435149811683,3.368777164431083e-4,4.812538806330118e-5,0,9.625077612660237e-5,0,0.006063798895975949,2.887523283798071e-4
887,2018-08-02T17:12:00Z,ZIE,168,7.17,4.7,0.06,0.01,0,0.03,0,1.36,0.05,2018-08-02T17:10:00Z,114,0.00371,0.00253,7440.276,2418000,27.98611111111111,3.9980158730158726,0.254,0.0030770372208436727,0.001110821365626941,0.00153,0.00575,210685.15712977198,8.333333600000001e-4,0.002732114339003227,0.029408205533596837,0.3050140867472003,64262,35395.10639780169,1510.6125766204652,990.2202385099283,12.641109427786317,2.1068515712977196,0,6.320554713893158,0,286.5318136964899,10.5342578564886,35.39510639780169,1.5106125766204652,0.9902202385099284,0.012641109427786318,0.0021068515712977195,0,0.006320554713893159,0,0.2865318136964899,0.010534257856488599,1.399016063154217,0.05970800698104606,0.0391391398620525,4.996485939836489e-4,8.327476566394149e-5,0,2.4982429699182447e-4,0,0.011325368130296042,4.1637382831970747e-4
900,2018-08-30T16:50:00Z,ZIE,164,7.21,1.18,0.02,0.01,0,0.03,0.01,2.01,0.01,2018-08-30T16:50:00Z,115,0.00248,8.45e-4,3058.8726,1914000,22.15277777777778,3.1646825396825395,0,0.0015981570532915361,8.25488238382498e-4,6.22e-4,0.00391,86617.6274066922,0,0.0011232365159093672,0.012090405533596839,0,0,14205.29089469752,624.5130936022508,102.2088003398968,1.732352548133844,0.866176274066922,0,2.598528822200766,0.866176274066922,174.10143108745132,0.866176274066922,14.205290894697521,0.6245130936022508,0.1022088003398968,0.001732352548133844,8.66176274066922e-4,0,0.0025985288222007664,8.66176274066922e-4,0.17410143108745132,8.66176274066922e-4,0.5614739484070166,0.024684312000088963,0.0040398735312212174,6.8472432732563e-5,3.42362163662815e-5,0,1.0270864909884452e-4,3.42362163662815e-5,0.0068814794896225814,3.42362163662815e-5
913,2018-09-21T20:30:00Z,ZIE,147,8.74,1.04,0.1,0.01,0,0.03,0,1.04,0.09,2018-09-21T20:30:00Z,116,8.45e-4,0.00138,358.94190000000003,934800,10.819444444444445,1.5456349206349205,21.082,3.839772143774069e-4,2.8978625884118974e-4,9.1e-5,0.00258,10164.1028641893,0.06916666888,1.31805636223584e-4,0.0014187426877470357,524.7626039501944,5333746,1494.1231210358274,88.83425903301449,10.570666978756874,1.0164102864189302,0.10164102864189302,0,0.304923085925679,0,10.570666978756874,0.9147692577770371,1.4941231210358272,0.08883425903301449,0.010570666978756874,0.0010164102864189302,1.0164102864189301e-4,0,3.0492308592567903e-4,0,0.010570666978756874,9.147692577770371e-4,0.05905624984331333,0.0035112355349017584,4.178129240615365e-4,4.0174319621301585e-5,4.017431962130159e-6,0,1.2052295886390475e-5,0,4.178129240615365e-4,3.6156887659171425e-5
914,2018-10-02T16:10:00Z,ZIE,76,9.38,1.08,0.37,0.01,0.1,0.09,0.01,2.83,0.26,2018-10-02T16:10:00Z,117,0.00142,0.00105,NA,2007600,23.23611111111111,3.319444444444444,6.858,NA,NA,NA,NA,NA,0.02250000072,NA,NA,NA,1735074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
