sample,datetime,id,branch,SUBWS,ec,ph,turb,tn,nh4n,no3n,tp,po4,doc,don,time_round,date_group,ec_ravg,ph_ravg,turb_ravg,tn_ravg,nh4n_ravg,no3n_ravg,tp_ravg,po4_ravg,doc_ravg,don_ravg,firstq,lastq,volume_cf,rain_mm,mean_Q_cfs,sd_Q_cfs,min_Q_cfs,max_Q_cfs,volume_liters,rain_ft,runoff_ft,runoff_ratio,vol_shift,rain_liters,ec_grams,ph_grams,turb_grams,tn_grams,nh4n_grams,no3n_grams,tp_grams,po4_grams,doc_grams,don_grams,ec_kg,ph_kg,turb_kg,tn_kg,nh4n_kg,no3n_kg,tp_kg,po4_kg,doc_kg,don_kg,ec_ha,ph_ha,turb_ha,tn_ha,nh4n_ha,no3n_ha,tp_ha,po4_ha,doc_ha,don_ha,ec_ravg_grams,ph_ravg_grams,turb_ravg_grams,tn_ravg_grams,nh4n_ravg_grams,no3n_ravg_grams,tp_ravg_grams,po4_ravg_grams,doc_ravg_grams,don_ravg_grams,ec_ravg_kg,ph_ravg_kg,turb_ravg_kg,tn_ravg_kg,nh4n_ravg_kg,no3n_ravg_kg,tp_ravg_kg,po4_ravg_kg,doc_ravg_kg,don_ravg_kg,ec_ravg_ha,ph_ravg_ha,turb_ravg_ha,tn_ravg_ha,nh4n_ravg_ha,no3n_ravg_ha,tp_ravg_ha,po4_ravg_ha,doc_ravg_ha,don_ravg_ha
437,2018-05-01T16:57:00Z,NA,NA,ZIE,196,6.78,22.4,0.14,0.01,0,0.034,0,3.02,0.13,2018-05-01T17:00:00Z,108,158,6.91,13.079999999999998,0.2,0.01,0,0.0175,0.0035,2.02,0.19,0.061,0.0404,40510.62,1.27,0.04659606625258799,0.005834555306098055,0.0367,0.061,1147133.02841514,0.0041666668000000006,0.014875744634192457,0.2800980322304512,954733.6451366999,321310,187127.79444679318,6473.094114026826,21386.033651062076,133.662710319138,9.547336451366998,0,32.4609439346478,0,2883.295608312834,124.115373867771,187.12779444679316,6.473094114026826,21.386033651062075,0.13366271031913798,0.009547336451367,0,0.0324609439346478,0,2.8832956083128334,0.124115373867771,7.396355511730955,0.2558535222935504,0.845297772769252,0.005283111079807825,3.773650771291304e-4,0,0.0012830412622390436,0,0.11396425329299736,0.004905746002678696,150847.91593159857,6597.209487894596,12487.916078388034,190.94672902733998,9.547336451366998,0,16.70783878989225,3.3415677579784497,1928.5619631761338,181.39939257597297,150.84791593159858,6.597209487894596,12.487916078388034,0.19094672902733997,0.009547336451367,0,0.016707838789892248,0.0033415677579784497,1.9285619631761337,0.18139939257597298,5.96236821864026,0.2607592682962291,0.4935935208849025,0.0075473015425826075,3.773650771291304e-4,0,6.603888849759782e-4,1.3207777699519564e-4,0.07622774558008433,0.007169936465453478
808,2018-05-11T18:30:00Z,NA,NA,ZIE,139,7.29,4.93,0.48,0.07,0.03,0,0.007,1.61,0.38,2018-05-11T18:30:00Z,109,167.5,7.035,13.665,0.31,0.04,0.015,0.017,0.0035,2.315,0.255,0.0404,0.0247,31430.34,0.508,0.03022729371032891,0.004278175117605075,0.0231,0.0404,890008.1289379799,0.0016666667200000002,0.011541410909184913,0.14440753674870282,1147133.02841514,128524,159451.49094970446,8362.599777146372,5655.36583008664,550.6238536392672,80.2993119890598,34.4139908524542,0,8.02993119890598,1846.8841757483756,435.9105507977532,159.45149094970446,8.362599777146372,5.65536583008664,0.5506238536392671,0.0802993119890598,0.034413990852454196,0,0.008029931198905979,1.8468841757483754,0.4359105507977532,6.302430472320334,0.3305375405986708,0.22353224624848378,0.021763788681393958,0.003173885849369953,0.0013602367925871224,0,3.173885849369952e-4,0.0729993745355089,0.017229666039436885,192144.78225953595,8070.08085490051,15675.572833292887,355.61123880869343,45.8853211366056,17.2069954262271,19.50126148305738,4.01496559945299,2655.612960781049,292.51892224586067,192.14478225953593,8.07008085490051,15.675572833292886,0.35561123880869344,0.0458853211366056,0.017206995426227098,0.01950126148305738,0.0040149655994529895,2.655612960781049,0.2925189222458607,7.594655425278099,0.31897552786168026,0.6195878590234342,0.014055780190066935,0.00181364905678283,6.801183962935612e-4,7.708008491327028e-4,1.586942924684976e-4,0.10496493916130628,0.01156201273699054
823,2018-05-23T19:15:00Z,NA,NA,ZIE,145,7.33,2.44,0.19,0.01,0.121,0.004,0.016,1.33,0.059,2018-05-23T19:20:00Z,110,142,7.3100000000000005,3.6849999999999996,0.33499999999999996,0.04,0.0755,0.002,0.0115,1.4700000000000002,0.2195,0.0247,0.00993,36741.3,15.24,0.019421344751030765,0.0036968435697075815,0.00803,0.0349,1040397.7706811001,0.0500000016,0.013491627536884286,3.7060022197697613,890008.1289379799,3855720,129051.17869600709,6523.759585115393,2171.6198346086708,169.10154449821619,8.900081289379798,107.69098360149556,3.5600325157519195,14.240130063007678,1183.7108114875134,52.51047960734081,129.0511786960071,6.523759585115393,2.171619834608671,0.16910154449821618,0.008900081289379799,0.10769098360149557,0.0035600325157519198,0.014240130063007679,1.1837108114875134,0.052510479607340815,5.100837102608976,0.25785611008361237,0.08583477607148897,0.006683855513763486,3.517818691454466e-4,0.004256560616659904,1.4071274765817864e-4,5.628509906327146e-4,0.046786988596344406,0.002075513027958135,126381.15430919315,6505.959422536634,3279.6799551364556,298.15272319422326,35.600325157519194,67.19561373481748,1.7800162578759597,10.23509348278677,1308.3119495388307,195.3567843018866,126.38115430919315,6.505959422536634,3.2796799551364555,0.29815272319422326,0.035600325157519194,0.06719561373481749,0.0017800162578759599,0.01023509348278677,1.3083119495388307,0.1953567843018866,4.995302541865342,0.2571525463453215,0.12963161878009705,0.011784692616372461,0.0014071274765817864,0.002655953112048122,7.035637382908932e-5,4.045491495172636e-4,0.05171193476438066,0.007721612027742553
840,2018-06-14T16:50:00Z,NA,NA,ZIE,147,7.02,0.79,0,0.01,0,0.026,0,2.07,0,2018-06-14T16:50:00Z,111,146,7.175,1.615,0.095,0.01,0.0605,0.015,0.008,1.7,0.0295,0.01,0.00592,12362.304,0,0.006768672798948752,0.001811471627475875,0.00345,0.0107,350061.470935488,0,0.0045395127844070505,0,1040397.7706811001,0,152938.47229012172,7303.592350181322,821.9142388380692,0,10.403977706811002,0,27.0503420377086,0,2153.623385309877,0,152.9384722901217,7.303592350181322,0.8219142388380691,0,0.010403977706811002,0,0.0270503420377086,0,2.153623385309877,0,6.044998904747893,0.2886795395328586,0.03248672880782882,0,4.112244152889724e-4,0,0.001069183479751328,0,0.08512345396481727,0,151898.07451944062,7464.8540046368935,1680.2423996499765,98.8377882147045,10.403977706811002,62.94406512620655,15.605966560216501,8.3231821654488,1768.6762101578702,30.69173423509245,151.89807451944063,7.464854004636893,1.6802423996499765,0.0988377882147045,0.010403977706811002,0.06294406512620655,0.0156059665602165,0.0083231821654488,1.7686762101578701,0.03069173423509245,6.003876463218997,0.2950535179698377,0.06641274306916903,0.003906631945245237,4.112244152889724e-4,0.0024879077124982827,6.168366229334585e-4,3.289795322311779e-4,0.0699081505991253,0.0012131120251024684
858,2018-07-05T20:05:00Z,NA,NA,ZIE,161,7.29,0.65,0.04,0.01,0,0.024,0.002,1.22,0.03,2018-07-05T20:10:00Z,112,154,7.154999999999999,0.72,0.02,0.01,0,0.025,0.001,1.645,0.015,0.00584,0.00327,5475.162,0,0.004278138771683076,6.565108003794109e-4,0.00291,0.00584,155039.324654214,0,0.002010512595038892,0,350061.470935488,0,56359.89682061357,2551.948123119708,227.5399561080672,14.002458837419521,3.5006147093548803,0,8.401475302451713,0.700122941870976,427.0749945412953,10.50184412806464,56.35989682061357,2.5519481231197076,0.2275399561080672,0.014002458837419521,0.0035006147093548804,0,0.008401475302451712,7.00122941870976e-4,0.4270749945412953,0.01050184412806464,2.2276639059531056,0.10086751474781452,0.00899367415446906,5.534568710442499e-4,1.3836421776106247e-4,0,3.3207412262654983e-4,2.767284355221249e-5,0.016880434566849616,4.1509265328318736e-4,53909.46652406515,2504.6898245434163,252.04425907355136,7.001229418709761,3.5006147093548803,0,8.751536773387201,0.350061470935488,575.8511196888777,5.25092206403232,53.90946652406515,2.5046898245434166,0.2520442590735514,0.007001229418709761,0.0035006147093548804,0,0.0087515367733872,3.50061470935488e-4,0.5758511196888777,0.00525092206403232,2.130808953520362,0.09899959780804019,0.009962223678796497,2.7672843552212494e-4,1.3836421776106247e-4,0,3.4591054440265615e-4,1.3836421776106245e-5,0.02276091382169477,2.0754632664159368e-4
869,2018-07-20T15:40:00Z,NA,NA,ZIE,158,7.25,1.55,0.07,0.01,0,0.024,0,1.26,0.06,2018-07-20T15:40:00Z,113,159.5,7.27,1.1,0.05500000000000001,0.01,0,0.024,0.001,1.24,0.045,0.00333,0.00371,4299.816,0,0.0038098670919723553,5.459391024671696e-4,0.0028,0.00509,121757.23180015199,0,0.001578918436449871,0,155039.324654214,0,24496.21329536581,1124.0351037430514,240.3109532140317,10.85275272579498,1.5503932465421402,0,3.720943791701136,0,195.34954906430963,9.302359479252841,24.49621329536581,1.1240351037430514,0.2403109532140317,0.01085275272579498,0.0015503932465421402,0,0.003720943791701136,0,0.19534954906430962,0.00930235947925284,0.9682297745203877,0.04442826497008108,0.009498456648775957,4.289625583318174e-4,6.128036547597392e-5,0,1.4707287714233738e-4,0,0.007721326049972712,3.6768219285584347e-4,24728.77228234713,1127.1358902361358,170.5432571196354,8.527162855981771,1.5503932465421402,0,3.720943791701136,0.155039324654214,192.24876257122534,6.976769609439629,24.72877228234713,1.1271358902361357,0.17054325711963542,0.008527162855981771,0.0015503932465421402,0,0.003720943791701136,1.55039324654214e-4,0.19224876257122536,0.00697676960943963,0.9774218293417838,0.04455082570103303,0.006740840202357131,3.3704201011785655e-4,6.128036547597392e-5,0,1.4707287714233738e-4,6.128036547597391e-6,0.007598765319020765,2.757616446418826e-4
887,2018-08-02T17:12:00Z,NA,NA,ZIE,168,7.17,4.7,0.06,0.01,0,0.029,0.002,1.36,0.05,2018-08-02T17:10:00Z,114,163,7.21,3.125,0.065,0.01,0,0.026500000000000003,0.001,1.31,0.055,0.00371,0.00253,7440.276,0.254,0.0030770372208436727,0.0011108213656269479,0.00153,0.00575,210685.15712977198,8.333333600000001e-4,0.002732114339003227,0.3050140867472003,121757.23180015199,64262,20455.214942425533,872.9993520070898,572.2589894607144,7.305433908009119,1.2175723180015199,0,3.530959722204408,0.24351446360030396,165.58983524820673,6.0878615900076,20.455214942425535,0.8729993520070898,0.5722589894607144,0.007305433908009119,0.00121757231800152,0,0.003530959722204408,2.4351446360030397e-4,0.16558983524820672,0.0060878615900076,0.8085065194634599,0.03450590324138695,0.022618932389751555,2.887523283798071e-4,4.812538806330118e-5,0,1.3956362538357342e-4,9.625077612660236e-6,0.006545052776608961,2.4062694031650592e-4,19846.428783424773,877.8696412790957,380.49134937547495,7.914220067009879,1.2175723180015199,0,3.2265666427040283,0.12175723180015198,159.5019736581991,6.69664774900836,19.846428783424773,0.8778696412790958,0.38049134937547496,0.00791422006700988,0.00121757231800152,0,0.003226566642704028,1.2175723180015198e-4,0.1595019736581991,0.00669664774900836,0.7844438254318092,0.03469840479364015,0.015039183769781618,3.128150224114577e-4,4.812538806330118e-5,0,1.2753227836774815e-4,4.812538806330118e-6,0.006304425836292454,2.646896343481565e-4
900,2018-08-30T16:50:00Z,NA,NA,ZIE,164,7.21,1.18,0.02,0.01,0,0.031,0.005,2.01,0.01,2018-08-30T16:50:00Z,115,166,7.1899999999999995,2.94,0.04,0.01,0,0.03,0.0035,1.685,0.030000000000000002,0.00248,8.45e-4,3058.8726,0,0.0015981570532915361,8.254882383824967e-4,6.22e-4,0.00391,86617.6274066922,0,0.0011232365159093672,0,210685.15712977198,0,34552.3657692826,1519.039982905656,248.60848541313092,4.213703142595439,2.1068515712977196,0,6.5312398710229305,1.0534257856488598,423.4771658308416,2.1068515712977196,34.5523657692826,1.5190399829056558,0.24860848541313094,0.004213703142595439,0.0021068515712977195,0,0.006531239871022931,0.0010534257856488597,0.42347716583084166,0.0021068515712977195,1.3657061568886404,0.06004110604370181,0.009826422348345095,1.6654953132788297e-4,8.327476566394149e-5,0,2.581517735582186e-4,4.163738283197074e-5,0.016738227898452238,8.327476566394149e-5,34973.73608354214,1514.8262797630605,619.4143619615296,8.427406285190878,2.1068515712977196,0,6.320554713893158,0.737398049954202,355.0044897636658,6.32055471389316,34.97373608354214,1.5148262797630603,0.6194143619615295,0.008427406285190878,0.0021068515712977195,0,0.006320554713893159,7.373980499542019e-4,0.3550044897636658,0.00632055471389316,1.3823611100214286,0.059874556512373923,0.024482781105198796,3.3309906265576594e-4,8.327476566394149e-5,0,2.4982429699182447e-4,2.914616798237952e-5,0.01403179801437414,2.4982429699182447e-4
913,2018-09-21T20:30:00Z,NA,NA,ZIE,147,8.74,1.04,0.1,0.01,0,0.026,0.003,1.04,0.09,2018-09-21T20:30:00Z,116,155.5,7.975,1.1099999999999999,0.060000000000000005,0.01,0,0.028499999999999998,0.004,1.525,0.049999999999999996,8.45e-4,0.00138,358.94190000000003,21.082,3.839772143774069e-4,2.8978625884118996e-4,9.1e-5,0.00258,10164.1028641893,0.06916666888,1.31805636223584e-4,524.7626039501944,86617.6274066922,5333746,12732.791228783755,757.03806353449,90.08233250295989,8.661762740669221,0.866176274066922,0,2.2520583125739972,0.2598528822200766,90.08233250295989,7.795586466602298,12.732791228783755,0.75703806353449,0.0900823325029599,0.00866176274066922,8.66176274066922e-4,0,0.0022520583125739974,2.598528822200766e-4,0.0900823325029599,0.007795586466602298,0.5032723805843381,0.02992245310413004,0.0035605665020932765,3.4236216366281504e-4,3.42362163662815e-5,0,8.901416255233192e-5,1.027086490988445e-5,0.0035605665020932765,3.081259472965335e-4,13469.041061740638,690.7755785683703,96.14556642142833,5.197057644401532,0.866176274066922,0,2.4686023810907276,0.34647050962676884,132.0918817952056,4.33088137033461,13.469041061740638,0.6907755785683704,0.09614556642142834,0.005197057644401533,8.66176274066922e-4,0,0.002468602381090728,3.464705096267688e-4,0.13209188179520562,0.004330881370334609,0.5323731644956774,0.027303382552109498,0.0038002200166572463,2.0541729819768904e-4,3.42362163662815e-5,0,9.757321664390229e-5,1.36944865465126e-5,0.00522102299585793,1.7118108183140747e-4
914,2018-10-02T16:10:00Z,NA,NA,ZIE,76,9.38,1.08,0.37,0.01,0.1,0.086,0.005,2.83,0.26,2018-10-02T16:10:00Z,117,111.5,9.06,1.06,0.235,0.01,0.05,0.055999999999999994,0.004,1.935,0.175,0.00142,0.00105,NA,6.858,NA,NA,NA,NA,NA,0.02250000072,NA,NA,10164.1028641893,1735074,772.4718176783869,95.33928486609565,10.977231093324447,3.7607180597500416,0.10164102864189302,1.0164102864189302,0.8741128463202797,0.05082051432094651,28.76441110565572,2.6426667446892185,0.7724718176783868,0.09533928486609565,0.010977231093324446,0.0037607180597500414,1.0164102864189301e-4,0.0010164102864189302,8.741128463202798e-4,5.082051432094651e-5,0.028764411105655724,0.0026426667446892184,0.0305324829121892,0.0037683511804780887,4.3388265191005715e-4,1.4864498259881587e-4,4.017431962130159e-6,4.0174319621301585e-5,3.454991487431936e-5,2.0087159810650794e-6,0.001136933245282835,1.0445323101538412e-4,1133.297469357107,92.08677194955507,10.77394903604066,2.3885641730844855,0.10164102864189302,0.5082051432094651,0.5691897603946008,0.040656411456757205,19.6675390422063,1.7787180012331276,1.133297469357107,0.09208677194955507,0.01077394903604066,0.0023885641730844853,1.0164102864189301e-4,5.082051432094651e-4,5.691897603946007e-4,4.065641145675721e-5,0.0196675390422063,0.0017787180012331276,0.04479436637775126,0.003639793357689924,4.258477879857968e-4,9.44096511100587e-5,4.017431962130159e-6,2.0087159810650793e-5,2.249761898792888e-5,1.6069727848520635e-6,7.773730846721858e-4,7.030505933727777e-5
