subws,period,pseg,start_date,end_date
sfc,alltime,1,8/1/2015,7/31/2020
sfc,HY17,1,8/1/2016,7/31/2017
sfc,HY18,1,8/1/2017,7/31/2018
sfc,HY19,1,8/1/2018,7/31/2019
sfc,HY20,1,8/1/2019,7/31/2020
sfc,fell_period,1,4/1/2018,10/1/2018
sfc,yard_period,1,5/1/2018,11/1/2018
sfc,fell_and_yard_period,1,4/1/2018,11/1/2018
sfc,pre_fell,1,8/1/2015,4/1/2018
sfc,post_fell,1,4/1/2018,7/31/2020
sfc,pre_yard,1,8/1/2015,5/1/2018
sfc,post_yard,1,5/1/2018,7/31/2020
sfc,dry_years,1,8/1/2015,7/31/2016
sfc,dry_years,2,8/1/2017,7/31/2018
sfc,wet_years,1,8/1/2016,7/31/2017
sfc,wet_years,2,8/1/2018,7/31/2019
tre,alltime,1,8/1/2015,7/31/2020
tre,HY17,1,8/1/2016,7/31/2017
tre,HY18,1,8/1/2017,7/31/2018
tre,HY19,1,8/1/2018,7/31/2019
tre,HY20,1,8/1/2019,7/31/2020
tre,fell_period,1,8/1/2018,10/1/2018
tre,yard_period,1,8/1/2018,11/1/2018
tre,fell_and_yard_period,1,8/1/2018,11/1/2018
tre,pre_fell,1,8/1/2015,8/1/2018
tre,post_fell,1,8/1/2018,7/31/2020
tre,pre_yard,1,8/1/2015,8/1/2018
tre,post_yard,1,8/1/2018,7/31/2020
tre,dry_years,1,8/1/2015,7/31/2016
tre,dry_years,2,8/1/2017,7/31/2018
tre,wet_years,1,8/1/2016,7/31/2017
tre,wet_years,2,8/1/2018,7/31/2019
uql,alltime,1,8/1/2015,7/31/2020
uql,HY17,1,8/1/2016,7/31/2017
uql,HY18,1,8/1/2017,7/31/2018
uql,HY19,1,8/1/2018,7/31/2019
uql,HY20,1,8/1/2019,7/31/2020
uql,fell_period,1,6/1/2018,9/1/2018
uql,yard_period,1,8/1/2018,10/1/2018
uql,fell_and_yard_period,1,6/1/2018,10/1/2018
uql,pre_fell,1,8/1/2015,6/1/2018
uql,post_fell,1,6/1/2018,7/31/2020
uql,pre_yard,1,8/1/2015,8/1/2018
uql,post_yard,1,8/1/2018,7/31/2020
uql,dry_years,1,8/1/2015,7/31/2016
uql,dry_years,2,8/1/2017,7/31/2018
uql,wet_years,1,8/1/2016,7/31/2017
uql,wet_years,2,8/1/2018,7/31/2019
wil,alltime,1,8/1/2015,7/31/2020
wil,HY17,1,8/1/2016,7/31/2017
wil,HY18,1,8/1/2017,7/31/2018
wil,HY19,1,8/1/2018,7/31/2019
wil,HY20,1,8/1/2019,7/31/2020
wil,fell_period,1,4/1/2018,10/1/2018
wil,yard_period,1,5/1/2018,11/1/2018
wil,fell_and_yard_period,1,4/1/2018,11/1/2018
wil,pre_fell,1,8/1/2015,4/1/2018
wil,post_fell,1,4/1/2018,7/31/2020
wil,pre_yard,1,8/1/2015,5/1/2018
wil,post_yard,1,5/1/2018,7/31/2020
wil,dry_years,1,8/1/2015,7/31/2016
wil,dry_years,2,8/1/2017,7/31/2018
wil,wet_years,1,8/1/2016,7/31/2017
wil,wet_years,2,8/1/2018,7/31/2019
zie,alltime,1,8/1/2015,7/31/2020
zie,HY17,1,8/1/2016,7/31/2017
zie,HY18,1,8/1/2017,7/31/2018
zie,HY19,1,8/1/2018,7/31/2019
zie,HY20,1,8/1/2019,7/31/2020
zie,fell_period,1,4/1/2018,6/1/2018
zie,yard_period,1,5/1/2018,7/1/2018
zie,fell_and_yard_period,1,4/1/2018,7/1/2018
zie,pre_fell,1,8/1/2015,4/1/2018
zie,post_fell,1,4/1/2018,7/31/2020
zie,pre_yard,1,8/1/2015,5/1/2018
zie,post_yard,1,5/1/2018,7/31/2020
zie,dry_years,1,8/1/2015,7/31/2016
zie,dry_years,2,8/1/2017,7/31/2018
zie,wet_years,1,8/1/2016,7/31/2017
zie,wet_years,2,8/1/2018,7/31/2019
que,alltime,1,8/1/2015,7/31/2020
que,HY17,1,8/1/2016,7/31/2017
que,HY18,1,8/1/2017,7/31/2018
que,HY19,1,8/1/2018,7/31/2019
que,HY20,1,8/1/2019,7/31/2020
que,fell_period,1,4/1/2018,10/1/2018
que,yard_period,1,5/1/2018,11/1/2018
que,fell_and_yard_period,1,4/1/2018,11/1/2018
que,pre_fell,1,8/1/2015,4/1/2018
que,post_fell,1,4/1/2018,7/31/2020
que,pre_yard,1,8/1/2015,5/1/2018
que,post_yard,1,5/1/2018,7/31/2020
que,dry_years,1,8/1/2015,7/31/2016
que,dry_years,2,8/1/2017,7/31/2018
que,wet_years,1,8/1/2016,7/31/2017
que,wet_years,2,8/1/2018,7/31/2019
