subws,period,season,segment,start_date,end_date
tre,alltime,alltime,1,8/1/2015,7/31/2020
tre,HY17,alltime,1,8/1/2016,7/31/2017
tre,HY18,alltime,1,8/1/2017,7/31/2018
tre,HY19,alltime,1,8/1/2018,7/31/2019
tre,HY20,alltime,1,8/1/2019,7/31/2020
tre,fell_period,alltime,1,8/1/2015,7/31/2020
tre,yard_period,alltime,1,8/1/2015,7/31/2020
tre,fell_and_yard_period,alltime,1,8/1/2015,7/31/2020
tre,pre_fell,alltime,1,8/1/2015,7/31/2020
tre,post_fell,alltime,1,8/1/2015,7/31/2020
tre,pre_yard,alltime,1,8/1/2015,7/31/2020
tre,post_yard,alltime,1,8/1/2015,7/31/2020
uql,alltime,alltime,1,8/1/2015,7/31/2020
uql,HY17,alltime,1,8/1/2016,7/31/2017
uql,HY18,alltime,1,8/1/2017,7/31/2018
uql,HY19,alltime,1,8/1/2018,7/31/2019
uql,HY20,alltime,1,8/1/2019,7/31/2020
uql,fell_period,alltime,1,8/1/2015,7/31/2020
uql,yard_period,alltime,1,8/1/2015,7/31/2020
uql,fell_and_yard_period,alltime,1,8/1/2015,7/31/2020
uql,pre_fell,alltime,1,8/1/2015,7/31/2020
uql,post_fell,alltime,1,8/1/2015,7/31/2020
uql,pre_yard,alltime,1,8/1/2015,7/31/2020
uql,post_yard,alltime,1,8/1/2015,7/31/2020
wil,alltime,alltime,1,8/1/2015,7/31/2020
wil,HY17,alltime,1,8/1/2016,7/31/2017
wil,HY18,alltime,1,8/1/2017,7/31/2018
wil,HY19,alltime,1,8/1/2018,7/31/2019
wil,HY20,alltime,1,8/1/2019,7/31/2020
wil,fell_period,alltime,1,8/1/2015,7/31/2020
wil,yard_period,alltime,1,8/1/2015,7/31/2020
wil,fell_and_yard_period,alltime,1,8/1/2015,7/31/2020
wil,pre_fell,alltime,1,8/1/2015,7/31/2020
wil,post_fell,alltime,1,8/1/2015,7/31/2020
wil,pre_yard,alltime,1,8/1/2015,7/31/2020
wil,post_yard,alltime,1,8/1/2015,7/31/2020
zie,alltime,alltime,1,8/1/2015,7/31/2020
zie,HY17,alltime,1,8/1/2016,7/31/2017
zie,HY18,alltime,1,8/1/2017,7/31/2018
zie,HY19,alltime,1,8/1/2018,7/31/2019
zie,HY20,alltime,1,8/1/2019,7/31/2020
zie,fell_period,alltime,1,8/1/2015,7/31/2020
zie,yard_period,alltime,1,8/1/2015,7/31/2020
zie,fell_and_yard_period,alltime,1,8/1/2015,7/31/2020
zie,pre_fell,alltime,1,8/1/2015,7/31/2020
zie,post_fell,alltime,1,8/1/2015,7/31/2020
zie,pre_yard,alltime,1,8/1/2015,7/31/2020
zie,post_yard,alltime,1,8/1/2015,7/31/2020
sfc,alltime,alltime,1,8/1/2015,7/31/2020
sfc,HY17,alltime,1,8/1/2016,7/31/2017
sfc,HY18,alltime,1,8/1/2017,7/31/2018
sfc,HY19,alltime,1,8/1/2018,7/31/2019
sfc,HY20,alltime,1,8/1/2019,7/31/2020
sfc,fell_period,alltime,1,8/1/2015,7/31/2020
sfc,yard_period,alltime,1,8/1/2015,7/31/2020
sfc,fell_and_yard_period,alltime,1,8/1/2015,7/31/2020
sfc,pre_fell,alltime,1,8/1/2015,7/31/2020
sfc,post_fell,alltime,1,8/1/2015,7/31/2020
sfc,pre_yard,alltime,1,8/1/2015,7/31/2020
sfc,post_yard,alltime,1,8/1/2015,7/31/2020
que,alltime,alltime,1,8/1/2015,7/31/2020
que,HY17,alltime,1,8/1/2016,7/31/2017
que,HY18,alltime,1,8/1/2017,7/31/2018
que,HY19,alltime,1,8/1/2018,7/31/2019
que,HY20,alltime,1,8/1/2019,7/31/2020
que,fell_period,alltime,1,8/1/2015,7/31/2020
